metric_path,value
/scope,Recomputed from archived numerical rows and saved joint-count estimates; no new scientific runs
/b0_b3/0/p,0
/b0_b3/0/n,420
/b0_b3/0/B0_median_CNOT,192.0
/b0_b3/0/B3_median_CNOT,96.0
/b0_b3/0/B0_joint_pass,407
/b0_b3/0/B3_joint_pass,385
/b0_b3/0/B0_mean_max_C_error,0.0019264822058457755
/b0_b3/0/B3_mean_max_C_error,0.004703970688472746
/b0_b3/0/B3_better,17
/b0_b3/1/p,0.01
/b0_b3/1/n,420
/b0_b3/1/B0_median_CNOT,192.0
/b0_b3/1/B3_median_CNOT,96.0
/b0_b3/1/B0_joint_pass,407
/b0_b3/1/B3_joint_pass,385
/b0_b3/1/B0_mean_max_C_error,0.2637546695248888
/b0_b3/1/B3_mean_max_C_error,0.1431838708115352
/b0_b3/1/B3_better,402
/b0_b3/2/p,0.05
/b0_b3/2/n,420
/b0_b3/2/B0_median_CNOT,192.0
/b0_b3/2/B3_median_CNOT,96.0
/b0_b3/2/B0_joint_pass,407
/b0_b3/2/B3_joint_pass,385
/b0_b3/2/B0_mean_max_C_error,0.44536145816306466
/b0_b3/2/B3_mean_max_C_error,0.36661281532549406
/b0_b3/2/B3_better,418
/equal_resource/0/mode,equal_gate
/equal_resource/0/budget,100000
/equal_resource/0/p,0
/equal_resource/0/method,raw
/equal_resource/0/n,45
/equal_resource/0/labelled,6
/equal_resource/0/MSE_ED,9.615583734423254e-05
/equal_resource/0/MSE_own_p0,1.2451518360312574e-06
/equal_resource/0/bias_squared,9.487207949202041e-05
/equal_resource/0/sampling_MSE,1.245151836031255e-06
/equal_resource/0/shots,100000.0
/equal_resource/0/G,10460000.0
/equal_resource/0/settings,2.0
/equal_resource/1/mode,equal_gate
/equal_resource/1/budget,100000
/equal_resource/1/p,0
/equal_resource/1/method,sv
/equal_resource/1/n,45
/equal_resource/1/labelled,6
/equal_resource/1/MSE_ED,0.00010363441195031421
/equal_resource/1/MSE_own_p0,9.843395178313987e-06
/equal_resource/1/bias_squared,9.48720794920205e-05
/equal_resource/1/sampling_MSE,9.843395178314057e-06
/equal_resource/1/shots,100000.0
/equal_resource/1/G,10460000.0
/equal_resource/1/settings,30.0
/equal_resource/2/mode,equal_gate
/equal_resource/2/budget,100000
/equal_resource/2/p,0
/equal_resource/2/method,zne_quadratic
/equal_resource/2/n,45
/equal_resource/2/labelled,6
/equal_resource/2/MSE_ED,0.00015727574408654202
/equal_resource/2/MSE_own_p0,5.830980523149782e-05
/equal_resource/2/bias_squared,9.487207949202038e-05
/equal_resource/2/sampling_MSE,5.8309805231497786e-05
/equal_resource/2/shots,33334.0
/equal_resource/2/G,10460000.0
/equal_resource/2/settings,6.0
/equal_resource/3/mode,equal_gate
/equal_resource/3/budget,100000
/equal_resource/3/p,0.01
/equal_resource/3/method,raw
/equal_resource/3/n,45
/equal_resource/3/labelled,6
/equal_resource/3/MSE_ED,0.017544297237704492
/equal_resource/3/MSE_own_p0,0.018151236045745863
/equal_resource/3/bias_squared,0.017546168508247487
/equal_resource/3/sampling_MSE,1.5165713094974496e-06
/equal_resource/3/shots,100000.0
/equal_resource/3/G,10460000.0
/equal_resource/3/settings,2.0
/equal_resource/4/mode,equal_gate
/equal_resource/4/budget,100000
/equal_resource/4/p,0.01
/equal_resource/4/method,sv
/equal_resource/4/n,45
/equal_resource/4/labelled,6
/equal_resource/4/MSE_ED,0.012352925872318779
/equal_resource/4/MSE_own_p0,0.01287021633684908
/equal_resource/4/bias_squared,0.012363059138758849
/equal_resource/4/sampling_MSE,3.015727031003466e-05
/equal_resource/4/shots,100000.0
/equal_resource/4/G,10460000.0
/equal_resource/4/settings,30.0
/equal_resource/5/mode,equal_gate
/equal_resource/5/budget,100000
/equal_resource/5/p,0.01
/equal_resource/5/method,zne_quadratic
/equal_resource/5/n,45
/equal_resource/5/labelled,6
/equal_resource/5/MSE_ED,0.0016227119758120273
/equal_resource/5/MSE_own_p0,0.0017699419795799655
/equal_resource/5/bias_squared,0.001540077376890337
/equal_resource/5/sampling_MSE,7.375233411041942e-05
/equal_resource/5/shots,33334.0
/equal_resource/5/G,10460000.0
/equal_resource/5/settings,6.0
/equal_resource/6/mode,equal_gate
/equal_resource/6/budget,100000
/equal_resource/6/p,0.05
/equal_resource/6/method,raw
/equal_resource/6/n,45
/equal_resource/6/labelled,6
/equal_resource/6/MSE_ED,0.105113705749276
/equal_resource/6/MSE_own_p0,0.106525719503075
/equal_resource/6/bias_squared,0.10511665463553437
/equal_resource/6/sampling_MSE,1.5349368364369156e-06
/equal_resource/6/shots,100000.0
/equal_resource/6/G,10460000.0
/equal_resource/6/settings,2.0
/equal_resource/7/mode,equal_gate
/equal_resource/7/budget,100000
/equal_resource/7/p,0.05
/equal_resource/7/method,sv
/equal_resource/7/n,45
/equal_resource/7/labelled,6
/equal_resource/7/MSE_ED,0.10231165804975632
/equal_resource/7/MSE_own_p0,0.10371875940316512
/equal_resource/7/bias_squared,0.10222370952384532
/equal_resource/7/sampling_MSE,4.608592975431843e-05
/equal_resource/7/shots,100000.0
/equal_resource/7/G,10460000.0
/equal_resource/7/settings,30.0
/equal_resource/8/mode,equal_gate
/equal_resource/8/budget,100000
/equal_resource/8/p,0.05
/equal_resource/8/method,zne_quadratic
/equal_resource/8/n,45
/equal_resource/8/labelled,6
/equal_resource/8/MSE_ED,0.07863611442852804
/equal_resource/8/MSE_own_p0,0.07997129035735713
/equal_resource/8/bias_squared,0.07865778768850834
/equal_resource/8/sampling_MSE,7.490018968645711e-05
/equal_resource/8/shots,33334.0
/equal_resource/8/G,10460000.0
/equal_resource/8/settings,6.0
/equal_resource/9/mode,equal_gate
/equal_resource/9/budget,300000
/equal_resource/9/p,0
/equal_resource/9/method,raw
/equal_resource/9/n,45
/equal_resource/9/labelled,6
/equal_resource/9/MSE_ED,9.56134387997781e-05
/equal_resource/9/MSE_own_p0,4.1896043532576234e-07
/equal_resource/9/bias_squared,9.487207949202041e-05
/equal_resource/9/sampling_MSE,4.189604353257626e-07
/equal_resource/9/shots,299998.0
/equal_resource/9/G,31379790.8
/equal_resource/9/settings,2.0
/equal_resource/10/mode,equal_gate
/equal_resource/10/budget,300000
/equal_resource/10/p,0
/equal_resource/10/method,sv
/equal_resource/10/n,45
/equal_resource/10/labelled,6
/equal_resource/10/MSE_ED,9.821322669678346e-05
/equal_resource/10/MSE_own_p0,3.2646587765547814e-06
/equal_resource/10/bias_squared,9.487207949202046e-05
/equal_resource/10/sampling_MSE,3.26465877655473e-06
/equal_resource/10/shots,299998.0
/equal_resource/10/G,31379790.8
/equal_resource/10/settings,30.0
/equal_resource/11/mode,equal_gate
/equal_resource/11/budget,300000
/equal_resource/11/p,0
/equal_resource/11/method,zne_quadratic
/equal_resource/11/n,45
/equal_resource/11/labelled,6
/equal_resource/11/MSE_ED,0.00011635043845302196
/equal_resource/11/MSE_own_p0,1.948032609879622e-05
/equal_resource/11/bias_squared,9.487207949202038e-05
/equal_resource/11/sampling_MSE,1.9480326098796214e-05
/equal_resource/11/shots,100000.0
/equal_resource/11/G,31379790.8
/equal_resource/11/settings,6.0
/equal_resource/12/mode,equal_gate
/equal_resource/12/budget,300000
/equal_resource/12/p,0.01
/equal_resource/12/method,raw
/equal_resource/12/n,45
/equal_resource/12/labelled,6
