run_id,point,kappa,h,layers,seed,initialization_source,started_utc,fingerprint,energy,nit,nfev,njev,optimization_success,status,message,gradient_inf,seconds,ed_energy,delta_e,fidelity,epsilon_c,epsilon_sf,epsilon_mx,mx,observable_pass,state_pass,joint_pass,parameters,cnots,high_level_gates,compiled_unitary_gates,unitary_depth,depth_with_channels,archive_sha256
p00_L1_s11,0,0,0.2,1,11,independent_uniform,2026-09-22T03:41:21.199446+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-5.611937116592658,11,15,15,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.2442820934998053e-08,0.005492917000083253,-8.080202559111354,0.308533180314837,0.30459930541030705,0.9526022237985287,0.6113511789392322,0.4173136214377289,0.5178239064267308,False,False,False,3,32,32,64,38,62,bf85c485cb206773b1611b8a94d8a7a392de25e8f1c4043ad38c484be778092a
p00_L1_s23,0,0,0.2,1,23,independent_uniform,2026-09-22T03:41:33.600355+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-5.611937116592656,11,14,14,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.3287382688863545e-07,0.001038416987285018,-8.080202559111354,0.30853318031483734,0.30459930413159925,0.9526022242001667,0.6113511793777837,0.41731361968826075,0.5178239046772627,False,False,False,3,32,32,64,38,62,1baad20e7ab710304642503f918b924303733ca11283527f901a0031b088f0ef
p00_L1_s37,0,0,0.2,1,37,independent_uniform,2026-09-22T03:41:33.604094+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,6.106226635438361e-17,9,12,12,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.4637240308701394e-09,0.0007527080015279353,-8.080202559111354,1.0100253198889193,0.022774833045161917,0.9899232628911188,0.8661347130332492,0.10051028498900196,-3.469446951953614e-18,False,False,False,3,32,32,64,38,62,90357fb19911c87094eda753b4cc0149866c3e7d2acf700d5514d3e345e68a21
p00_L2_s11,0,0,0.2,2,11,independent_uniform,2026-09-22T03:41:33.606666+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-6.171386785292233,19,24,24,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.577505244794054e-07,0.0024762079992797226,-8.080202559111354,0.23860197172739017,0.47013005674799435,0.7534930912200555,0.47118093874955425,0.29440152573153566,0.3949118107205376,False,False,False,6,64,56,120,75,123,3ff158fb39fdc7d89550574981075d044a89e9a77ef617d236f35b6495253c09
p00_L2_s23,0,0,0.2,2,23,independent_uniform,2026-09-22T03:41:33.611622+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-6.220157611997183,25,29,29,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.4249899033843576e-07,0.003199291997589171,-8.080202559111354,0.23250561838927142,0.4733837140325356,0.7914839852999553,0.4862889113995402,0.29460009434071266,0.3951103793297146,False,False,False,6,64,56,120,75,123,18a77d312a410dab3eebb6f576d9d8c41acbe92e10b82eff44ff29994ca89035
p00_L2_s37,0,0,0.2,2,37,independent_uniform,2026-09-22T03:41:33.617702+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-6.220157611996755,25,31,31,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.217394454692936e-06,0.0031285409932024777,-8.080202559111354,0.23250561838932493,0.4733837163796695,0.7914839864177385,0.4862889139445765,0.2946002236773491,0.39511050866635106,False,False,False,6,64,56,120,75,123,e1474d43db1ccb11118e2d76867cbcca96b64758314c5bbd8140976141d5328c
p00_L4_s11,0,0,0.2,4,11,independent_uniform,2026-09-22T03:41:33.623424+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-5.813205076329509,57,62,62,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4061856153047003e-05,0.011350874992785975,-8.080202559111354,0.2833746853477307,0.5901622905997408,0.5908108645617217,0.3599943207123949,0.0763271381575041,0.024183146831497863,False,False,False,12,128,104,232,149,245,ef08dd6b27978d6108fce1bc99d7b4738a6dcbd2231f8bba59f562f50f9e3f4f
p00_L4_s23,0,0,0.2,4,23,independent_uniform,2026-09-22T03:41:33.638696+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-6.488074963651967,49,57,57,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.106006748408106e-05,0.011455667001428083,-8.080202559111354,0.1990159494324234,0.6912883658460037,0.4405514967157813,0.274321323034017,0.14132705918816213,-0.04081677419916019,False,False,False,12,128,104,232,149,245,86d2e66ecf6ca4c5d836a20c6fc5afdd664f18bc90bed3d64f2c5b42e101d1e4
p00_L4_s37,0,0,0.2,4,37,independent_uniform,2026-09-22T03:41:33.655647+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-7.460081550398435,64,73,73,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.832048128544102e-06,0.01332758300122805,-8.080202559111354,0.07751512608911493,0.8624969706109207,0.21161311510896608,0.13392784949405023,0.08429155393414133,0.18480183892314328,False,False,False,12,128,104,232,149,245,f34d024e43ec2ec60e92d9df5bee01ceee291a04d80c85c071ef2d3983c170a4
p00_L6_s11,0,0,0.2,6,11,independent_uniform,2026-09-22T03:41:33.672801+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-8.080202558532005,148,163,163,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9149843607124684e-05,0.04260583297582343,-8.080202559111354,7.241873767327434e-11,0.9999999999293423,6.544574027156358e-08,2.7345372077824948e-08,1.482496166244074e-07,0.10051043323861858,True,True,True,18,192,152,344,223,367,232ab1081bfcfc24b6c278f3156794b4c41df2383600858db381d4123723a97d
