p02_L8_s11 de=2.17e-08 F=1.000000 pass=True nit=291 0.11s
p02_L8_s23 de=0.000255 F=0.999776 pass=True nit=400 0.15s
p02_L8_s37 de=0.000496 F=0.999518 pass=True nit=400 0.15s
p06_L8_s11 de=0.000884 F=0.995339 pass=False nit=400 0.15s
p06_L8_s23 de=2.06e-06 F=0.999997 pass=True nit=400 0.15s
p06_L8_s37 de=0.0078 F=0.956751 pass=False nit=400 0.16s
p11_L8_s11 de=0.000722 F=0.998305 pass=True nit=400 0.15s
p11_L8_s23 de=0.000385 F=0.999306 pass=True nit=400 0.15s
p11_L8_s37 de=7.68e-05 F=0.999896 pass=True nit=400 0.15s
p12_L8_s11 de=0.000514 F=0.999300 pass=True nit=400 0.16s
p12_L8_s23 de=0.000272 F=0.999667 pass=True nit=343 0.13s
p12_L8_s37 de=0.000783 F=0.998663 pass=True nit=400 0.15s
p13_L8_s11 de=0.001 F=0.998865 pass=True nit=400 0.15s
p13_L8_s23 de=0.000193 F=0.999804 pass=True nit=400 0.16s
p13_L8_s37 de=0.000275 F=0.999716 pass=True nit=400 0.15s
done 195 runs; stable selected 14/15
