point,kappa,h,layers,n_runs,best_run,best_seed,best_joint_pass,observable_pass_count,state_pass_count,joint_pass_count,optimization_success_count,cnots,unitary_depth,energy_best_energy,median_energy,min_energy,max_energy,energy_best_delta_e,median_delta_e,min_delta_e,max_delta_e,energy_best_epsilon_c,median_epsilon_c,min_epsilon_c,max_epsilon_c,energy_best_epsilon_sf,median_epsilon_sf,min_epsilon_sf,max_epsilon_sf,energy_best_epsilon_mx,median_epsilon_mx,min_epsilon_mx,max_epsilon_mx,energy_best_fidelity,median_fidelity,min_fidelity,max_fidelity,energy_best_seconds,median_seconds,min_seconds,max_seconds
0,0,0.2,1,3,p00_L1_s11,11,False,0,0,0,3,32,38,-5.611937116592658,-5.611937116592656,-5.611937116592658,6.106226635438361e-17,0.308533180314837,0.30853318031483734,0.308533180314837,1.0100253198889193,0.9526022237985287,0.9526022242001667,0.9526022237985287,0.9899232628911188,0.6113511789392322,0.6113511793777837,0.6113511789392322,0.8661347130332492,0.4173136214377289,0.41731361968826075,0.10051028498900196,0.4173136214377289,0.30459930541030705,0.30459930413159925,0.022774833045161917,0.30459930541030705,0.005492917000083253,0.001038416987285018,0.0007527080015279353,0.005492917000083253
0,0,0.2,2,3,p00_L2_s23,23,False,0,0,0,3,64,75,-6.220157611997183,-6.220157611996755,-6.220157611997183,-6.171386785292233,0.23250561838927142,0.23250561838932493,0.23250561838927142,0.23860197172739017,0.7914839852999553,0.7914839852999553,0.7534930912200555,0.7914839864177385,0.4862889113995402,0.4862889113995402,0.47118093874955425,0.4862889139445765,0.29460009434071266,0.29460009434071266,0.29440152573153566,0.2946002236773491,0.4733837140325356,0.4733837140325356,0.47013005674799435,0.4733837163796695,0.003199291997589171,0.0031285409932024777,0.0024762079992797226,0.003199291997589171
0,0,0.2,4,3,p00_L4_s37,37,False,0,0,0,3,128,149,-7.460081550398435,-6.488074963651967,-7.460081550398435,-5.813205076329509,0.07751512608911493,0.1990159494324234,0.07751512608911493,0.2833746853477307,0.21161311510896608,0.4405514967157813,0.21161311510896608,0.5908108645617217,0.13392784949405023,0.274321323034017,0.13392784949405023,0.3599943207123949,0.08429155393414133,0.08429155393414133,0.0763271381575041,0.14132705918816213,0.8624969706109207,0.6912883658460037,0.5901622905997408,0.8624969706109207,0.01332758300122805,0.011455667001428083,0.011350874992785975,0.01332758300122805
0,0,0.2,6,3,p00_L6_s11,11,True,2,2,2,3,192,223,-8.080202558532005,-8.080202557534093,-8.080202558532005,-7.94413786968624,7.241873767327434e-11,1.9715762356042887e-10,7.241873767327434e-11,0.017008086178139314,6.544574027156358e-08,6.544574027156358e-08,3.076678456448434e-08,0.022360001286593656,2.7345372077824948e-08,2.7345372077824948e-08,9.20688533745384e-09,0.018186513167715357,1.482496166244074e-07,1.482496166244074e-07,1.2115379505184265e-07,0.01669089172874734,0.9999999999293423,0.9999999998078573,0.982691271120625,0.9999999999293423,0.04260583297582343,0.04260583297582343,0.03951062500709668,0.09701399999903515
1,0,0.9,1,3,p01_L1_s23,23,False,0,0,0,3,32,38,-9.266116543242596,-9.266116543242596,-9.266116543242596,-9.266116543242592,0.06339638934667358,0.06339638934667358,0.06339638934667358,0.06339638934667402,0.6151792112601976,0.6151792112084121,0.6151792110859452,0.6151792112601976,0.3965543536354606,0.39655435323076094,0.39655435308480325,0.3965543536354606,0.22108418862768775,0.22108418793752482,0.22108418754964865,0.22108418862768775,0.7040975535611678,0.7040975537760399,0.7040975535611678,0.704097555200661,0.0009371250052936375,0.0009371250052936375,0.0008149589993990958,0.001174542005173862
1,0,0.9,2,3,p01_L2_s11,11,False,0,0,0,3,64,75,-9.383589123884919,-9.304216319956872,-9.383589123884919,-3.3750538492772844,0.04871231676638321,0.05863391725738909,0.04871231676638321,0.7997792260923375,0.5096990633198525,0.5096990633198525,0.5067374640895161,0.6156396936026294,0.32839246817053686,0.3715638670375733,0.32839246817053686,0.39083253231633464,0.18560446815694176,0.2108989723908905,0.18560446815694176,0.5994228367286486,0.7731410277422436,0.7172257504222146,0.2211033732783951,0.7731410277422436,0.0036412919871509075,0.0029234169924166054,0.0023510830069426447,0.0036412919871509075
1,0,0.9,4,3,p01_L4_s23,23,False,0,0,0,3,128,149,-9.71699252812931,-9.606493763016964,-9.71699252812931,-6.00566983440306,0.007036891235834286,0.020849236874877608,0.007036891235834286,0.4709522279516156,0.11662466123705684,0.21813888175309315,0.11662466123705684,0.24179316387235467,0.07448378983537107,0.15497338569188956,0.07448378983537107,0.1636965918456178,0.047995257970044114,0.10902471576798045,0.047995257970044114,0.29606775110052336,0.9813846810871536,0.9394951152266886,0.5671749291402579,0.9813846810871536,0.0358371670008637,0.0358371670008637,0.009089333994779736,0.04571750000468455
1,0,0.9,6,3,p01_L6_s37,37,True,2,3,2,2,192,223,-9.773287657954766,-9.765293647223011,-9.773287657954766,-9.746842833642264,7.652323219531354e-12,0.0009992513491217103,7.652323219531354e-12,0.003305603046715122,3.5154878530452294e-07,0.011320735755258826,3.5154878530452294e-07,0.05095140871237558,1.682863917107369e-07,0.008141211013252936,1.682863917107369e-07,0.0324741734524614,1.0515376769326679e-07,0.006279621114351652,1.0515376769326679e-07,0.020801902964300623,0.9999999999918134,0.9989630212160134,0.9940230217627188,0.9999999999918134,0.045096708985511214,0.10082037499523722,0.045096708985511214,0.12890145799610764
2,0,1.0,1,3,p02_L1_s23,23,False,0,0,0,3,32,38,-9.897520435455922,-9.89752043545592,-9.897520435455922,-9.89752043545592,0.04426766943876337,0.04426766943876359,0.04426766943876337,0.04426766943876359,0.4896568571315697,0.4896568580167096,0.4896568571315697,0.48965685841835266,0.31431289027658893,0.314312893598487,0.31431289027658893,0.3143128939161262,0.1620491352751814,0.1620491402875821,0.1620491352751814,0.162049142802713,0.8003939000729114,0.8003938996025162,0.8003938978006184,0.8003939000729114,0.0008444160048384219,0.0008444160048384219,0.0008067080052569509,0.0012966250069439411
2,0,1.0,2,3,p02_L2_s23,23,False,0,0,0,3,64,75,-10.062037955589265,-10.062037955589243,-10.062037955589265,-9.990115131892782,0.023702979422095538,0.023702979422098203,0.023702979422095538,0.03269333238415584,0.2593043760902799,0.25930437760109104,0.2593043760902799,0.40112432599155134,0.18144294143927248,0.18144294143927248,0.18144293424175206,0.25782394266393505,0.11148083953438359,0.11148083953438359,0.11148082754353328,0.1349887345948837,0.9083820358808441,0.9083820315221948,0.8520168459925774,0.9083820358808441,0.005344082979718223,0.004387083987239748,0.003947290999349207,0.005344082979718223
