n,kappa,metric,order_parameter,index,coordinate,value,interval_low,interval_high,endpoint,step
8,0.0,negative_order_derivative,m2_ferro,18,0.9500000000000001,0.9579322104355539,0.9,1.0,False,0.050000000000000044
8,0.0,mx_derivative,m2_ferro,17,0.9,0.8836689776630067,0.8500000000000001,0.9500000000000001,False,0.050000000000000044
8,0.0,chi_f_per_site,m2_ferro,18,0.925,0.23760362823645523,0.9,0.9500000000000001,False,0.05000000000000001
8,0.3,negative_order_derivative,m2_ferro,8,0.45,2.574438311258894,0.4,0.5,False,0.050000000000000044
8,0.3,mx_derivative,m2_ferro,8,0.45,1.9317403588724051,0.4,0.5,False,0.050000000000000044
8,0.3,chi_f_per_site,m2_ferro,8,0.42500000000000004,1.5889695987939643,0.4,0.45,False,0.05000000000000001
8,0.8,negative_order_derivative,m2_antiphase,11,0.6000000000000001,0.6158958084182538,0.55,0.65,False,0.050000000000000044
8,0.8,mx_derivative,m2_antiphase,9,0.5,1.4362879332644196,0.45,0.55,False,0.050000000000000044
8,0.8,chi_f_per_site,m2_antiphase,10,0.525,0.5531297827552099,0.5,0.55,False,0.05000000000000001
12,0.0,negative_order_derivative,m2_ferro,19,1.0,1.3599485334249177,0.9500000000000001,1.05,False,0.050000000000000044
12,0.0,mx_derivative,m2_ferro,18,0.9500000000000001,0.9788101454563787,0.9,1.0,False,0.050000000000000044
12,0.0,chi_f_per_site,m2_ferro,19,0.9750000000000001,0.3542288208127706,0.9500000000000001,1.0,False,0.05000000000000001
12,0.3,negative_order_derivative,m2_ferro,8,0.45,3.863459561195464,0.4,0.5,False,0.050000000000000044
12,0.3,mx_derivative,m2_ferro,8,0.45,2.1550047354901207,0.4,0.5,False,0.050000000000000044
12,0.3,chi_f_per_site,m2_ferro,8,0.42500000000000004,2.7540876257082605,0.4,0.45,False,0.05000000000000001
12,0.8,negative_order_derivative,m2_antiphase,9,0.5,1.7899792462373618,0.45,0.55,False,0.050000000000000044
12,0.8,mx_derivative,m2_antiphase,9,0.5,2.35102876529701,0.45,0.55,False,0.050000000000000044
12,0.8,chi_f_per_site,m2_antiphase,10,0.525,2.558479184673787,0.5,0.55,False,0.05000000000000001
16,0.0,negative_order_derivative,m2_ferro,19,1.0,1.7147201414889874,0.9500000000000001,1.05,False,0.050000000000000044
16,0.0,mx_derivative,m2_ferro,18,0.9500000000000001,1.043635517772315,0.9,1.0,False,0.050000000000000044
16,0.0,chi_f_per_site,m2_ferro,19,0.9750000000000001,0.4757759131928436,0.9500000000000001,1.0,False,0.05000000000000001
16,0.3,negative_order_derivative,m2_ferro,8,0.45,4.728516841586412,0.4,0.5,False,0.050000000000000044
16,0.3,mx_derivative,m2_ferro,8,0.45,2.248568941619324,0.4,0.5,False,0.050000000000000044
16,0.3,chi_f_per_site,m2_ferro,8,0.42500000000000004,3.797780778656758,0.4,0.45,False,0.05000000000000001
16,0.8,negative_order_derivative,m2_antiphase,8,0.45,3.633313608670038,0.4,0.5,False,0.050000000000000044
16,0.8,negative_order_derivative,m2_antiphase,30,1.55,0.00961166222826404,1.5,1.6,False,0.050000000000000044
16,0.8,mx_derivative,m2_antiphase,8,0.45,3.1411741870559666,0.4,0.5,False,0.050000000000000044
16,0.8,chi_f_per_site,m2_antiphase,8,0.42500000000000004,12.796442849159051,0.4,0.45,False,0.05000000000000001
