n,kappa,metric,peak_h,peak_endpoint,prototype_interval_low,prototype_interval_high,nearest_transition,midpoint_separation
8,0.0,negative_order_derivative,0.9500000000000001,False,0.7000000000000001,0.75,ferro_like -> uncertain,0.22499999999999998
8,0.0,mx_derivative,0.9,False,0.7000000000000001,0.75,ferro_like -> uncertain,0.17499999999999993
8,0.0,chi_f_per_site,0.925,False,0.7000000000000001,0.75,ferro_like -> uncertain,0.19999999999999996
8,0.3,negative_order_derivative,0.45,False,0.4,0.45,ferro_like -> uncertain,0.024999999999999967
8,0.3,mx_derivative,0.45,False,0.4,0.45,ferro_like -> uncertain,0.024999999999999967
8,0.3,chi_f_per_site,0.42500000000000004,False,0.4,0.45,ferro_like -> uncertain,0.0
8,0.8,negative_order_derivative,0.6000000000000001,False,0.7000000000000001,0.75,uncertain -> paramagnetic_like,0.125
8,0.8,mx_derivative,0.5,False,0.45,0.5,antiphase_like -> uncertain,0.025000000000000022
8,0.8,chi_f_per_site,0.525,False,0.45,0.5,antiphase_like -> uncertain,0.050000000000000044
12,0.0,negative_order_derivative,1.0,False,1.1,1.1500000000000001,uncertain -> paramagnetic_like,0.125
12,0.0,mx_derivative,0.9500000000000001,False,1.1,1.1500000000000001,uncertain -> paramagnetic_like,0.17499999999999993
12,0.0,chi_f_per_site,0.9750000000000001,False,1.1,1.1500000000000001,uncertain -> paramagnetic_like,0.1499999999999999
12,0.3,negative_order_derivative,0.45,False,0.4,0.45,ferro_like -> uncertain,0.024999999999999967
12,0.3,mx_derivative,0.45,False,0.4,0.45,ferro_like -> uncertain,0.024999999999999967
12,0.3,chi_f_per_site,0.42500000000000004,False,0.4,0.45,ferro_like -> uncertain,0.0
12,0.8,negative_order_derivative,0.5,False,0.45,0.5,antiphase_like -> uncertain,0.025000000000000022
12,0.8,mx_derivative,0.5,False,0.45,0.5,antiphase_like -> uncertain,0.025000000000000022
12,0.8,chi_f_per_site,0.525,False,0.45,0.5,antiphase_like -> uncertain,0.050000000000000044
16,0.0,negative_order_derivative,1.0,False,1.05,1.1,uncertain -> paramagnetic_like,0.07500000000000018
16,0.0,mx_derivative,0.9500000000000001,False,1.05,1.1,uncertain -> paramagnetic_like,0.1250000000000001
16,0.0,chi_f_per_site,0.9750000000000001,False,1.05,1.1,uncertain -> paramagnetic_like,0.10000000000000009
16,0.3,negative_order_derivative,0.45,False,0.4,0.45,ferro_like -> uncertain,0.024999999999999967
16,0.3,mx_derivative,0.45,False,0.4,0.45,ferro_like -> uncertain,0.024999999999999967
16,0.3,chi_f_per_site,0.42500000000000004,False,0.4,0.45,ferro_like -> uncertain,0.0
16,0.8,negative_order_derivative,0.45,False,0.4,0.45,antiphase_like -> uncertain,0.024999999999999967
16,0.8,negative_order_derivative,1.55,False,0.45,0.5,uncertain -> paramagnetic_like,1.0750000000000002
16,0.8,mx_derivative,0.45,False,0.4,0.45,antiphase_like -> uncertain,0.024999999999999967
16,0.8,chi_f_per_site,0.42500000000000004,False,0.4,0.45,antiphase_like -> uncertain,0.0
