dataset,n,kappa,h_low,h_high,left,right
grid_n8,8,0.0,0.7000000000000001,0.8,ferro_like,uncertain
grid_n8,8,0.0,1.1,1.2000000000000002,uncertain,paramagnetic_like
grid_n8,8,0.05,0.6000000000000001,0.7000000000000001,ferro_like,uncertain
grid_n8,8,0.05,1.0,1.1,uncertain,paramagnetic_like
grid_n8,8,0.1,0.6000000000000001,0.7000000000000001,ferro_like,uncertain
grid_n8,8,0.1,0.9,1.0,uncertain,paramagnetic_like
grid_n8,8,0.15000000000000002,0.5,0.6000000000000001,ferro_like,uncertain
grid_n8,8,0.15000000000000002,0.8,0.9,uncertain,paramagnetic_like
grid_n8,8,0.2,0.5,0.6000000000000001,ferro_like,uncertain
grid_n8,8,0.2,0.7000000000000001,0.8,uncertain,paramagnetic_like
grid_n8,8,0.25,0.4,0.5,ferro_like,uncertain
grid_n8,8,0.25,0.6000000000000001,0.7000000000000001,uncertain,paramagnetic_like
grid_n8,8,0.30000000000000004,0.4,0.5,ferro_like,uncertain
grid_n8,8,0.30000000000000004,0.5,0.6000000000000001,uncertain,paramagnetic_like
grid_n8,8,0.35000000000000003,0.30000000000000004,0.4,ferro_like,uncertain
grid_n8,8,0.35000000000000003,0.4,0.5,uncertain,paramagnetic_like
grid_n8,8,0.4,0.2,0.30000000000000004,ferro_like,uncertain
grid_n8,8,0.4,0.30000000000000004,0.4,uncertain,paramagnetic_like
grid_n8,8,0.45,0.1,0.2,ferro_like,uncertain
grid_n8,8,0.45,0.2,0.30000000000000004,uncertain,paramagnetic_like
grid_n8,8,0.5,0.0,0.1,degraded,uncertain
grid_n8,8,0.5,0.2,0.30000000000000004,uncertain,paramagnetic_like
grid_n8,8,0.55,0.1,0.2,antiphase_like,uncertain
grid_n8,8,0.55,0.2,0.30000000000000004,uncertain,paramagnetic_like
grid_n8,8,0.6000000000000001,0.2,0.30000000000000004,antiphase_like,paramagnetic_like
grid_n8,8,0.65,0.30000000000000004,0.4,antiphase_like,uncertain
grid_n8,8,0.65,0.4,0.5,uncertain,paramagnetic_like
grid_n8,8,0.7000000000000001,0.30000000000000004,0.4,antiphase_like,uncertain
grid_n8,8,0.7000000000000001,0.5,0.6000000000000001,uncertain,paramagnetic_like
grid_n8,8,0.75,0.4,0.5,antiphase_like,uncertain
grid_n8,8,0.75,0.6000000000000001,0.7000000000000001,uncertain,paramagnetic_like
grid_n8,8,0.8,0.4,0.5,antiphase_like,uncertain
grid_n8,8,0.8,0.7000000000000001,0.8,uncertain,paramagnetic_like
grid_n8,8,0.8500000000000001,0.5,0.6000000000000001,antiphase_like,uncertain
grid_n8,8,0.8500000000000001,0.7000000000000001,0.8,uncertain,paramagnetic_like
grid_n8,8,0.9,0.5,0.6000000000000001,antiphase_like,uncertain
grid_n8,8,0.9,0.8,0.9,uncertain,paramagnetic_like
grid_n8,8,0.9500000000000001,0.6000000000000001,0.7000000000000001,antiphase_like,uncertain
grid_n8,8,0.9500000000000001,0.9,1.0,uncertain,paramagnetic_like
grid_n8,8,1.0,0.6000000000000001,0.7000000000000001,antiphase_like,uncertain
grid_n8,8,1.0,1.0,1.1,uncertain,paramagnetic_like
slices_n8,8,0.0,0.7000000000000001,0.75,ferro_like,uncertain
slices_n8,8,0.0,1.1500000000000001,1.2000000000000002,uncertain,paramagnetic_like
slices_n8,8,0.3,0.4,0.45,ferro_like,uncertain
slices_n8,8,0.3,0.55,0.6000000000000001,uncertain,paramagnetic_like
slices_n8,8,0.8,0.45,0.5,antiphase_like,uncertain
slices_n8,8,0.8,0.7000000000000001,0.75,uncertain,paramagnetic_like
slices_n12,12,0.0,0.75,0.8,ferro_like,uncertain
slices_n12,12,0.0,1.1,1.1500000000000001,uncertain,paramagnetic_like
slices_n12,12,0.3,0.4,0.45,ferro_like,uncertain
slices_n12,12,0.3,0.5,0.55,uncertain,paramagnetic_like
slices_n12,12,0.8,0.45,0.5,antiphase_like,uncertain
slices_n12,12,0.8,0.55,0.6000000000000001,uncertain,paramagnetic_like
slices_n16,16,0.0,0.75,0.8,ferro_like,uncertain
slices_n16,16,0.0,1.05,1.1,uncertain,paramagnetic_like
slices_n16,16,0.3,0.4,0.45,ferro_like,uncertain
slices_n16,16,0.3,0.5,0.55,uncertain,paramagnetic_like
slices_n16,16,0.8,0.4,0.45,antiphase_like,uncertain
slices_n16,16,0.8,0.45,0.5,uncertain,paramagnetic_like
