n,kappa,h,k,partner_k,q_over_pi,value,gap_from_max,unique_global_max
8,0.8,0.0,2,6,0.5,0.5,0.0,True
8,0.8,0.05,2,6,0.5,0.4996312675927691,0.0,True
8,0.8,0.1,2,6,0.5,0.49849414988991053,0.0,True
8,0.8,0.15000000000000002,2,6,0.5,0.4964904597392221,0.0,True
8,0.8,0.2,2,6,0.5,0.4934356167975547,0.0,True
8,0.8,0.25,2,6,0.5,0.48901750863782995,0.0,True
8,0.8,0.30000000000000004,2,6,0.5,0.4827227018523962,0.0,True
8,0.8,0.35000000000000003,2,6,0.5,0.4737328602147058,0.0,True
8,0.8,0.4,2,6,0.5,0.460856879665389,0.0,True
8,0.8,0.45,2,6,0.5,0.4427127892413521,0.0,True
8,0.8,0.5,2,6,0.5,0.41848281655299846,0.0,True
8,0.8,0.55,2,6,0.5,0.3890967332023906,0.0,True
8,0.8,0.6000000000000001,2,6,0.5,0.35756557986242554,0.0,True
8,0.8,0.65,2,6,0.5,0.32750715236056516,0.0,True
8,0.8,0.7000000000000001,2,6,0.5,0.3013096656703479,0.0,True
8,0.8,0.75,2,6,0.5,0.27967952759261794,0.0,True
8,0.8,0.8,2,6,0.5,0.2622578003084291,0.0,True
8,0.8,0.8500000000000001,2,6,0.5,0.24830197921173125,0.0,True
8,0.8,0.9,2,6,0.5,0.2370597975718644,0.0,True
8,0.8,0.9500000000000001,2,6,0.5,0.227901898084287,0.0,True
8,0.8,1.0,2,6,0.5,0.22034045696995125,0.0,True
8,0.8,1.05,2,6,0.5,0.21400888366882365,0.0,True
8,0.8,1.1,2,6,0.5,0.2086343208206361,0.0,True
8,0.8,1.1500000000000001,2,6,0.5,0.20401343181749818,0.0,True
8,0.8,1.2000000000000002,2,6,0.5,0.19999365729088298,0.0,True
8,0.8,1.25,2,6,0.5,0.19645943183148135,0.0,True
8,0.8,1.3,2,6,0.5,0.1933222536428723,0.0,True
8,0.8,1.35,2,6,0.5,0.19051357113746217,0.0,True
8,0.8,1.4000000000000001,2,6,0.5,0.18797967791186843,0.0,True
8,0.8,1.4500000000000002,2,6,0.5,0.18567802726153593,0.0,True
8,0.8,1.5,2,6,0.5,0.18357454985945976,0.0,True
8,0.8,1.55,2,6,0.5,0.18164168349998439,0.0,True
8,0.8,1.6,2,6,0.5,0.17985691180915409,0.0,True
8,0.8,1.6500000000000001,2,6,0.5,0.17820166978910137,0.0,True
8,0.8,1.7000000000000002,2,6,0.5,0.17666051614089964,0.0,True
8,0.8,1.75,2,6,0.5,0.17522050140119674,0.0,True
8,0.8,1.8,2,6,0.5,0.1738706811393734,0.0,True
8,0.8,1.85,1,7,0.25,0.15566396646280756,0.016937771135912216,False
8,0.8,1.85,2,6,0.5,0.17260173759871977,0.0,False
8,0.8,1.9000000000000001,1,7,0.25,0.15532050038898815,0.016085182740629617,False
8,0.8,1.9000000000000001,2,6,0.5,0.17140568312961776,0.0,False
8,0.8,1.9500000000000002,1,7,0.25,0.15496949419854034,0.01530613164589345,False
8,0.8,1.9500000000000002,2,6,0.5,0.1702756258444338,0.0,False
8,0.8,2.0,1,7,0.25,0.15461355391399045,0.014592029085540026,False
8,0.8,2.0,2,6,0.5,0.16920558299953048,0.0,False
12,0.8,0.0,3,9,0.5,0.5,0.0,True
12,0.8,0.05,3,9,0.5,0.49959180986500334,0.0,True
12,0.8,0.1,3,9,0.5,0.4983511641743519,0.0,True
12,0.8,0.15000000000000002,3,9,0.5,0.4962248793132682,0.0,True
12,0.8,0.2,3,9,0.5,0.4931046314717971,0.0,True
12,0.8,0.25,3,9,0.5,0.48878141863727836,0.0,True
12,0.8,0.30000000000000004,3,9,0.5,0.48281921302115355,0.0,True
12,0.8,0.35000000000000003,3,9,0.5,0.47413126004236666,0.0,True
12,0.8,0.4,3,9,0.5,0.45931447040806167,0.0,True
12,0.8,0.45,3,9,0.5,0.42622986112180505,0.0,True
12,0.8,0.5,3,9,0.5,0.3473767463236286,0.0,True
12,0.8,0.55,3,9,0.5,0.24723193649806874,0.0,True
12,0.8,0.6000000000000001,2,10,0.3333333333333333,0.1707955477150993,0.01780309169753011,False
12,0.8,0.6000000000000001,3,9,0.5,0.18859863941262942,0.0,False
12,0.8,0.65,2,10,0.3333333333333333,0.1841442744848528,0.0,True
12,0.8,0.7000000000000001,2,10,0.3333333333333333,0.18765835305219433,0.0,True
12,0.8,0.75,2,10,0.3333333333333333,0.1868574857182126,0.0,True
12,0.8,0.8,2,10,0.3333333333333333,0.18408567438099369,0.0,True
12,0.8,0.8500000000000001,2,10,0.3333333333333333,0.18042248419659157,0.0,True
12,0.8,0.9,2,10,0.3333333333333333,0.17640603630192297,0.0,True
12,0.8,0.9500000000000001,2,10,0.3333333333333333,0.1723187901483385,0.0,True
12,0.8,1.0,2,10,0.3333333333333333,0.16831210362085236,0.0,True
12,0.8,1.05,2,10,0.3333333333333333,0.16446587840500193,0.0,True
12,0.8,1.1,2,10,0.3333333333333333,0.16081945941866044,0.0,True
12,0.8,1.1500000000000001,2,10,0.3333333333333333,0.15738865758595744,0.0,True
12,0.8,1.2000000000000002,2,10,0.3333333333333333,0.1541755636614525,0.0,True
12,0.8,1.25,2,10,0.3333333333333333,0.15117438677863373,0.0,True
12,0.8,1.3,2,10,0.3333333333333333,0.14837499652472233,0.0,True
12,0.8,1.35,2,10,0.3333333333333333,0.14576509135437243,0.0,True
12,0.8,1.4000000000000001,2,10,0.3333333333333333,0.14333152459315784,0.0,True
12,0.8,1.4500000000000002,2,10,0.3333333333333333,0.1410611051257023,0.0,True
12,0.8,1.5,2,10,0.3333333333333333,0.13894106730300484,0.0,True
12,0.8,1.55,2,10,0.3333333333333333,0.13695933184915446,0.0,True
12,0.8,1.6,2,10,0.3333333333333333,0.13510463509897006,0.0,True
12,0.8,1.6500000000000001,2,10,0.3333333333333333,0.13336657613474517,0.0,True
12,0.8,1.7000000000000002,2,10,0.3333333333333333,0.13173561375665907,0.0,True
12,0.8,1.75,2,10,0.3333333333333333,0.13020303388251436,0.0,True
12,0.8,1.8,2,10,0.3333333333333333,0.12876090061745016,0.0,True
12,0.8,1.85,2,10,0.3333333333333333,0.12740199943604452,0.0,True
12,0.8,1.9000000000000001,2,10,0.3333333333333333,0.12611977778000805,0.0,True
12,0.8,1.9500000000000002,2,10,0.3333333333333333,0.12490828632051122,0.0,True
12,0.8,2.0,2,10,0.3333333333333333,0.12376212279391524,0.0,False
12,0.8,2.0,3,9,0.5,0.11163318667660095,0.01212893611731429,False
16,0.8,0.0,4,12,0.5,0.5,0.0,True
16,0.8,0.05,4,12,0.5,0.4995713707875816,0.0,True
16,0.8,0.1,4,12,0.5,0.49826855364796296,0.0,True
16,0.8,0.15000000000000002,4,12,0.5,0.49603797301507035,0.0,True
16,0.8,0.2,4,12,0.5,0.49277878743282855,0.0,True
16,0.8,0.25,4,12,0.5,0.48831402180903055,0.0,True
16,0.8,0.30000000000000004,4,12,0.5,0.48229836593138964,0.0,True
16,0.8,0.35000000000000003,4,12,0.5,0.47373938211959754,0.0,True
16,0.8,0.4,4,12,0.5,0.4549330550194788,0.0,True
