point,kappa,h,layers,run_id,p,cnots,depth,parameter_sha256,seconds,energy,ed_fidelity,mx,m2_ferro,m2_antiphase,diagnostic,prep_c_max,prep_sf_max,prep_mx,noise_c_max,noise_sf_max,noise_mx,trace_real,trace_imag,hermiticity_error,min_eigenvalue,max_eigenvalue,purity
0,0,0.2,6,p00_L6_s11,0,192,223,f64557bdec8aed3ff661ef91090271ba3d326a96439ae515767bb1660243ad89,1.4711239580065012,-8.08020255856764,0.9999999999316942,0.1005104332393488,0.9911346856658012,0.001268934358595819,ferro_like,6.544315989120975e-08,2.7341486963372574e-08,1.4825034684584626e-07,0.0,0.0,0.0,1.0000000000076352,-3.850757775596165e-17,8.326672684688674e-17,-1.1164924177976278e-15,1.0000000000023537,1.0000000000047073
0,0,0.2,6,p00_L6_s11,0.01,192,223,f64557bdec8aed3ff661ef91090271ba3d326a96439ae515767bb1660243ad89,1.471462125016842,-2.804892654954593,0.17645002042129887,0.07047688945077642,0.34172404809034584,0.08664022578272976,degraded,6.544315989120975e-08,2.7341486963372574e-08,1.4825034684584626e-07,0.8054584036350096,0.6494106375754554,-0.030033543788572384,1.0000000000076716,2.847047142311154e-17,6.51965303722015e-18,0.0007868108923721219,0.17655848700551213,0.035913182544504034
0,0,0.2,6,p00_L6_s11,0.05,192,223,f64557bdec8aed3ff661ef91090271ba3d326a96439ae515767bb1660243ad89,1.4788971249945462,-0.05357392037839146,0.004259357482610179,0.003722678322174819,0.12678478370708035,0.12482435696449859,degraded,6.544315989120975e-08,2.7341486963372574e-08,1.4825034684584626e-07,0.989633933898845,0.8643499019587209,-0.09678775491717398,1.0000000000076494,-1.4999682946452778e-17,6.564587311639429e-19,0.0037162851863641187,0.004289053025270027,0.00390871426906759
4,0,1.8,4,p04_L4_s23,0,128,149,10ae3ff48cbaa7752548785032e97d6c504594795a9dd82683a6e3f32d9f20e7,0.9836880840011872,-15.53713541487159,0.9999809150611028,0.916402837756601,0.25500750983564935,0.0997525291408661,paramagnetic_like,0.0005022514330343675,0.00022807919874717753,7.654522906486161e-05,0.0,0.0,0.0,1.0000000000050857,1.599198204416119e-17,1.7780915628762273e-17,-1.017867303185342e-15,1.0000000000023714,1.000000000004742
4,0,1.8,4,p04_L4_s23,0.01,128,149,10ae3ff48cbaa7752548785032e97d6c504594795a9dd82683a6e3f32d9f20e7,0.9888011669972911,-10.992161728339788,0.4099827959234383,0.6520989035935053,0.20986552005223497,0.1092279744049506,paramagnetic_like,0.0005022514330343675,0.00022807919874717753,7.654522906486161e-05,0.09237462932290319,0.04514198978341438,-0.2643039341630957,1.0000000000051135,-1.2739375526704677e-17,8.673617379884035e-18,9.381223804494245e-06,0.41012378236982155,0.17654045351405367
4,0,1.8,4,p04_L4_s23,0.05,128,149,10ae3ff48cbaa7752548785032e97d6c504594795a9dd82683a6e3f32d9f20e7,1.0003239170182496,-2.6375894543997473,0.02073474312143085,0.1602217251175365,0.13994717392649492,0.12237035782165073,degraded,0.0005022514330343675,0.00022807919874717753,7.654522906486161e-05,0.25131724230866426,0.11506033590915443,-0.7561811126390645,1.0000000000050986,1.7211709488207383e-18,1.1143606144549246e-18,0.0012469676484389094,0.020820253412652492,0.00508805576482531
9,0.8,0.2,2,p09_L2_s23,0,64,75,93b6cc01a3526bcec7a7a5dc4d416c65967acc64e239469524a24988464e4c94,0.49766662501497194,-6.502321463729526,0.9997484287842425,0.13077724665023516,0.0020437533312832558,0.49368743678087346,antiphase_like,0.0006999813275156974,0.0002518199833187462,-0.0016573747430733698,0.0,0.0,0.0,1.0000000000025417,5.760705609067071e-17,5.557210413939996e-17,-1.184565692944756e-15,1.0000000000009737,1.0000000000019489
9,0.8,0.2,2,p09_L2_s23,0.01,64,75,93b6cc01a3526bcec7a7a5dc4d416c65967acc64e239469524a24988464e4c94,0.5058037499838974,-4.979692714617613,0.5938996670405738,0.14377494220834725,0.02757788924381219,0.39860266446794584,antiphase_like,0.0006999813275156974,0.0002518199833187462,-0.0016573747430733698,0.2782347706575693,0.09508477231292761,0.012997695558112088,1.0000000000025562,2.5038293920837118e-18,2.7809732887839817e-17,1.0404257181932205e-05,0.5943276085115712,0.3574201123586205
9,0.8,0.2,2,p09_L2_s23,0.05,64,75,93b6cc01a3526bcec7a7a5dc4d416c65967acc64e239469524a24988464e4c94,0.49684320800588466,-1.8078896510533877,0.08114932271399201,0.10910509335291207,0.08373441500798776,0.21125878086333688,degraded,0.0006999813275156974,0.0002518199833187462,-0.0016573747430733698,0.8030265738494669,0.2824286559175366,-0.021672153297323082,1.0000000000025486,8.097634975751111e-18,3.490137563248182e-18,0.0005336278632137862,0.08236898268522949,0.013230033483681205
11,0.8,0.5,8,p11_L8_s37,0,256,297,232e38766085a922764165b6ff8096928f8bb5e782f5f4739a358400aa71bfab,1.9797192500263918,-7.158961929079934,0.9998961326840212,0.4535612945606729,0.025914535950640343,0.4189885148068637,uncertain,0.0019396083303935274,0.000505698253865261,-0.0006958040287687317,0.0,0.0,0.0,1.0000000000101712,5.021438563687155e-17,1.405726519431244e-16,-2.237363742125818e-15,1.0000000000032785,1.0000000000065512
