kappa,h,delta_e,fidelity,epsilon_c,epsilon_sf,epsilon_mx
0.4,0.3,0.00010993575295625835,0.9991618943261068,0.022902709164388205,0.010768264972480346,0.0017481413781242905
0.4,0.4,0.0002201210353875993,0.9992109284368362,0.02203752711259313,0.011099435252813178,0.00023415327091991234
0.45,0.2,0.0005106497669401522,0.9977845315248426,0.03164224404982097,0.010977625062557075,0.0023434096293891704
0.5,0.1,0.0018072570910405705,0.9873482201523511,0.052400225639126274,0.013032505896818036,0.0061208492666989245
0.5,0.2,0.0011729692733595254,0.9958807039960227,0.024724186728833475,0.005765271344790324,0.005742899238514454
0.55,0.1,9.41062255290781e-05,0.9913859010313266,0.023653631930260044,0.007031376826370561,0.010743978382483838
0.55,0.2,0.0017317900945901243,0.9907784388207521,0.03203084478473184,0.009376850653618596,0.005301153287493143
0.55,0.3,0.0011833377885530627,0.9959188221675025,0.025545198395035995,0.00733654223902952,0.005465057584174704
0.6,0.2,0.00022704587489186245,0.9952997029008538,0.03757614767450623,0.011123817405202019,0.015340076128628588
0.6,0.3,0.0020518569905233486,0.9889469290805956,0.08996460977755905,0.02821674935837215,0.029840419279029695
0.65,0.3,0.0005202778895553317,0.9943601678907997,0.04444958759284323,0.013498772353679023,0.01884895177963891
0.65,0.4,0.0012180421137701902,0.9966941444965011,0.01367341038905262,0.004276546487203853,0.002633634444988542
0.75,0.5,0.0010493292671697185,0.9972697605904505,0.024316804253538438,0.007395941946264806,0.007750242798696738
