created_utc,kappa,h,layers,seed,reference_source,energy,nit,nfev,njev,optimization_success,status,message,gradient_inf,seconds,ed_energy,delta_e,fidelity,epsilon_c,epsilon_sf,epsilon_mx,mx,observable_pass,state_pass,joint_pass,optimizer_success,end_to_end_seconds,archive_sha256,name,group,source,archive,cache_status,prior_iterations,prior_seconds,cumulative_iterations,cumulative_seconds
2026-09-22T04:24:54.000812+00:00,0,0.2,2,101,results/baseline/grid_n8.npz,-6.2201576119971875,24,32,32,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1681297706900295e-07,0.0033786249987315387,-8.080202559111354,0.23250561838927086,0.4733837134181613,0.7914839833355911,0.4862889110563565,0.2946000990789594,0.39511038406796134,False,False,False,True,0.005060458002844825,362339a7740dc8e49440aa0c739292513ea7c8364b8f52b9f4fc738bf1c86953,B_p0_L2_s101,B_matched_cold,matched independent cold,results/stage3_v1/optimization/cache/1b6da56046a7f2a9865eed056ae2b43292e978cd47df6965cc0899e1526d86a5.npz,executed,0,0.0,24,0.005060458002844825
2026-09-22T04:24:54.007467+00:00,0,0.2,2,211,results/baseline/grid_n8.npz,-6.431770634858223,28,36,36,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.189999727482018e-06,0.003728957992279902,-8.080202559111354,0.20605399053164142,0.5790986127595289,0.5503406007753582,0.3680430715357558,0.2751329828654875,0.3756432678544894,False,False,False,True,0.0054253750131465495,3c1473d5952d27d48c09469d4f97dd5636ad41d9d4c317b54d17379cdb1dfdb5,B_p0_L2_s211,B_matched_cold,matched independent cold,results/stage3_v1/optimization/cache/eece1ce83870a505943b88977543de6902a57a469cac0ce7dfd0e7b86cca8105.npz,executed,0,0.0,28,0.0054253750131465495
2026-09-22T04:24:54.012786+00:00,0,0.2,2,307,results/baseline/grid_n8.npz,-6.02925634087525,22,26,26,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.78750555910068e-06,0.002710040978854522,-8.080202559111354,0.25636827727951306,0.4097047214141734,0.8580323981464071,0.532823362391962,0.3116027410296495,0.41211302601865146,False,False,False,True,0.004243041999870911,ae6319c549f8ce2a12c8322e6007c635742b705d6ba928baa2163b109a48f3dc,B_p0_L2_s307,B_matched_cold,matched independent cold,results/stage3_v1/optimization/cache/63f6aa470e5b483787e683a7b6cd84b312050f39a1a4a236f6e7ee4beddeb263.npz,executed,0,0.0,22,0.004243041999870911
2026-09-22T04:24:54.040275+00:00,0,0.2,4,101,results/baseline/grid_n8.npz,-7.601778821010844,109,134,134,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2595155845840367e-05,0.024886625004000962,-8.080202559111354,0.059802967262563844,0.8933428596216503,0.16615785156831797,0.10310762653693772,0.06494682147205054,0.1654571064610525,False,False,False,True,0.026537124998867512,9b62b9b36bcc2ebbb235efc93b8e5429f997b5d0d0821fa9f63897080953c4b8,B_p0_L4_s101,B_matched_cold,matched independent cold,results/stage3_v1/optimization/cache/8dab506a62bbd338984c085e537ae6594aeab10317eb664c7f681c6f38d25a38.npz,executed,0,0.0,109,0.026537124998867512
2026-09-22T04:24:54.056417+00:00,0,0.2,4,211,results/baseline/grid_n8.npz,-7.908533431966486,61,72,72,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.728523916766367e-05,0.013268834009068087,-8.080202559111354,0.02145864089310856,0.9693328260567604,0.04336316086613967,0.031578889268205845,0.03053399442950923,0.13104427941851118,False,False,False,True,0.014887166995322332,831c37527e6dbf1e3b498f3f9bbe4834763b2181e43f947dc5a8e48a3851207e,B_p0_L4_s211,B_matched_cold,matched independent cold,results/stage3_v1/optimization/cache/d1993ff3d4171a9d62b60da5354791ec57626ae9aa7f41ceab26572447ca152c.npz,executed,0,0.0,61,0.014887166995322332
2026-09-22T04:24:54.073927+00:00,0,0.2,4,307,results/baseline/grid_n8.npz,-8.004495837419705,64,79,79,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.914783148128436e-06,0.014693375007482246,-8.080202559111354,0.009463340211456117,0.9882632659593502,0.01650098937551192,0.012440301522446351,0.008721154241527515,0.10923143923052947,False,False,False,True,0.016382875008275732,f6ca77604188bd6030e09d1830590bd3c61720904a835656c2cb0b7c926107c0,B_p0_L4_s307,B_matched_cold,matched independent cold,results/stage3_v1/optimization/cache/a5083a36ee6839eb8910aeae70b10487f9617725ba97ec7d2fabbd7fce7ae543.npz,executed,0,0.0,64,0.016382875008275732
2026-09-22T04:24:54.185616+00:00,0,0.2,6,101,results/baseline/grid_n8.npz,-8.077585573074213,379,410,410,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.179665756825045e-05,0.10863491601776332,-8.080202559111354,0.00032712325464268055,0.9996825023028237,0.0004618933910998102,0.00035692597570313733,0.0003824643593309113,0.10089274934833287,True,True,True,True,0.1104036670003552,59cb450e9de30479cec4850bb21e8327ac6b50806bf7ed8511803bf00a7b2551,B_p0_L6_s101,B_matched_cold,matched independent cold,results/stage3_v1/optimization/cache/4f45eee4de6f171f52423226ccc880c7f6e724a77f0dcf38b8a380a252594a9e.npz,executed,0,0.0,379,0.1104036670003552
2026-09-22T04:24:54.218835+00:00,0,0.2,6,211,results/baseline/grid_n8.npz,-8.080202559107956,104,112,112,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.747308724466052e-06,0.029944665991934016,-8.080202559111354,4.247713292215849e-13,0.9999999999994011,2.7681606784568658e-08,2.1963990959328328e-08,1.09276473786446e-07,0.10051039426547574,True,True,True,True,0.031641459005186334,49e41f569ea65bad7e9576f65c369021e90d2e5774320079bd3fd43306551ab6,B_p0_L6_s211,B_matched_cold,matched independent cold,results/stage3_v1/optimization/cache/81e3c38db20be55b3f715a1c761bcc70417a27ea525f43c29bf7c63de40aaa2f.npz,executed,0,0.0,104,0.031641459005186334
2026-09-22T04:24:54.285093+00:00,0,0.2,6,307,results/baseline/grid_n8.npz,-8.043872370388657,216,237,237,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0274614307803631e-05,0.06320795798092149,-8.080202559111354,0.00454127359033718,0.9949835701780954,0.007888744278040427,0.005941641794900088,0.00578299692145573,0.10629328191045768,False,True,False,True,0.06497895799111575,d363113aa1cbb908695951961e578785541abb3be2f176f54dd2d7e05089ae74,B_p0_L6_s307,B_matched_cold,matched independent cold,results/stage3_v1/optimization/cache/03f2274b2bec8d85b66c92447a5125f5828eddea9f1e769fcc9e03523745c197.npz,executed,0,0.0,216,0.06497895799111575
2026-09-22T04:24:54.293918+00:00,0,1.8,2,101,results/baseline/grid_n8.npz,-15.52205599593245,46,54,54,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.966645524793421e-07,0.005499749997397885,-15.537373407725461,0.0019146764741264644,0.996675418605075,0.0471042936528514,0.026167654901202098,0.005863661994647051,0.9221899545221832,False,True,False,True,0.00714591599535197,6abde22bbd1955271af93220fe3c77967743da94ce6464e7cf43743e1984d930,B_p1_L2_s101,B_matched_cold,matched independent cold,results/stage3_v1/optimization/cache/f27fe3c99d10fe5f6b40718d30c92cceaa4c692815a5f93c8de77497203eb90b.npz,executed,0,0.0,46,0.00714591599535197
