kappa,h,L,cold_pass,pass0,delta_e,F0,SFerr_p0,SFerr_p01,SFerr_p05,Rmix_p05,Dmix_p05
0,0.2,2,0/3,False,0.206,0.579099,0.368,0.4926,0.744,0.01115,0.3792
0,0.2,4,0/3,False,0.00946,0.988263,0.01244,0.4391,0.826,0.0006501,0.1463
0,0.2,6,2/3,True,4.25e-13,1.000000,2.196e-08,0.6101,0.8616,1.561e-05,0.02522
0,1.8,2,1/3,True,0.000587,0.999263,0.00418,0.02968,0.08865,0.01879,0.4486
0,1.8,4,2/3,True,1.65e-05,0.999989,0.0001821,0.0527,0.1211,0.001208,0.1891
0,1.8,6,3/3,True,2.86e-09,1.000000,8.168e-06,0.09371,0.1303,3.115e-06,0.01104
0.3,0.4,2,0/3,False,0.0181,0.730062,0.4079,0.479,0.6257,0.01055,0.3722
0.3,0.4,4,0/3,False,0.00719,0.915214,0.1811,0.4104,0.6585,0.000742,0.1525
0.3,0.4,6,2/3,True,1.01e-05,0.999981,2.777e-05,0.4797,0.6875,1.645e-05,0.02565
0.8,0.2,2,3/3,True,7.79e-05,0.999740,0.0002593,0.1049,0.301,0.005564,0.2697
0.8,0.2,4,3/3,True,3.1e-06,0.999991,2.126e-05,0.1581,0.3468,0.0002081,0.08289
0.8,0.2,6,3/3,True,2.7e-06,0.999992,1.912e-05,0.2363,0.3647,9.338e-06,0.01888
0.8,0.5,2,0/3,False,0.00576,0.966338,0.02618,0.05083,0.2094,0.01186,0.3879
0.8,0.5,4,0/3,False,0.00154,0.992842,0.01056,0.1274,0.2784,0.0001723,0.07515
0.8,0.5,6,0/3,False,0.000749,0.997692,0.005788,0.1604,0.288,2.153e-05,0.029
