group,kappa,h,runs,joint_pass,optimizer_success,best_energy,median_delta_e,median_fidelity,new_seconds
A1_parameter_resume,0.3,0.4,3,1,3,-6.117059490287209,0.0013143577472317647,0.9921145624796722,0.20901441801106557
A2_independent_cold,0.3,0.4,6,4,5,-6.1171920067790655,0.0003937231051361345,0.9989783896353855,1.5636833349708468
A3_continuation,0.3,0.4,3,3,3,-6.1172462654847255,3.6553372926517724e-05,0.9999313882241436,0.4623089579981752
A3_continuation,0.3,0.45,3,3,3,-6.291439484679223,2.9927912092442277e-05,0.9999384983506369,0.9564067089813761
Aextra_independent_cold,0,1.0,3,1,3,-10.247766830157055,0.002132410495300663,0.9968097344695169,0.47186795898596756
Aextra_independent_cold,0.8,0.4,3,2,3,-6.8515832791534095,0.0002738246196138938,0.99904457237881,1.0185457909828983
Aextra_independent_cold,0.8,0.6,3,2,3,-7.577893047419282,0.0004055163712766152,0.9993425316688597,0.6566015830321703
Aextra_independent_cold,0.8,0.8,3,1,3,-8.688428541773003,0.0035131646193991006,0.9943710874366491,0.4889323329553008
Aextra_parameter_resume,0,1.0,3,1,3,-10.251661426110056,0.0009702472357875358,0.9989087872516044,0.0744909170025494
Aextra_parameter_resume,0.8,0.4,3,2,3,-6.851237893196221,0.00031475838147465574,0.9987191006505411,0.43823466697358526
Aextra_parameter_resume,0.8,0.6,3,0,3,-7.5683944428647285,0.003740837638534167,0.9887835951419279,0.029683418018976226
Aextra_parameter_resume,0.8,0.8,3,2,3,-8.688533548643422,0.0006477828065927227,0.9991779973245465,0.31802074998267926
