kappa,L,p,feature,status,delta_h,reason,h0,hp,shift_support_low,shift_support_high,complementary_indicator_agrees,nonzero_shift_resolved
0.0,4,0.01,order,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.0,4,0.05,order,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.0,4,0.01,mx,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.0,4,0.05,mx,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.0,6,0.01,order,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.0,6,0.05,order,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.0,6,0.01,mx,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.0,6,0.05,mx,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.3,4,0.01,order,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.3,4,0.05,order,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.3,4,0.01,mx,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.3,4,0.05,mx,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.3,6,0.01,order,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.3,6,0.05,order,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.3,6,0.01,mx,single_indicator_only,-0.10000000000000003,Grid support only; needs complementary-indicator agreement,0.45,0.35,-0.2,0.0,False,False
0.3,6,0.05,mx,single_indicator_only,-0.10000000000000003,Grid support only; needs complementary-indicator agreement,0.45,0.35,-0.2,0.0,False,False
0.8,4,0.01,order,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.8,4,0.05,order,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.8,4,0.01,mx,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.8,4,0.05,mx,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.8,6,0.01,order,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.8,6,0.05,order,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.8,6,0.01,mx,not_resolved,,No mutually matched resolved feature with valid preparation and checked branch neighborhood,,,,,,
0.8,6,0.05,mx,single_indicator_only,0.050000000000000044,Grid support only; needs complementary-indicator agreement,0.5,0.55,-0.050000000000000044,0.14999999999999997,False,False
