kappa,L,p,feature,index,h,height,interval_low,interval_high,step,endpoint,prominence,half_prominence_width,observable_range,coarse_grid_stable,resolved,status,reasons
0.0,4,0,order,18,0.95,0.9402121327090285,0.9,0.95,0.05,True,0.0,,0.3284663999271138,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.0,4,0,order,20,1.05,0.8841249127120667,1.05,1.1,0.05,True,0.0,,0.3327567005985174,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.0,4,0,mx,17,0.9,0.8675904263222369,0.85,0.95,0.05,False,0.0021572163263590127,0.030218152329980087,0.5702688204023317,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable""]"
0.0,4,0,mx,20,1.05,0.7284928736068252,1.05,1.1,0.05,True,0.0,,0.25079027852244073,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.0,4,0.01,order,18,0.95,0.31323960029126496,0.9,0.95,0.05,True,0.0,,0.10803962930913041,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.0,4,0.01,order,20,1.05,0.40273675202234394,1.05,1.1,0.05,True,0.0,,0.1651527264433009,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.0,4,0.01,mx,18,0.95,0.37490363997750453,0.9,0.95,0.05,True,0.0,,0.24511742606172285,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.0,4,0.01,mx,20,1.05,0.37990162596058674,1.05,1.1,0.05,True,0.0,,0.15119151663600727,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.0,4,0.05,order,18,0.95,0.004002600827163416,0.9,0.95,0.05,True,0.0,,0.0014141189235932494,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.0,4,0.05,order,20,1.05,0.022972381512823103,1.05,1.1,0.05,True,0.0,,0.014301923027825458,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.0,4,0.05,mx,18,0.95,0.01278163639049415,0.9,0.95,0.05,True,0.0,,0.007796098909618452,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
