kappa,L,p,h_low,h_high,from_label,to_label,both_preparation_valid,branch_switch,interpretation
0.0,4,0,0.7,0.75,ferro_like,uncertain,True,False,control-resemblance transition only
0.0,4,0,1.15,1.2,uncertain,paramagnetic_like,True,False,control-resemblance transition only
0.0,4,0.01,0.95,1.0,degraded,uncertain,False,True,control-resemblance transition only
0.0,4,0.01,1.25,1.3,uncertain,paramagnetic_like,True,False,control-resemblance transition only
0.0,6,0,0.7,0.75,ferro_like,uncertain,True,True,control-resemblance transition only
0.0,6,0,1.15,1.2,uncertain,paramagnetic_like,True,False,control-resemblance transition only
0.0,6,0.01,1.15,1.2,degraded,uncertain,True,False,control-resemblance transition only
0.3,4,0,0.35,0.4,ferro_like,uncertain,False,True,control-resemblance transition only
0.3,4,0,0.55,0.6,uncertain,paramagnetic_like,True,False,control-resemblance transition only
0.3,4,0.01,0.35,0.4,degraded,uncertain,False,True,control-resemblance transition only
0.3,4,0.01,0.7,0.75,uncertain,paramagnetic_like,True,False,control-resemblance transition only
0.3,4,0.01,0.75,0.8,paramagnetic_like,uncertain,True,True,control-resemblance transition only
0.3,4,0.01,0.8,0.85,uncertain,paramagnetic_like,True,True,control-resemblance transition only
0.3,6,0,0.4,0.45,ferro_like,uncertain,True,False,control-resemblance transition only
0.3,6,0,0.55,0.6,uncertain,paramagnetic_like,True,True,control-resemblance transition only
0.3,6,0.01,0.75,0.8,degraded,uncertain,True,False,control-resemblance transition only
0.3,6,0.01,1.55,1.6,uncertain,paramagnetic_like,True,False,control-resemblance transition only
0.8,4,0,0.45,0.5,antiphase_like,uncertain,False,False,control-resemblance transition only
0.8,4,0,0.7,0.75,uncertain,paramagnetic_like,False,False,control-resemblance transition only
0.8,4,0.01,0.25,0.3,antiphase_like,uncertain,True,False,control-resemblance transition only
0.8,4,0.01,0.5,0.55,uncertain,degraded,False,True,control-resemblance transition only
0.8,4,0.01,0.55,0.6,degraded,uncertain,False,False,control-resemblance transition only
0.8,4,0.01,0.95,1.0,uncertain,paramagnetic_like,False,True,control-resemblance transition only
0.8,6,0,0.45,0.5,antiphase_like,uncertain,True,False,control-resemblance transition only
0.8,6,0,0.7,0.75,uncertain,paramagnetic_like,True,False,control-resemblance transition only
0.8,6,0.01,1.0,1.05,degraded,uncertain,True,False,control-resemblance transition only
