kappa,L,p,feature,preparation_valid_count,raw_peak_count,resolved_peak_count,status,curve_range,reason_if_unresolved
0.0,4,0,order,39,2,0,not_resolved,0.7671938096553117,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.0,4,0,mx,39,2,0,not_resolved,0.9085977016975668,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.0,4,0.01,order,39,2,0,not_resolved,0.23310028260278762,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.0,4,0.01,mx,39,2,0,not_resolved,0.6719068963837366,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.0,4,0.05,order,39,2,0,not_resolved,0.02613083314633316,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.0,4,0.05,mx,39,3,0,not_resolved,0.1740536263587079,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.0,6,0,order,40,1,1,resolved,0.7671872420829218,
0.0,6,0,mx,40,1,1,resolved,0.9085968037189687,
0.0,6,0.01,order,39,8,0,not_resolved,0.22031567373294483,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.0,6,0.01,mx,39,6,0,not_resolved,0.44074488061856354,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.0,6,0.05,order,40,10,0,not_resolved,0.0030937066705956917,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.0,6,0.05,mx,40,11,0,not_resolved,0.03898910474963299,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.3,4,0,order,37,2,0,not_resolved,0.8306148561607238,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.3,4,0,mx,37,2,0,not_resolved,0.9166499852050026,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.3,4,0.01,order,37,4,0,not_resolved,0.2865723523881024,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.3,4,0.01,mx,37,5,0,not_resolved,0.6434578809658195,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.3,4,0.05,order,37,6,0,not_resolved,0.02843710228988286,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.3,4,0.05,mx,37,6,0,not_resolved,0.16278749515075647,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.3,6,0,order,40,1,1,resolved,0.8306262040832149,
0.3,6,0,mx,40,1,1,resolved,0.9166459866481923,
0.3,6,0.01,order,38,5,0,not_resolved,0.2486014012506103,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.3,6,0.01,mx,38,6,1,resolved,0.5258045048540174,
0.3,6,0.05,order,39,5,0,not_resolved,0.0071085092288036555,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.3,6,0.05,mx,39,6,1,resolved,0.06891813599969937,
0.8,4,0,order,30,2,0,not_resolved,0.33046450568182717,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.8,4,0,mx,30,2,0,not_resolved,0.9108301653181898,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.8,4,0.01,order,29,2,0,not_resolved,0.1965973007545334,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.8,4,0.01,mx,29,5,0,not_resolved,0.6088775525163171,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.8,4,0.05,order,29,5,0,not_resolved,0.025794929997751098,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.8,4,0.05,mx,29,6,0,not_resolved,0.1345965222739579,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.8,6,0,order,40,1,1,resolved,0.3304229497503519,
0.8,6,0,mx,40,1,1,resolved,0.910798830443603,
0.8,6,0.01,order,38,3,0,not_resolved,0.12911921631560447,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.8,6,0.01,mx,38,6,0,not_resolved,0.5242208616570476,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.8,6,0.05,order,40,6,0,not_resolved,0.004672732318113881,"See individual peaks; no feature satisfies all frozen amplitude, prominence, stability and branch checks"
0.8,6,0.05,mx,40,8,2,resolved,0.057403548971575055,
