L,p,h,m_pi2,strongest_other,other_q_over_pi,competing_excess,near_peaks,preparation_failed
4,0,0.05,0.4996312663018678,0.00012317901193550348,0.25,-0.49950808728993235,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.4996312663018678, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,0.1,0.4984941581138472,0.0005064403255211836,0.25,-0.497987717788326,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.4984941581138472, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,0.15,0.4964921209717361,0.0011934783013093984,0.25,-0.4952986426704267,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.4964921209717361, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,0.2,0.493448506419469,0.0022682369657904496,0.25,-0.4911802694536786,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.493448506419469, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,0.25,0.4890844750134822,0.0038710552808837594,0.25,-0.4852134197325984,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.4890844750134822, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,0.3,0.4829893593861437,0.006221535792594483,0.25,-0.4767678235935492,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.4829893593861437, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,0.35,0.47457884873875644,0.009655033077430633,0.25,-0.4649238156613258,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.47457884873875644, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,0.4,0.46307039284122015,0.01465385508351999,0.25,-0.4484165377577002,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.46307039284122015, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,0.45,0.4474935099230644,0.02186659982829907,0.25,-0.42562691009476533,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.4474935099230644, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,0.5,0.4268275730743192,0.03205612933082608,0.25,-0.3947714437434931,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.4268275730743192, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0,0.55,0.3991397900424369,0.046198721694843584,0.25,-0.3529410683475933,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.3991397900424369, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0,0.6,0.3680301216898866,0.06344957542468453,0.25,-0.30458054626520203,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.3680301216898866, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0,0.65,0.33644121949646827,0.081612972382306,0.25,-0.2548282471141623,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.33644121949646827, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0,0.7,0.3075839089725855,0.09861011781875237,0.25,-0.2089737911538331,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.3075839089725855, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0,0.75,0.2832607210354354,0.1131062516881956,0.25,-0.17015446934723982,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.2832607210354354, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0,0.8,0.2637437040255217,0.1247014110321334,0.25,-0.13904229299338833,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.2637437040255217, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0,0.85,0.2484266511928264,0.13360379974260816,0.25,-0.11482285145021823,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.2484266511928264, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0,0.9,0.23642708325338538,0.14028196557907557,0.25,-0.0961451176743098,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.23642708325338538, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0,0.95,0.22691974976051857,0.1452360236236767,0.25,-0.08168372613684186,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.22691974976051857, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0,1.0,0.2157421171108743,0.15300560208649513,0.25,-0.06273651502437916,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.2157421171108743, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.05,0.21040365810801487,0.15471080507580542,0.25,-0.055692853032209444,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.21040365810801487, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.1,0.20581026348157558,0.15593000564268278,0.25,-0.0498802578388928,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.20581026348157558, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.15,0.20179729277930583,0.15679053196930845,0.25,-0.04500676080999738,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.20179729277930583, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.2,0.1982535655622974,0.15737532259031206,0.25,-0.040878242971985335,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.1982535655622974, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.25,0.19508827730695574,0.15775211052213406,0.25,-0.037336166784821684,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.19508827730695574, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.3,0.19223934356855743,0.15796477282498195,0.25,-0.03427457074357548,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.19223934356855743, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.35,0.1896568531726282,0.15804900472303493,0.25,-0.03160784844959327,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.1896568531726282, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.4,0.1873012548778102,0.15803037290768776,0.25,-0.029270881970122453,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.1873012548778102, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.45,0.18513869636818803,0.15793413824207034,0.25,-0.02720455812611769,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.18513869636818803, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.5,0.18314630127632422,0.15777289375669099,0.25,-0.02537340751963324,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.18314630127632422, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.55,0.1812983627207005,0.15756354128643746,0.25,-0.02373482143426303,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.1812983627207005, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.6,0.17958652852326512,0.1573109448811642,0.25,-0.022275583642100916,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.17958652852326512, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.65,0.17798495081295007,0.15703001038133974,0.25,-0.020954940431610336,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.17798495081295007, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.7,0.176488589949656,0.15672380621283272,0.25,-0.019764783736823277,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.176488589949656, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.75,0.17508570823010536,0.15639771691154095,0.25,-0.018687991318564412,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.17508570823010536, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.8,0.17376281797111529,0.15605981878998915,0.25,-0.01770299918112614,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.17376281797111529, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0,1.85,0.17251713487128306,0.1557100982660815,0.25,-0.016807036605201553,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.1557100982660815, ""gap_from_max"": 0.016807036605201553, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.17251713487128306, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
4,0,1.9,0.17133981960116001,0.15535340737993372,0.25,-0.015986412221226293,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.15535340737993372, ""gap_from_max"": 0.015986412221226293, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.17133981960116001, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
4,0,1.95,0.17022381838129408,0.1549925875319633,0.25,-0.015231230849330785,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.1549925875319633, ""gap_from_max"": 0.015231230849330785, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.17022381838129408, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
4,0,2.0,0.16916676062004068,0.15462695460867942,0.25,-0.014539806011361261,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.15462695460867942, ""gap_from_max"": 0.014539806011361261, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.16916676062004068, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
4,0.01,0.05,0.3476927015377713,0.05342267135495181,0.25,-0.2942700301828195,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.3476927015377713, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,0.1,0.3471357658276337,0.05395597311968639,0.25,-0.29317979270794736,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.3471357658276337, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,0.15,0.3459924931654561,0.05476081589625843,0.25,-0.2912316772691977,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.3459924931654561, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,0.2,0.3440154283161606,0.055996341019965055,0.25,-0.2880190872961956,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.3440154283161606, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,0.25,0.34115240868700414,0.05766439927029436,0.25,-0.28348800941670976,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.34115240868700414, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,0.3,0.33719862192427996,0.05990763359454385,0.25,-0.2772909883297361,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.33719862192427996, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,0.35,0.33187551024445194,0.06289903499853908,0.25,-0.26897647524591284,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.33187551024445194, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,0.4,0.3248179409817332,0.06687733375121646,0.25,-0.25794060723051676,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.3248179409817332, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,0.45,0.31557729488377717,0.07214610937823869,0.25,-0.2434311855055385,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.31557729488377717, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,0.5,0.3037001192743494,0.0790260585217915,0.25,-0.2246740607525579,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.3037001192743494, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.55,0.27127168305866706,0.08900752594842633,0.25,-0.18226415711024074,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.27127168305866706, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.6,0.2572719858715527,0.09784455766454979,0.25,-0.1594274282070029,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.2572719858715527, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.65,0.2427306303244641,0.10737624721701176,0.25,-0.13535438310745235,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.2427306303244641, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.7,0.2291710854305709,0.11649804762500945,0.25,-0.11267303780556145,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.2291710854305709, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.75,0.21752725774551246,0.12441405040288207,0.25,-0.09311320734263039,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.21752725774551246, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.8,0.20800112082062652,0.13080931912787078,0.25,-0.07719180169275575,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.20800112082062652, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
