kappa,h,layers,p,main_name,alternate_name,main_archive,alternate_archive,max_c_difference,max_sf_difference,mx_difference,branch_sensitive,description
0.0,1.0,4,0,C_k0.00_L4_ascending_s307_h1.00,C_k0.00_L4_descending_s211_h1.00,results/stage3_v1/density_cache/b5ca605e431a149d2baa16db6dccef9880b5cdff0f076aecfa6e9f02854ad643.npz,results/stage3_v1/density_cache/e5001636114ffe18f141cc2986eb82270a7901735cdd268caf6d5511bab97ddd.npz,0.036156231848043674,0.025748073878561928,0.01730134612803791,True,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.0,1.0,4,0.01,C_k0.00_L4_ascending_s307_h1.00,C_k0.00_L4_descending_s211_h1.00,results/stage3_v1/density_cache/b23de092f1fc4ee6f6dbfe8f11d253d9fb5521b4aa5297ca9b5bc1388a2ca4dc.npz,results/stage3_v1/density_cache/d560d5d0e67174dfd0234ae1dcc13f2d9094bf5ce1169bbefa8e5a0762824b24.npz,0.03378178311117558,0.009770116076151858,0.04517679157932819,True,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.0,1.0,4,0.05,C_k0.00_L4_ascending_s307_h1.00,C_k0.00_L4_descending_s211_h1.00,results/stage3_v1/density_cache/248fe26db74d983917622f2d8723ee48c3701057e1a431dedaefd6f2384aa456.npz,results/stage3_v1/density_cache/8a1f841021198200ce20e4f4a3992d4bab5421393c8f1cc9a1d324b4bcdd4bae.npz,0.022124668520716807,0.007627495715950755,0.04133789899716768,True,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.0,1.7,6,0,C_k0.00_L6_ascending_s307_h1.70,C_k0.00_L6_descending_s101_h1.70,results/stage3_v1/density_cache/2614c16d795ee8bea30e9efde22c21222e6e64acd305e64c9fbcfbf1a7a5019c.npz,results/stage3_v1/density_cache/6fb7437cb1f239fdfc5a7274fcc40e248f2091f8a9a13b3b2b59f17976742241.npz,7.374553384328908e-06,1.243136895007213e-06,5.685601638383275e-07,False,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.0,1.7,6,0.01,C_k0.00_L6_ascending_s307_h1.70,C_k0.00_L6_descending_s101_h1.70,results/stage3_v1/density_cache/fc5390123d97af297932e7913431351bd3edb58e1587e3ffcdfac823a9a5daf6.npz,results/stage3_v1/density_cache/6d5651eafc10f7e75246dc12bfc349d3d9d879a23aca6b87e536c210e044bc33.npz,0.015335739896115697,0.0047811477761074694,0.0007379263494005084,False,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.0,1.7,6,0.05,C_k0.00_L6_ascending_s307_h1.70,C_k0.00_L6_descending_s101_h1.70,results/stage3_v1/density_cache/9a2e76c67fcf6b397015f4214205f7506110a39878e5873c735e0216ec452ea9.npz,results/stage3_v1/density_cache/eace8a1a5b6e3671eca73853c98a5511ba0cc807df857b0937b7079d0c42ad9f.npz,0.006884673739108244,0.0019794858473411725,0.0016826728679746744,False,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.0,0.8,6,0,C_k0.00_L6_descending_s101_h0.80,C_k0.00_L6_ascending_s307_h0.80,results/stage3_v1/density_cache/15257b1e6dd3d484b25d88e88bc4882ced4c80fd2365d8657cff480a540a79e4.npz,results/stage3_v1/density_cache/f57d050bfa5777be09015f87d278982167777028c78181a2233c4d5982928c32.npz,1.0304716485221022e-05,5.04873878115486e-06,1.7056174831386883e-06,False,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.0,0.8,6,0.01,C_k0.00_L6_descending_s101_h0.80,C_k0.00_L6_ascending_s307_h0.80,results/stage3_v1/density_cache/98c83739be64ac495e430bf8a5915701a52067c8b5aa52fc5cf6f88df8f6aeb3.npz,results/stage3_v1/density_cache/da3dd80b95174980aa010d2318aecbce35b336184a55d5c2a74426b800add5f8.npz,0.03450962722381298,0.02155745999381431,0.007732993286755696,True,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.0,0.8,6,0.05,C_k0.00_L6_descending_s101_h0.80,C_k0.00_L6_ascending_s307_h0.80,results/stage3_v1/density_cache/65cbdf3919972e18f12c6f60b001e2f0788c35fefa4d07af8eb6a6e966f7d98e.npz,results/stage3_v1/density_cache/8e44487f8a932ef219504595e7e8b763258595f7a90ecafe3580d5a4c014bc69.npz,0.005385850199248518,0.001618157053312655,0.0017896890369098611,False,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.3,0.4,4,0,C_k0.30_L4_descending_s211_h0.40,C_k0.30_L4_ascending_s101_h0.40,results/stage3_v1/density_cache/cb7912bf8e27df7642cf3ec9f62d55eb17d138d9886761a2c1b29602181c883f.npz,results/stage3_v1/density_cache/8abc6d6f264fa240a2c8ffa4595558e10e01926043aa9ef7f3835ea044a701ab.npz,0.039085028968350644,0.026764323700132375,0.015616321187302218,True,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.3,0.4,4,0.01,C_k0.30_L4_descending_s211_h0.40,C_k0.30_L4_ascending_s101_h0.40,results/stage3_v1/density_cache/11e835540902235bd83bb7f82ba3077c43cb1635f83433989fa20ed3e1715ac3.npz,results/stage3_v1/density_cache/928f99015f0169818bd6180318c19b49d5fc0046ef7cbe28f36516612ba58307.npz,0.022974030663459405,0.011515201063413916,0.027571612360633213,True,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.3,0.4,4,0.05,C_k0.30_L4_descending_s211_h0.40,C_k0.30_L4_ascending_s101_h0.40,results/stage3_v1/density_cache/21af7a5dfc5faa79f813c61527e4c169433b0c0f9ff4dd8ee4f65043bcaa8eb5.npz,results/stage3_v1/density_cache/9f0462a276ece4e5dbee72f99bf3d1b3dfe531eafc435089cc0ff8522a286116.npz,0.013933335812322374,0.003527173488419799,0.010055564545026374,False,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.3,0.85,4,0,C_k0.30_L4_descending_s307_h0.85,C_k0.30_L4_ascending_s101_h0.85,results/stage3_v1/density_cache/e8c9f588dd467d4e0ce3383b60c4211702246e3ccd971565458ccfdd2ad110f1.npz,results/stage3_v1/density_cache/0faa16a6a92bd4e5a12e6ac5767e96397e8e547db95a293a2cf42b1d1087912b.npz,0.005905691955347743,0.002840391917165175,0.0002136547014970347,False,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.3,0.85,4,0.01,C_k0.30_L4_descending_s307_h0.85,C_k0.30_L4_ascending_s101_h0.85,results/stage3_v1/density_cache/52eafcd0ec3e080028ef1db586929ab885d5f5d3e97abf000ed9df46ccd7dfda.npz,results/stage3_v1/density_cache/c732ee11be3e15f300ce232a1d300223ba135da24d6530eb4bdee6a9489b06e5.npz,0.015334196047583057,0.00539748659865541,0.014271305078530583,False,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.3,0.85,4,0.05,C_k0.30_L4_descending_s307_h0.85,C_k0.30_L4_ascending_s101_h0.85,results/stage3_v1/density_cache/0e315e6219074bbe8727a291dcd088c94c0202f06f594636a0b3c4bdae9e5778.npz,results/stage3_v1/density_cache/3f5922046e8c94d319f816f89ce0e6be8b935bb336fc2f89d23123f01902da81.npz,0.011573576338531816,0.004805895305792923,0.011271742920362066,False,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.3,0.7,6,0,C_k0.30_L6_ascending_s307_h0.70,C_k0.30_L6_descending_s101_h0.70,results/stage3_v1/density_cache/a77a8de9e6e51501b976af880db8fcff4e5b736af078e68d123196af2a739e50.npz,results/stage3_v1/density_cache/cd627d8c12dc0d637c896e6078080adb3759b5716d004b38230a873214c60b9a.npz,0.00014983823063452473,8.012424486081304e-05,5.7804557934026946e-05,False,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.3,0.7,6,0.01,C_k0.30_L6_ascending_s307_h0.70,C_k0.30_L6_descending_s101_h0.70,results/stage3_v1/density_cache/438e6d9452b50b9a8171747c4342f583b2b9f5be701741a82f448c8a0300cef1.npz,results/stage3_v1/density_cache/d68f915693c6b6e2e7574e1324595d4f65ead5c603ef92c28dddafe9ae9a245a.npz,0.05439135905684633,0.013384874226552435,0.059720289011949645,True,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.3,0.7,6,0.05,C_k0.30_L6_ascending_s307_h0.70,C_k0.30_L6_descending_s101_h0.70,results/stage3_v1/density_cache/e389069323ef3f949e25dbf3e39ba7e08ec9430903f653e61362f389915d6171.npz,results/stage3_v1/density_cache/97eaf9afb523d176e715dd21c603a9e437197bd376932fc095dfce353cbc6405.npz,0.015384885405855364,0.004495992750889036,0.023112346388280667,True,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
0.3,0.6,6,0,C_k0.30_L6_ascending_s101_h0.60,C_k0.30_L6_descending_s211_h0.60,results/stage3_v1/density_cache/513cb244307f39c5ebc2b15681a69376789b545f56a692325ed54d82953698a1.npz,results/stage3_v1/density_cache/a709a9080ec43430f34d24a2c1f23ada558b7213bfbd90816f4dc3ba566a415d.npz,0.0009676759397218015,0.0005834515019111919,0.00017465374492087182,False,preparation_protocol_sensitivity; not a statistical error or physical hysteresis
