n,kappa,h,ref,seed,method,cnots,delta_e,fidelity,joint_pass
8,0.8,0.5,antiphase,11,fixed,6,0.0949470817314596,0.6790659494168515,False
8,0.8,0.5,antiphase,11,fixed,22,0.0949470817314596,0.6790659494168515,False
8,0.1,2.0,antiphase,11,cost,6,2.019101226402434,0.011919950084573978,False
8,0.1,2.0,antiphase,11,cost,16,0.6056309438180261,0.42822235097520966,False
8,0.1,2.0,antiphase,11,cost,32,0.016119148081348733,0.9832448050019111,False
8,0.1,2.0,antiphase,11,cost,64,2.658487041173885e-06,0.9999982939744949,True
8,0.1,2.0,antiphase,11,cost,96,2.3842387975037127e-07,0.9999998810226123,True
8,0.1,2.0,antiphase,11,cost,114,9.248006760387284e-08,0.9999999539614887,True
8,0.475,0.55,ghz,11,cost,7,0.30070174964565255,0.0203236156649562,False
8,0.475,0.55,ghz,11,cost,15,0.2325396883291626,0.04712699335222189,False
8,0.475,0.55,ghz,11,cost,31,0.05152704612767134,0.819152078271934,False
8,0.475,0.55,ghz,11,cost,63,0.004148346731964958,0.9828604673284855,False
8,0.475,0.55,ghz,11,cost,95,0.001066102289421611,0.9975408447929708,False
8,0.475,0.55,ghz,11,cost,127,0.00033752058743963254,0.9994299186067381,True
8,0.475,0.55,ghz,11,cost,127,0.00033752058743963254,0.9994299186067381,True
8,0.45,0.15,ghz,37,fixed,7,0.02172680403016114,0.07046572400413456,False
8,0.45,0.15,ghz,37,fixed,23,0.011545370634793328,0.08204431793956661,False
8,0.8,0.8,ghz,37,fixed,7,0.8865110832348602,0.0018445784874687094,False
8,0.8,0.8,ghz,37,fixed,23,0.094461422920887,0.3796122618586383,False
8,0.5,0.3,plus,11,cost,0,0.3555373893015126,0.36326154129154725,False
8,0.5,0.3,plus,11,cost,16,0.03744341732749912,0.7267379032373397,False
8,0.5,0.3,plus,11,cost,32,0.022184118750115278,0.8065005315235247,False
8,0.5,0.3,plus,11,cost,64,0.007655616251615371,0.9389421533523566,False
8,0.5,0.3,plus,11,cost,128,0.0007824443832740169,0.9972621453634726,False
8,0.5,0.3,plus,11,cost,128,0.0007824443832740169,0.9972621453634726,False
8,0.55,1.6,ghz,11,cost,7,1.2962657633901276,0.013319913615106174,False
8,0.55,1.6,ghz,11,cost,15,0.8000557809572006,0.1002380739070972,False
8,0.55,1.6,ghz,11,cost,31,0.34678281213073947,0.4894597422466301,False
8,0.55,1.6,ghz,11,cost,63,0.0012357692720468272,0.9989011855756277,False
8,0.55,1.6,ghz,11,cost,95,5.777436681220216e-05,0.9999623989111338,True
8,0.55,1.6,ghz,11,cost,127,2.057643047193025e-05,0.9999874238256309,True
8,0.55,1.6,ghz,11,cost,127,2.057643047193025e-05,0.9999874238256309,True
8,0.35,1.5,antiphase,11,cost,6,1.2934478981972626,0.01990235209502268,False
8,0.35,1.5,antiphase,11,cost,16,0.7817154800827072,0.19560063794527538,False
