n,kappa,h,ref,seed,method,group_first,energy,delta_e,fidelity,epsilon_c,epsilon_sf,epsilon_mx,joint_pass,state_pass,observable_pass,seconds,nfev,nit,stop,archive,cnots,optimizer_success,raw_append_round_counter,pool_gradient_rounds,pool_derivatives,pool_parameter_shift_energy_evaluations,reoptimization_parameter_shift_energy_evaluations,optimizer_energy_evaluations,hardware_two_basis_circuit_evaluations_upper_bound,actual_hardware_executions,scope
8,0.8,0.5,antiphase,11,fixed,development,-6.399999999999997,0.0949470817314596,0.6790659494168515,0.23968792028539254,0.08151718344700132,0.45425709858944163,False,False,False,0.002090583002427593,6,4,fixed_short,results/stage4_upgrade_v1/adaptive/cache/000edc9ecff69f9ed4e6132de2982883cb28e30a3207431ccb3bebd0161fbd93.npz,6,True,48,0,0,0,0,6,12,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.1,2.0,antiphase,11,cost,map,-16.952788543323145,2.658487041173885e-06,0.9999982939744949,0.0005855652746375572,0.00026353447963478605,2.0955087169483022e-05,True,True,True,2.9344346249999944,5330,4963,pool_gradient,results/stage4_upgrade_v1/adaptive/cache/001db06141bb51788e47d0c9e173ecec4fac1769e665f740d8124d61b9f84bd9.npz,64,True,2352,50,2400,4800,411668,5330,843596,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.475,0.55,ghz,11,cost,heldout,-6.602913832465703,0.00033752058743963254,0.9994299186067381,0.009627434825275727,0.003516234375358779,0.0019038949627129265,True,True,True,2.643767542002024,5548,5196,budget,results/stage4_upgrade_v1/adaptive/cache/0026007ec29e756f2279ab04b3c22d039120b32ca41cdb4606f9d9d7574643f1.npz,127,True,2784,58,2784,5568,497288,5548,1016808,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.45,0.15,ghz,37,fixed,development,-4.481451467162942,0.011545370634793328,0.08204431793956661,1.3951957440058445,0.8296734397917471,0.3701908522447618,False,False,False,0.0027877080137841403,7,5,fixed_short,results/stage4_upgrade_v1/adaptive/cache/002c378e2747a4e7af7fef1d5dcd409ade469cd6f845fec75342095789aeaf20.npz,23,True,48,0,0,0,112,7,238,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.8,0.8,ghz,37,fixed,development,-7.936397282511785,0.094461422920887,0.3796122618586383,0.494774996890973,0.1514791103287258,0.2981879565246814,False,False,False,0.005052207998232916,28,21,fixed_short,results/stage4_upgrade_v1/adaptive/cache/003aaf53d54e1db8a856707a71d1af850dc4198e8f2f57e07e01d829adf84603.npz,23,True,48,0,0,0,448,28,952,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.5,0.3,plus,11,cost,map,-5.238039559345905,0.0007824443832740169,0.9972621453634726,0.02197832973731334,0.007331573281836687,0.0025709664050814762,False,True,False,5.188176124996971,6870,6457,budget,results/stage4_upgrade_v1/adaptive/cache/004976803707736c93056a297a1528ff772128ccff6bf5101ea0c177da70cc20.npz,128,True,2832,59,2832,5664,591032,6870,1207132,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.55,1.6,ghz,11,cost,map,-13.96966391218652,5.777436681220216e-05,0.9999623989111338,0.0006098462535655963,0.0002703056154183259,0.00015926191686177482,True,True,True,3.9184819160145707,7455,7040,budget,results/stage4_upgrade_v1/adaptive/cache/004bdfc355d742a8d882fd9d4a63f27c1b3f146ec74a741ac3b65075c4678c1a.npz,95,True,2496,52,2496,4992,618054,7455,1261002,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.35,1.5,antiphase,11,cost,map,-13.147499289534283,1.0487005477122224e-05,0.9999930491822324,0.00032013454166752303,0.00014440920626249132,2.6669942841395233e-05,True,True,True,5.7490736250183545,8908,8394,budget,results/stage4_upgrade_v1/adaptive/cache/0083046573792aa3eea661762168af4befca495002873d9725fd55211db96644.npz,96,False,2784,58,2784,5568,824662,8908,1678276,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.7,0.2,ghz,11,cost,map,-5.716086883465573,0.0004186595894827283,0.5016572001180912,0.0031680710435294523,0.0010428583374976208,0.00901001966224163,False,False,True,4.304521999991266,6820,6421,budget,results/stage4_upgrade_v1/adaptive/cache/00c2e55227d34d0f0707de2bdd76ea6afbf6a333f6a1698909c65a1a83b853df.npz,95,False,2256,47,2256,4512,510324,6820,1043312,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.0,1.4,plus,11,cost,map,-12.695875074864983,4.375515644428063e-05,0.9999672224236916,0.0023998732049620997,0.0008696837010816472,0.00023485307997272997,True,True,True,4.158370332996128,7230,6844,budget,results/stage4_upgrade_v1/adaptive/cache/00f77aebab63d09baf2f9374a716e8a329a7c73782690e20d0d1fda08e90283c.npz,96,True,2592,54,2592,5184,612818,7230,1250464,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
