task,method,p,points,prep_pass,D1_rejected,D3_rejected,D1_D3_agreement,independent_error_rate,reason
development,B1,0,18,11,6,1,11,,No independent finite-grid phase labels; agreement is not accuracy
development,B1,0.01,18,11,12,3,9,,No independent finite-grid phase labels; agreement is not accuracy
development,B1,0.05,18,11,18,17,17,,No independent finite-grid phase labels; agreement is not accuracy
development,B2,0,18,2,1,1,18,,No independent finite-grid phase labels; agreement is not accuracy
development,B2,0.01,18,2,1,1,18,,No independent finite-grid phase labels; agreement is not accuracy
development,B2,0.05,18,2,12,2,8,,No independent finite-grid phase labels; agreement is not accuracy
development,B3,0,18,14,6,0,10,,No independent finite-grid phase labels; agreement is not accuracy
development,B3,0.01,18,14,12,4,10,,No independent finite-grid phase labels; agreement is not accuracy
development,B3,0.05,18,14,18,16,16,,No independent finite-grid phase labels; agreement is not accuracy
development,B4,0,18,14,6,0,10,,No independent finite-grid phase labels; agreement is not accuracy
development,B4,0.01,18,14,12,4,10,,No independent finite-grid phase labels; agreement is not accuracy
development,B4,0.05,18,14,18,16,16,,No independent finite-grid phase labels; agreement is not accuracy
heldout,B1,0,48,33,3,0,44,,No independent finite-grid phase labels; agreement is not accuracy
heldout,B1,0.01,48,33,18,2,32,,No independent finite-grid phase labels; agreement is not accuracy
heldout,B1,0.05,48,33,47,45,46,,No independent finite-grid phase labels; agreement is not accuracy
heldout,B2,0,48,4,0,0,48,,No independent finite-grid phase labels; agreement is not accuracy
heldout,B2,0.01,48,4,0,0,48,,No independent finite-grid phase labels; agreement is not accuracy
heldout,B2,0.05,48,4,15,0,33,,No independent finite-grid phase labels; agreement is not accuracy
heldout,B3,0,48,42,3,0,44,,No independent finite-grid phase labels; agreement is not accuracy
heldout,B3,0.01,48,42,20,2,30,,No independent finite-grid phase labels; agreement is not accuracy
heldout,B3,0.05,48,42,47,41,42,,No independent finite-grid phase labels; agreement is not accuracy
heldout,B4,0,48,42,3,0,44,,No independent finite-grid phase labels; agreement is not accuracy
heldout,B4,0.01,48,42,20,2,30,,No independent finite-grid phase labels; agreement is not accuracy
heldout,B4,0.05,48,42,47,41,42,,No independent finite-grid phase labels; agreement is not accuracy
map,B3,0,420,385,16,0,382,,No independent finite-grid phase labels; agreement is not accuracy
map,B3,0.01,420,385,130,15,305,,No independent finite-grid phase labels; agreement is not accuracy
map,B3,0.05,420,385,413,384,391,,No independent finite-grid phase labels; agreement is not accuracy
map,B4,0,420,385,16,0,382,,No independent finite-grid phase labels; agreement is not accuracy
map,B4,0.01,420,385,130,14,304,,No independent finite-grid phase labels; agreement is not accuracy
map,B4,0.05,420,385,413,384,391,,No independent finite-grid phase labels; agreement is not accuracy
