method,kappa,h,p,new_pass,old_pass,common_pass,new_cnots,old_cnots,epsilon_c_new,epsilon_c_old,epsilon_sf_new,epsilon_sf_old,epsilon_mx_new,epsilon_mx_old
B3,0.0,0.1,0,True,True,True,31,192,7.157161027504522e-06,4.727013058758445e-08,5.367658430621702e-06,1.2728776255244156e-08,4.7863859105531925e-05,9.509714246624945e-08
B3,0.0,0.2,0,True,True,True,31,192,0.00011947265489598013,1.1425469681469735e-07,8.933652710552131e-05,1.99353805685476e-08,0.0003985714466706036,1.6337397490406858e-08
B3,0.0,0.3,0,True,True,True,64,192,2.309468853411989e-05,2.945887300764838e-08,1.5374552119640228e-05,6.250052586587174e-09,4.1960672297836066e-05,2.288418232687661e-09
B3,0.0,0.4,0,True,True,True,64,192,0.00014690454695287514,1.905451554318205e-07,9.69956322508514e-05,5.052108975611702e-08,0.00019590798997096148,2.607979715518738e-08
B3,0.0,0.5,0,True,True,True,95,192,1.1099489357735415e-05,1.2890921341490724e-07,7.556517694018439e-06,5.676539571730643e-08,1.3436330738192392e-05,1.1301259461582447e-07
B3,0.0,0.6,0,True,True,True,90,192,7.576882388171668e-08,3.531069487916483e-07,2.85448585879422e-08,2.44064960130963e-07,2.4039183088575555e-08,4.0371612936018764e-07
B3,0.0,0.7,0,True,True,True,64,192,0.00106686950207191,1.94062786262883e-06,0.0005612376321553203,5.17584502923718e-07,0.0005742997250491877,3.945435572139111e-07
B3,0.0,0.8,0,True,True,True,96,192,1.6302628407016684e-05,1.5962521913159833e-06,4.1101754502670396e-06,4.029563298035832e-07,3.7840736606953307e-06,8.108258996997186e-07
B3,0.0,0.9,0,True,True,True,96,192,3.497479920377966e-05,2.67773998330334e-06,9.064536735853279e-06,7.491053143349191e-07,2.6299368638404985e-07,3.4987898933636075e-07
B3,0.0,1.0,0,True,True,True,96,192,0.00032392070229481096,1.9270447876307273e-06,6.218818112227464e-05,1.3325486439841328e-06,6.23729755526714e-05,1.2355879994707664e-06
B3,0.0,1.1,0,True,True,True,127,192,3.4734434347538645e-05,1.2527332275968917e-06,6.613958930423713e-06,4.789962441131834e-07,5.758463348382037e-07,1.338450352772469e-07
B3,0.0,1.2,0,True,True,True,96,192,0.0011543608682847428,2.535258641023219e-06,0.0005241503032676342,1.0346136790073679e-06,0.00024167491637072658,1.480807818587948e-07
B3,0.0,1.3,0,True,True,True,95,192,0.002167360557866538,4.6984864687793504e-07,0.0009173236194964796,1.7506746585738142e-07,0.00024867688510765706,3.753693345043274e-08
B3,0.0,1.4,0,True,True,True,95,192,0.0015236883136299229,3.3845212435990035e-06,0.0008944441806310044,1.6564922332151788e-06,0.00025794520893474004,6.665493480495499e-07
B3,0.0,1.5,0,True,True,True,127,192,1.8678852790471323e-05,6.286928207199782e-07,1.0722067868507157e-05,2.316848538574945e-07,3.0053164032928237e-06,9.589307792268187e-09
B3,0.0,1.6,0,True,True,True,95,192,0.0010112983259301656,1.983541812744516e-07,0.0005349758849507169,1.2290755169175327e-07,0.00013596236601676193,9.91215107770671e-08
B3,0.0,1.7,0,True,True,True,96,192,0.0006608684196751924,3.37177111120468e-07,0.0002833937747891979,1.3584490626827872e-07,5.9088179686139775e-05,2.0456128757562198e-07
B3,0.0,1.8,0,True,True,True,63,192,0.00290792885925089,2.481007571150662e-06,0.0015866227301838398,1.1005592409629728e-06,0.0002710246793158344,4.130713882055659e-08
B3,0.0,1.9,0,True,True,True,63,192,0.0022304134800578065,3.0823282285707965e-06,0.0012085656196162697,1.449783965462581e-06,0.0001842131277081105,1.9046633548125413e-07
B3,0.0,2.0,0,True,True,True,63,192,0.0028589374142661897,7.182033963520906e-07,0.0013035106627929671,1.4062467573738857e-07,0.00015092183046161445,1.4620946675591995e-09
B3,0.05,0.1,0,True,True,True,31,192,1.0561545759624202e-05,2.5748660092972386e-08,7.938928008321966e-06,1.9176278454047235e-08,6.543706010720546e-05,1.8826682051525934e-07
B3,0.05,0.2,0,True,True,True,31,192,0.00017880735585096286,6.007194053303522e-08,0.00013498817084534043,2.8165565102433732e-08,0.0005604113302104113,2.6667347274855757e-08
B3,0.05,0.3,0,True,True,True,63,192,0.00025132863772059366,3.032596860297332e-07,0.0001806009658140706,1.0296757863015316e-07,0.0004924494939981539,3.913202151206718e-09
B3,0.05,0.4,0,True,True,True,64,192,0.0005594685000318567,2.6606259502237606e-06,0.00038338195462017666,1.2194905195661576e-06,0.0008007886640620798,1.646061304483304e-07
B3,0.05,0.5,0,True,True,True,96,192,5.97957441310637e-05,5.5139681925941986e-06,3.953212533525097e-05,2.4679444885489232e-06,4.108634913935205e-05,6.625533092163849e-07
B3,0.05,0.6,0,True,True,True,95,192,0.0001194948669875906,6.921624922551217e-06,5.280173563448898e-05,2.092510502427203e-06,7.105112790117829e-06,1.2625710060776285e-07
B3,0.05,0.7,0,True,True,True,95,192,0.0013519673308670654,3.942943673451715e-06,0.0005294257592036722,1.0363741997920783e-06,0.00028475973230068785,1.433258172700569e-07
B3,0.05,0.8,0,True,True,True,127,192,0.00011532990683171818,6.005215624105276e-06,4.219224102108843e-05,2.263994770657085e-06,1.7281459989693104e-06,2.1926558280149777e-07
B3,0.05,0.9,0,True,True,True,95,192,0.0002645818037567693,8.350692613401378e-06,0.0001515986750534326,2.5834883164987943e-06,1.671146816573099e-05,5.318146980570759e-07
B3,0.05,1.0,0,True,True,True,95,192,0.0009201644554911459,7.414454865517506e-06,0.0001902004211585262,3.1390416757037798e-06,9.824117461543214e-05,2.5755649013525783e-07
B3,0.05,1.1,0,True,True,True,95,192,0.003958708390875476,4.443766976169883e-06,0.0012579933189121872,1.8456035472680377e-06,0.00036292541092841635,1.970493892500258e-07
B3,0.05,1.2,0,True,True,True,95,192,0.00207002320788896,6.162961547706569e-06,0.0007283547427174852,3.5882645815776826e-06,0.00017228894062126798,1.2309708172786316e-06
B3,0.05,1.3,0,True,True,True,95,192,0.0013178047886365785,2.785518584125235e-06,0.0006021971649601277,8.265819355091075e-07,0.00016190539292337824,8.274162842658583e-07
B3,0.05,1.4,0,True,True,True,95,192,0.0011791603091191871,1.3957075472997849e-06,0.0004503183916020337,3.5010960772186017e-07,8.993654999989165e-05,2.6399371910734715e-07
B3,0.05,1.5,0,True,True,True,64,192,0.003666746366292939,6.650345325640017e-06,0.0015827521136993483,3.149436962113228e-06,0.0003249494087224081,1.4550882809771792e-07
B3,0.05,1.6,0,True,True,True,63,192,0.004991205589992692,1.8775737874315857e-06,0.0020601321583142984,5.451756516228201e-07,0.0003889238921043203,1.5840273592804266e-07
B3,0.05,1.7,0,True,True,True,63,192,0.0037173416739642653,3.7264533599909444e-06,0.001434702781020425,1.7797182677026235e-06,0.00022810541706808074,1.8841779469980224e-08
B3,0.05,1.8,0,True,True,True,63,192,0.003991857338527999,4.687678977953469e-06,0.001432788947613034,1.643551803265364e-06,0.0001833658796390747,3.1070360506646466e-08
B3,0.05,1.9,0,True,True,True,63,192,0.0035977659114585087,1.3346442141320969e-06,0.00123444485437188,9.63542755583191e-07,0.0001281185904351556,4.4450567049381107e-07
B3,0.05,2.0,0,True,True,True,63,192,0.002831536316840747,9.577797839728508e-07,0.0009239112142012951,2.179410594910225e-07,8.084806344610396e-05,1.5746734594035416e-07
B3,0.1,0.1,0,True,True,True,31,192,1.6104075274636642e-05,1.2787400471836463e-08,1.2124930665491362e-05,8.919606830914972e-09,9.187050382435807e-05,8.907495374632646e-08
B3,0.1,0.2,0,True,True,True,31,192,0.00027362858786106337,9.722359428643301e-08,0.0002077284706640814,4.44647286768074e-08,0.000790662232729028,1.3234058626743206e-07
B3,0.1,0.3,0,True,True,True,63,192,0.0004510412029206101,1.953663088083424e-06,0.00032419298867158997,9.721387230765544e-07,0.0007945076032608578,6.438077214121485e-07
B3,0.1,0.4,0,True,True,True,96,192,1.5097521592122298e-05,2.839329725667916e-06,8.102019275813e-06,5.336693546641874e-07,5.1166583604767e-05,4.6493820071713543e-07
B3,0.1,0.5,0,True,True,True,95,192,0.00084254635855463,5.9611397837944224e-06,0.0005292833466516988,9.990412878080335e-07,0.0005463971744069096,4.8934676311063185e-08
B3,0.1,0.6,0,True,True,True,95,192,0.0003826566036898571,1.0081816130935728e-05,0.00021647430026228154,3.5189293285942114e-06,8.499649464999148e-05,1.1838780662465354e-06
B3,0.1,0.7,0,True,True,True,95,192,0.0006733397326323942,1.3676277757390665e-05,0.0002060725591551682,7.166296275062933e-06,6.339975949554155e-05,1.5758286436295954e-06
