kappa,h,seeds,joint_passes,observable_passes,state_passes,best_energy,median_delta_e,median_fidelity,median_epsilon_c,median_epsilon_sf,median_epsilon_mx,archives
0,0.2,3,3,3,3,-8.080046428600152,1.9516313906509097e-05,0.9999594049304149,0.00011947967444259078,8.934260757242907e-05,0.00039860531045936287,"[""results/stage4_upgrade_v1/adaptive/cache/2251691537dbdb1b978c1961160c3edb13e36aefb65957c6607af435414f0f35.npz"", ""results/stage4_upgrade_v1/adaptive/cache/d2b8afa299527dd15924d4b17d16c8343d6af13085cdeaaa6f8a1e9d0630ce63.npz"", ""results/stage4_upgrade_v1/adaptive/cache/c9566102dd396d82e10eb21e7013301258f3ea8cf39f624b12252e2b55208998.npz""]"
0,0.9,3,3,3,3,-9.773283323340511,4.7010697181715244e-05,0.9999477883866607,0.0010695533005707913,0.0001571326987088728,2.777640333062603e-05,"[""results/stage4_upgrade_v1/adaptive/cache/23123b2641230cdfd165b0952be812e7961f4b0178ed939d99c7d97905add166.npz"", ""results/stage4_upgrade_v1/adaptive/cache/44167c5fc4b9fc1055e125576673f38fbbd40bf44e4b148b4afa1369aecdaddb.npz"", ""results/stage4_upgrade_v1/adaptive/cache/90de740d94bcd70109f01cf4eb6cd3c5c46234b5fe2ef3b45ba80eaa0added83.npz""]"
0,1.0,3,3,3,3,-10.25164111900217,2.304166943267738e-05,0.999978452479191,0.0003239207022961432,6.218818112209423e-05,6.237297555011789e-05,"[""results/stage4_upgrade_v1/adaptive/cache/d97091af9b7ef69fb8a14fe23671a90188e03a3db60de5a1479ff89a0f367380.npz"", ""results/stage4_upgrade_v1/adaptive/cache/92d98ded7dc48472444ae908e6aa22ba716428d8134294b0dae352ce2a0a387e.npz"", ""results/stage4_upgrade_v1/adaptive/cache/f5337b083feb500829faf614e80a88a7e3b0d71670185ee860a701784040424a.npz""]"
0,1.1,3,3,3,3,-10.795267644515494,3.342187970822863e-08,0.999999969354807,3.473443434598433e-05,6.613958928203267e-06,7.487140142314885e-07,"[""results/stage4_upgrade_v1/adaptive/cache/359470c54e63e418c7890367095563cff18135ee8f770b1092aa8448f251908f.npz"", ""results/stage4_upgrade_v1/adaptive/cache/e651476b297e96def05d0c6bf97af7de8905947ac1f29dd70a1f56bc8e6e1091.npz"", ""results/stage4_upgrade_v1/adaptive/cache/160c92bdcfb808930a87d05bebc5fe6d6687943b5ccbbd37db61f4ee3d220544.npz""]"
0,1.8,3,3,3,3,-15.53675320211936,7.972267427369673e-05,0.9999401874245215,0.0037116837683680085,0.0016929419665107637,0.00028131597826108745,"[""results/stage4_upgrade_v1/adaptive/cache/a759f3af7eef2d6cdcbdb10c0fb5ac79435ac5dc9609205f49f3c04dea98a6e9.npz"", ""results/stage4_upgrade_v1/adaptive/cache/5eaee46abd0cf8012f825eb5444617bd07569b1c82df1164924ff39b4cf7789d.npz"", ""results/stage4_upgrade_v1/adaptive/cache/bce724cc1cb3f2344ebe1d814c151d7507ee37486e976a1792b1857a4e6c320c.npz""]"
0.3,0.2,3,3,3,3,-5.716234068787399,5.0451028502651596e-05,0.9996544988850021,0.0010724910184544134,0.0007610589154622982,0.0015631721698778633,"[""results/stage4_upgrade_v1/adaptive/cache/aac64bb2c2aebff640caec4d9f2cdf929028ae9e396ca3cc6d430a5cdb64d83e.npz"", ""results/stage4_upgrade_v1/adaptive/cache/48d98421b505f18a948b534e490a35a63298bd32d2d56daac65eef77b53f4e8d.npz"", ""results/stage4_upgrade_v1/adaptive/cache/52ee8709032a47e1a7a3c8f70787f91adbccee6492efda941a09e6aaaa269545.npz""]"
0.3,0.4,3,3,3,3,-6.116952131572635,4.905742209082575e-05,0.9998825857746373,0.002064832484944046,0.0007929326294430217,0.00015730585260120833,"[""results/stage4_upgrade_v1/adaptive/cache/48d8084a6054071b8e8cc6e0298954cefdb1ba74002b20491682eb0b0e8556d1.npz"", ""results/stage4_upgrade_v1/adaptive/cache/add655bc5983f9a9f8643b674c58844b39103201c3bf7583468b0db57748934f.npz"", ""results/stage4_upgrade_v1/adaptive/cache/061c26b3f09a440593463ce71134e849cc5badf63b6010e38c9c30f792096e5c.npz""]"
0.3,0.5,3,3,3,3,-6.505177365374161,2.339702607323524e-06,0.9999945366491154,0.0009665748758581616,0.00046666034640074905,0.00013667453490351367,"[""results/stage4_upgrade_v1/adaptive/cache/b6d57ca7b9301a54f8f3dbde8c344c78b0166f5cfb39aa7be4379b4cc7ccdbd4.npz"", ""results/stage4_upgrade_v1/adaptive/cache/1c5ba26e35bc7039195de40199b8f4ea8c4a1e62a4630bdb9114e6c6712df169.npz"", ""results/stage4_upgrade_v1/adaptive/cache/4ace65510d86c33f76bf8016713f14441f5d7552ee424653994c78efeaf55b0d.npz""]"
0.3,1.2,3,3,3,3,-10.967612607506918,6.192234652702133e-05,0.9999297716915688,0.005306040730786006,0.0017994678313538737,0.0001900970507118238,"[""results/stage4_upgrade_v1/adaptive/cache/aafb1956a67db9ca8063a4f4ca4086b20d24809a0b96a041ac611dcdafa59227.npz"", ""results/stage4_upgrade_v1/adaptive/cache/788536df905d5e3cf9c3121c8217ea5ec6281ac02f6cfb2762cc4836e78e9cf6.npz"", ""results/stage4_upgrade_v1/adaptive/cache/6c13ef12f238734ba65216a2b06131c92a8fdafd79932921a0fe28f0f1c8a3af.npz""]"
0.8,0.2,3,3,3,3,-6.502305749512891,7.780648639643672e-05,0.9997405662775436,0.0007196091633463464,0.00025887990235134994,0.0017209582737018059,"[""results/stage4_upgrade_v1/adaptive/cache/9c428c50a1701f20261b93374443e9412dbafc32b6fbf76c7211201d25cc4821.npz"", ""results/stage4_upgrade_v1/adaptive/cache/f2821d2ca5d89754570d27c0efbfaa457c9e55643c7d36cd78f8f213f0d20f7e.npz"", ""results/stage4_upgrade_v1/adaptive/cache/689105bededf087f667cc9fa32abb5c6cd632ab43b655f8fcd5d1e22f32aead5.npz""]"
