kappa,h,ref,passes,seeds,best_energy,median_delta_e,best_fidelity
0,0.2,plus,3,3,-8.080202540289893,1.0257234395183445e-08,0.9999999970677815
0,0.2,ghz,3,3,-8.080046428600152,1.9516313906509097e-05,0.9999594049745507
0,0.2,antiphase,3,3,-8.080202058570226,4.645531595737218e-05,0.9999998733696829
0,0.9,plus,3,3,-9.773283323340511,1.8947147109038553e-06,0.9999995411807394
0,0.9,ghz,3,3,-9.773287654589886,4.7010697181715244e-05,0.9999999995292641
0,0.9,antiphase,3,3,-9.77328306842132,2.7311326515899736e-06,0.9999995470966172
0,1.0,plus,3,3,-10.251661789109539,2.3041658972822177e-05,0.9999999997817226
0,1.0,ghz,3,3,-10.25166179064794,4.687095156441501e-11,0.9999999999595104
0,1.0,antiphase,3,3,-10.251661790854222,2.583995482474677e-06,0.9999999999832094
0,1.1,plus,3,3,-10.795267644515494,3.1168076120025034e-08,0.9999999974684228
0,1.1,ghz,3,3,-10.795267404999652,2.3180943886425e-05,0.999999969354807
0,1.1,antiphase,3,3,-10.795267347162792,4.788637676544916e-05,0.9999999658453239
0,1.8,plus,3,3,-15.537363823222998,1.2262534752061072e-06,0.9999993602840265
0,1.8,ghz,3,3,-15.53675320211936,7.972267427369673e-05,0.9999432105637592
0,1.8,antiphase,3,3,-15.537312447890065,8.602812994196185e-06,0.9999956350360758
0.3,0.2,plus,3,3,-5.716406843749654,2.9701473928223088e-05,0.9998425842380649
0.3,0.2,ghz,3,3,-5.716234068787399,5.0451028502651596e-05,0.9996778569710472
0.3,0.2,antiphase,3,3,-5.716471574941533,1.7768819470020958e-05,0.999895402192247
0.3,0.4,plus,3,3,-6.11688011511783,4.9057427465859504e-05,0.9998825857746373
0.3,0.4,ghz,3,3,-6.11715305439226,3.237155050284102e-05,0.9999689301197028
0.3,0.4,antiphase,3,3,-6.1171677562286035,2.2573082294141678e-05,0.9999736151552636
0.3,0.5,plus,3,3,-6.505170345435607,2.9998054600355317e-06,0.9999930049706922
0.3,0.5,ghz,3,3,-6.5051773676502265,2.1221191405240702e-06,0.9999948908202985
0.3,0.5,antiphase,3,3,-6.505178795231436,2.182664548877611e-06,0.9999955472957118
0.3,1.2,plus,3,3,-10.967612607506918,6.192234652702133e-05,0.9999297997926652
0.3,1.2,ghz,3,3,-10.96799750565575,1.3810037262640407e-05,0.9999880011049037
0.3,1.2,antiphase,3,3,-10.968037139688203,9.290986539900459e-06,0.9999925028404806
0.8,0.2,plus,0,3,-6.500704604626199,0.0002779496533660275,0.5005621805421611
0.8,0.2,ghz,0,3,-6.500926735973456,0.0002511101131090765,0.50160071305342
0.8,0.2,antiphase,3,3,-6.502305749512891,7.780648639643672e-05,0.9997405669754329
0.8,0.4,plus,3,3,-6.84889831841341,0.0003833296133317621,0.9982697218484314
0.8,0.4,ghz,2,3,-6.845548797593337,0.0008009348832749286,0.9964991828815356
0.8,0.4,antiphase,3,3,-6.84901249238707,0.00036430446733226596,0.9983805797858878
0.8,0.5,plus,0,3,-7.150364002828619,0.0013122140111051506,0.9955773341428912
0.8,0.5,ghz,0,3,-7.147977416479398,0.0017313978344016823,0.9934053034433247
0.8,0.5,antiphase,2,3,-7.154790729956506,0.0005982404875441993,0.9982094378104767
0.8,0.6,plus,0,3,-7.56548895237084,0.0019164648685449093,0.9937904934787332
0.8,0.6,ghz,0,3,-7.564927716267794,0.001960165041830053,0.9948167599430503
0.8,0.6,antiphase,0,3,-7.567582646361453,0.001628298780517179,0.9964609985606744
0.8,0.8,plus,0,3,-8.682147377437056,0.001437773167141998,0.998315229638005
0.8,0.8,ghz,1,3,-8.688083806432047,0.0018964909944378938,0.9994710262846436
0.8,0.8,antiphase,1,3,-8.68501330876256,0.0012068425344085032,0.9988202817706114
0.8,1.2,plus,3,3,-11.359495939517899,0.0002978172421930214,0.9997751333610904
0.8,1.2,ghz,3,3,-11.358530190746935,0.000491349283544551,0.999633225700405
0.8,1.2,antiphase,3,3,-11.35977262763096,0.00032925170385178504,0.999794717859046
0.45,0.15,plus,0,3,-4.566140601941203,0.0009592287891376783,0.9878974427522592
0.45,0.15,ghz,0,3,-4.552757436371533,0.00263212464625151,0.8764718385327727
0.45,0.15,antiphase,0,3,-4.560303816555296,0.001688826962204626,0.9317738302631535
0.5,0.15,plus,0,3,-4.561084799885876,0.001499170835800534,0.9939771225474023
0.5,0.15,ghz,0,3,-4.561140202567586,0.0016126042484695402,0.9941485620012684
0.5,0.15,antiphase,0,3,-4.556834965649673,0.0014767137060828217,0.9869533890575797
0.55,0.15,plus,0,3,-4.5294568956996395,0.005560307723726732,0.6747362448166174
0.55,0.15,ghz,0,3,-4.554473387351403,0.0024332462684211187,0.9424710327751767
0.55,0.15,antiphase,0,3,-4.515134467823021,0.010505839044739451,0.6088433930809578
