kappa,L,p,feature,h,old_resolved,new_resolved,reason
0.0,4,0,order,0.95,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,4,0,order,1.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,4,0,mx,0.9,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,4,0,mx,1.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,4,0.01,order,0.95,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,4,0.01,order,1.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,4,0.01,mx,0.95,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,4,0.01,mx,1.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,4,0.05,order,0.95,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,4,0.05,order,1.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,4,0.05,mx,0.95,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,4,0.05,mx,1.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,4,0.05,mx,2.0,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0,order,0.95,True,True,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0,mx,0.9,True,True,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.01,order,0.35,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.01,order,0.5,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.01,order,0.75,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.01,order,1.0,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.01,order,1.15,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.01,order,1.3,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.01,order,1.45,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.01,order,1.65,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.01,mx,0.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.01,mx,0.35,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.01,mx,0.5,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.01,mx,0.75,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.01,mx,1.0,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.01,mx,1.75,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,order,0.2,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,order,0.55,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,order,0.65,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,order,0.8,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,order,0.95,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,order,1.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,order,1.2,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,order,1.35,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
