id,kappa,layers,left_h,right_h,left_branch_id,right_branch_id,comparison_p,actual_switch_pair_checked,actual_switch_pair_sensitive,both_preparations_pass,pair_complete,opposite_direction_checked,opposite_direction_sensitive,actual_switch_pair_sensitive_at_left,actual_switch_pair_sensitive_at_right
k0.0_L4_i18,0.0,4,0.95,1.0,stage3_slices/k0.0/L4/ascending/seed101/independent_endpoint,stage3_slices/k0.0/L4/ascending/seed307/independent_endpoint,0,True,True,True,True,True,True,True,True
k0.0_L4_i18,0.0,4,0.95,1.0,stage3_slices/k0.0/L4/ascending/seed101/independent_endpoint,stage3_slices/k0.0/L4/ascending/seed307/independent_endpoint,0.01,True,True,True,True,True,True,True,True
k0.0_L4_i18,0.0,4,0.95,1.0,stage3_slices/k0.0/L4/ascending/seed101/independent_endpoint,stage3_slices/k0.0/L4/ascending/seed307/independent_endpoint,0.05,True,True,True,True,True,True,True,True
k0.0_L6_i6,0.0,6,0.35,0.4,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0,True,False,True,True,,,False,False
k0.0_L6_i6,0.0,6,0.35,0.4,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.01,True,True,True,True,,,True,True
k0.0_L6_i6,0.0,6,0.35,0.4,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.05,True,False,True,True,,,False,False
k0.0_L6_i7,0.0,6,0.4,0.45,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0,True,False,True,True,,,False,False
k0.0_L6_i7,0.0,6,0.4,0.45,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0.01,True,True,True,True,,,True,True
k0.0_L6_i7,0.0,6,0.4,0.45,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0.05,True,False,True,True,,,False,False
k0.0_L6_i9,0.0,6,0.5,0.55,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0,True,False,True,True,,,False,False
k0.0_L6_i9,0.0,6,0.5,0.55,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.01,True,True,True,True,,,True,True
k0.0_L6_i9,0.0,6,0.5,0.55,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.05,True,False,True,True,,,False,False
k0.0_L6_i10,0.0,6,0.55,0.6,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0,True,False,True,True,,,False,False
k0.0_L6_i10,0.0,6,0.55,0.6,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0.01,True,True,True,True,,,True,True
k0.0_L6_i10,0.0,6,0.55,0.6,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0.05,True,False,True,True,,,False,False
k0.0_L6_i11,0.0,6,0.6,0.65,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0,True,False,True,True,,,False,False
k0.0_L6_i11,0.0,6,0.6,0.65,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.01,True,True,True,True,,,True,True
k0.0_L6_i11,0.0,6,0.6,0.65,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.05,True,False,True,True,,,False,False
k0.0_L6_i12,0.0,6,0.65,0.7,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0,True,False,True,True,,,False,False
k0.0_L6_i12,0.0,6,0.65,0.7,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0.01,True,True,True,True,,,True,True
k0.0_L6_i12,0.0,6,0.65,0.7,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0.05,True,False,True,True,,,False,False
k0.0_L6_i13,0.0,6,0.7,0.75,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0,True,False,True,True,,,False,False
k0.0_L6_i13,0.0,6,0.7,0.75,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.01,True,True,True,True,,,True,True
