name,kappa,h,layers,seed,source,reference_source,archive,archive_sha256,end_to_end_seconds,cache_status,created_utc,energy,nit,nfev,njev,optimization_success,status,message,gradient_inf,seconds,ed_energy,delta_e,fidelity,epsilon_c,epsilon_sf,epsilon_mx,mx,observable_pass,state_pass,joint_pass,failed_metrics,method,old_iterations_in_source
B_point00_attempt0,0.4,0.3,6,101,results/stage3_v1/optimization/cache/fc516842e2f9e35808a1bca1edc1d52f6a8ed34ca950be7817c25850290bc8a1.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point00_attempt0.npz,16b172351d289be3c168402bb4a544f2e86218dec5114349b77f7dabdb147fb1,0.004209874983644113,executed,2026-09-22T05:41:20.047480+00:00,-5.27841651143806,1,4,4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.726847337075071e-06,0.0015811249904800206,-5.279295997458967,0.00010993575261342148,0.9991619025002585,0.022902699900186133,0.010768290070738706,0.0017481013448623628,0.5690963705906159,False,True,False,"[""epsilon_c""]",parameter_resume,1080
B_point00_attempt1,0.4,0.3,6,211,results/stage3_v1/optimization/cache/a4665b5ce4422557b595cadb59f157c837361c000617091901b9c4fc7cc77fe8.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point00_attempt1.npz,be5457615a41e743382aa1dfb12ca459b7e0970017a883f8d875c8538bc577f0,0.0029626250034198165,executed,2026-09-22T05:41:20.050730+00:00,-5.278228290593855,1,4,4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.532417439255369e-06,0.0011642920144367963,-5.279295997458967,0.00013346335813901877,0.9991283166552917,0.02695010154339532,0.013305344642167316,0.0020442891781352612,0.568800182757343,False,True,False,"[""epsilon_c""]",parameter_resume,713
B_point00_attempt2,0.4,0.3,6,101,results/stage3_v1/optimization/cache/818d6960bbc2e12d40c8fd0847ef93c8c8a69e5e00cac26def03dfeb88ffd2fb.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point00_attempt2.npz,5eb742e5ddbc93e7005332b551458c0dafd60e69546dfb32764c68615ce666a4,0.1439646249928046,executed,2026-09-22T05:41:20.194956+00:00,-5.277620846360124,491,528,528,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1246022076250028e-05,0.14157387500745244,-5.279295997458967,0.00020939388735541353,0.9994618719084478,0.006300944299393624,0.004015997568772245,0.0035048635478376333,0.5743493354833159,True,True,True,[],neighbor_initialization,195
B_point00_attempt3,0.4,0.3,6,307,results/stage3_v1/optimization/cache/90601a15d8f9eb5797e39afb8c5d72c15bf5b576eef75ff2b3ccc73c248cf438.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point00_attempt3.npz,b6b2b90309914fcfdc93c6a33df0ee72fd52af8dc771132972638ab67e94fda2,0.21619579201797023,executed,2026-09-22T05:41:20.411458+00:00,-5.276664218306252,749,817,817,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.206859476025727e-06,0.2136612089816481,-5.279295997458967,0.0003289723940893552,0.9966673389941568,0.06847706084731744,0.03349331684301665,0.006025455801052626,0.5648190161344256,False,True,False,"[""epsilon_c"", ""epsilon_sf""]",neighbor_initialization,98
B_point00_attempt4,0.4,0.3,6,701,"uniform[-.5,.5]",results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point00_attempt4.npz,6b313b4c7a68d7214319d5c6228a6e1a1142afa046442d262a483e7e69e0ccb8,0.43965395900886506,executed,2026-09-22T05:41:20.851444+00:00,-5.277777045867091,1549,1685,1685,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.441937739483535e-05,0.43668058299226686,-5.279295997458967,0.00018986894898453954,0.9988720514812841,0.02720239055019684,0.01288393947599159,0.0014330857789182083,0.5694113861565601,False,True,False,"[""epsilon_c""]",independent_cold,0
B_point00_attempt5,0.4,0.3,6,809,"uniform[-.5,.5]",results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point00_attempt5.npz,1b5d562e6ed27777f2a4bec06c74df00b533665b3802c8a9af437f7f8f505414,0.4455697500088718,executed,2026-09-22T05:41:21.297403+00:00,-5.2755569265677025,1602,1717,1717,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.926559046187663e-06,0.44228262500837445,-5.279295997458967,0.0004673838614080994,0.994301594738809,0.09502036866342974,0.04906156324688976,0.010371761241218191,0.5604727106942601,False,True,False,"[""epsilon_c"", ""epsilon_sf""]",independent_cold,0
B_point01_attempt0,0.4,0.4,6,101,results/stage3_v1/optimization/cache/5653a561d4c334d2952fcfe9ba3c64823b4e407289a2b8207e80cb55e8bf6fa6.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point01_attempt0.npz,dd25db34d55b7b9f86dd3620e72b84b3bee32d628971b04815c80b59652915fb,0.003019875002792105,executed,2026-09-22T05:41:21.302437+00:00,-5.773686104320202,1,4,4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.879184182016161e-06,0.001205375010613352,-5.775447072602711,0.00022012103531365845,0.9992109251323211,0.02203756697976192,0.01109955841383406,0.0002343447071138094,0.6571698261077512,False,True,False,"[""epsilon_c""]",parameter_resume,356
B_point01_attempt1,0.4,0.4,6,307,results/stage3_v1/optimization/cache/30f46b4eb61576c9c04c1e71709b2c3fcf3a9b1e509f74b7da8ab108eda79c09.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point01_attempt1.npz,1a483d10f4a485294106cfa97f294edfaaa12c5fb4938d90c40333aeb2677cf9,0.0069162920117378235,executed,2026-09-22T05:41:21.309614+00:00,-5.773493033620561,15,19,19,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.953389598609363e-06,0.005081584007712081,-5.775447072602711,0.000244254872768801,0.9991942034847845,0.020084030631068422,0.009579382408069242,0.00020933053857696837,0.657613501353442,False,True,False,"[""epsilon_c""]",parameter_resume,518
B_point01_attempt2,0.4,0.4,6,101,results/stage3_v1/optimization/cache/dcb70532de0e3e34a9b45cb7d85943b9da09a398edf7675d4c37a88f4bce6087.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point01_attempt2.npz,dbb99da1b20c026bd017377c97b3c7eebeb5e138d0075f1d368a6134fc5c395d,0.09145999999600463,executed,2026-09-22T05:41:21.401338+00:00,-5.7748346890291264,319,345,345,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.402817309896335e-05,0.08903891599038616,-5.775447072602711,7.654794669809117e-05,0.9998547660887848,0.005450268201482117,0.0024678104303410553,0.0003858946873451785,0.6577900655022102,True,True,True,[],neighbor_initialization,330
B_point01_attempt3,0.4,0.4,6,101,results/stage3_v1/optimization/cache/523927236b94052ff76c3ab7091d8c3782d4ebfc57c21837f21a01a2791d1bd6.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point01_attempt3.npz,82c6308421cea933646f555343a240fb42dde8484c211f84cf7b9f169f26fd6e,0.1926182500028517,executed,2026-09-22T05:41:21.594326+00:00,-5.772232151594551,673,725,725,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.545542228915565e-05,0.19002666699816473,-5.775447072602711,0.000401865126020029,0.9987227379299004,0.029176481863896958,0.012004560175295859,0.0016375832464465834,0.6590417540613116,False,True,False,"[""epsilon_c""]",neighbor_initialization,1765
