kappa,h,energy,ed_energy,delta_e,fidelity,epsilon_c,epsilon_sf,epsilon_mx,mx,observable_pass,state_pass,joint_pass,failed_metrics,max_error_r,correlations,ed_correlations,original_source
0.4,0.3,-5.278416511435317,-5.279295997458967,0.00010993575295625835,0.9991618943261068,0.022902709164388205,0.010768264972480346,0.0017481413781242905,0.569096330557354,False,True,False,"[""epsilon_c""]",4,"[1.0000000000000004, 0.5803115943201131, 0.2280960738947616, -0.0057018140991153855, -0.0853273916121409, -0.0057018140991153855, 0.2280960738947616, 0.5803115943201131]","[1.0000000000000002, 0.5759291643377245, 0.2181762655899928, -0.023021281119685048, -0.1082301007765291, -0.023021281119685048, 0.2181762655899928, 0.5759291643377245]",results/stage3_v1/optimization/cache/fc516842e2f9e35808a1bca1edc1d52f6a8ed34ca950be7817c25850290bc8a1.npz
0.4,0.4,-5.77368610431961,-5.775447072602711,0.0002201210353875993,0.9992109284368362,0.02203752711259313,0.011099435252813178,0.00023415327091991234,0.6571700175439451,False,True,False,"[""epsilon_c""]",4,"[0.9999999999999986, 0.5011191708302551, 0.10569103701970489, -0.1398593059590622, -0.2239171055579991, -0.1398593059590622, 0.10569103701970489, 0.5011191708302551]","[1.0000000000000004, 0.49722525269365403, 0.09564009236065327, -0.15929342061836646, -0.24595463267059223, -0.15929342061836646, 0.09564009236065327, 0.49722525269365403]",results/stage3_v1/optimization/cache/5653a561d4c334d2952fcfe9ba3c64823b4e407289a2b8207e80cb55e8bf6fa6.npz
0.45,0.2,-4.7807743550441195,-4.784859553179641,0.0005106497669401522,0.9977845315248426,0.03164224404982097,0.010977625062557075,0.0023434096293891704,0.5477874447219202,False,True,False,"[""epsilon_c""]",4,"[0.9999999999999991, 0.5045854645487358, 0.03676924247245535, -0.3050737727416267, -0.42976400833998696, -0.3050737727416267, 0.03676924247245535, 0.5045854645487358]","[1.0, 0.5031852020174229, 0.031481255307720134, -0.32647490127089684, -0.4614062523898079, -0.32647490127089684, 0.031481255307720134, 0.5031852020174229]",results/stage3_v1/optimization/cache/ebe1d78b1e9afcca38fba71ea3c9c05f111a1d0c34963f273bed61b010593017.npz
0.5,0.1,-4.353397332309714,-4.367855389038039,0.0018072570910405705,0.9873482201523511,0.052400225639126274,0.013032505896818036,0.0061208492666989245,0.4935932187378916,False,False,False,"[""delta_e"", ""epsilon_c"", ""fidelity""]",4,"[0.9999999999999984, 0.4944381484505269, -0.0007543924287963487, -0.37067636369480417, -0.50367971932584, -0.37067636369480417, -0.0007543924287963487, 0.4944381484505269]","[1.0000000000000002, 0.49720059520635773, -6.818295255552601e-05, -0.40005493069458575, -0.5560799449649663, -0.40005493069458575, -6.818295255552601e-05, 0.49720059520635773]",results/stage3_v1/optimization/cache/1cf0741eb30fe4710f8a709681bcc45db4ee9e2e1512f6b4d00bd3b5de1d66bf.npz
0.5,0.2,-4.7720173538380495,-4.781401108024926,0.0011729692733595254,0.9958807039960227,0.024724186728833475,0.005765271344790324,0.005742899238514454,0.5529669909803001,False,True,False,"[""delta_e"", ""epsilon_c""]",4,"[1.000000000000001, 0.4844242471779625, -0.002969047711467379, -0.35860954141738643, -0.4841036158178573, -0.35860954141738643, -0.002969047711467379, 0.4844242471779625]","[1.0000000000000004, 0.4871179333940187, -0.002224773521479321, -0.3710465148123039, -0.5088278025466908, -0.3710465148123039, -0.002224773521479321, 0.4871179333940187]",results/stage3_v1/optimization/cache/acbc904464d5ade2860f9dbd67f89c9156570f41af237385deca0c3a52a18f35.npz
0.55,0.1,-4.437841231464687,-4.43859408126892,9.41062255290781e-05,0.9913859010313266,0.023653631930260044,0.007031376826370561,0.010743978382483838,0.09908943880863316,False,True,False,"[""epsilon_c""]",4,"[0.9999999999999987, 0.0018457524904947635, -0.9872281046576868, -0.0002496420156529335, 0.9868338559912799, -0.0002496420156529335, -0.9872281046576868, 0.0018457524904947635]","[1.0, 0.009829741114969207, -0.9709294133173341, -0.005772874406167598, 0.9631802240610199, -0.005772874406167598, -0.9709294133173341, 0.009829741114969207]",results/stage3_v1/optimization/cache/959d2e7847449356194668742a7b475ecd8b38822956750b653377d4ae919761.npz
0.55,0.2,-4.772873192281844,-4.786727513038565,0.0017317900945901243,0.9907784388207521,0.03203084478473184,0.009376850653618596,0.005301153287493143,0.5556273895867688,False,True,False,"[""delta_e"", ""epsilon_c""]",4,"[1.000000000000002, 0.46278060465477827, -0.041278302660179095, -0.3350852893148939, -0.4293103123652443, -0.3350852893148939, -0.041278302660179095, 0.46278060465477827]","[1.0, 0.4680518666804874, -0.036770591253596274, -0.3602082772015458, -0.46134115714997614, -0.3602082772015458, -0.036770591253596274, 0.4680518666804874]",results/stage3_v1/optimization/cache/e0a89df6033680bd5d5e6b40d0b9dbbbde0630a87cc8ec52dee3722bc07c26ae.npz
0.55,0.3,-5.244177654708039,-5.253644357016464,0.0011833377885530627,0.9959188221675025,0.025545198395035995,0.00733654223902952,0.005465057584174704,0.6219576732998746,False,True,False,"[""delta_e"", ""epsilon_c""]",4,"[0.9999999999999983, 0.4431820762258705, -0.04682332476849467, -0.30616519802365, -0.37838608810195673, -0.30616519802365, -0.04682332476849467, 0.4431820762258705]","[1.0, 0.4475414168892716, -0.044029714587411416, -0.3252444244897961, -0.4039312864969927, -0.3252444244897961, -0.044029714587411416, 0.4475414168892716]",results/stage3_v1/optimization/cache/c602fb056d6cae87fa92ba5338f3ac7470447ccc3793c21dcd5617825a948f41.npz
0.6,0.2,-4.949475418094979,-4.951291785094114,0.00022704587489186245,0.9952997029008538,0.03757614767450623,0.011123817405202019,0.015340076128628588,0.21864244794801174,False,True,False,"[""epsilon_c""]",4,"[1.0000000000000016, 0.017643730767748868, -0.9288536781742018, -0.008195253912254119, 0.9163675974240901, -0.008195253912254119, -0.9288536781742018, 0.017643730767748868]","[1.0, 0.030227078887047433, -0.9031464823906477, -0.017336864634007392, 0.8787914497495839, -0.017336864634007392, -0.9031464823906477, 0.030227078887047433]",results/stage3_v1/optimization/cache/c3d91c25f9dafbe679b0d95301a45d611b8e21df117191f9de2765a4f608ee58.npz
0.6,0.3,-5.282807257701672,-5.299222113625858,0.0020518569905233486,0.9889469290805956,0.08996460977755905,0.02821674935837215,0.029840419279029695,0.6197108061790103,False,False,False,"[""delta_e"", ""epsilon_c"", ""epsilon_sf"", ""epsilon_mx"", ""fidelity""]",4,"[1.0000000000000009, 0.3591747565386848, -0.19210484803386838, -0.2453322281823635, -0.15202385180082317, -0.2453322281823635, -0.19210484803386838, 0.3591747565386848]","[1.0, 0.3294479237860912, -0.2599895405785779, -0.23213837612293042, -0.06205924202326412, -0.23213837612293042, -0.2599895405785779, 0.3294479237860912]",results/stage3_v1/optimization/cache/63f478bd72d9ce24a9b2de227b7f138ed2b1175a9cc581450f3a2fe4519493b3.npz
0.65,0.3,-5.528878327781968,-5.533040550898411,0.0005202778895553317,0.9943601678907997,0.04444958759284323,0.013498772353679023,0.01884895177963891,0.3358850867907847,False,True,False,"[""epsilon_c""]",4,"[1.0000000000000013, 0.03423861804444725, -0.8555471490631743, -0.01749303410710928, 0.8263873946240621, -0.01749303410710928, -0.8555471490631743, 0.03423861804444725]","[0.9999999999999997, 0.04975490255200143, -0.8237768534448809, -0.02776856934846976, 0.7819378070312188, -0.02776856934846976, -0.8237768534448809, 0.04975490255200143]",results/stage3_v1/optimization/cache/a501db4b7559080577bb0bba158975ce383b3576f48ac4363b90792648b1b9e8.npz
0.65,0.4,-5.915808107945069,-5.925552444855231,0.0012180421137701902,0.9966941444965011,0.01367341038905262,0.004276546487203853,0.002633634444988542,0.610264085562676,False,True,False,"[""delta_e""]",4,"[1.0000000000000009, 0.19892721753174414, -0.4560664026712601, -0.12121299361531385, 0.2767285751959823, -0.12121299361531385, -0.4560664026712601, 0.19892721753174414]","[0.9999999999999997, 0.2046822497126291, -0.45070711607261504, -0.12998120039567487, 0.2630551648069297, -0.12998120039567487, -0.45070711607261504, 0.2046822497126291]",results/stage3_v1/optimization/cache/da1fad2d5416bd1aa593b21b2ed5dab830e8eb2332adf95a55908783eeb8f152.npz
0.75,0.5,-6.851781039339224,-6.860175673476582,0.0010493292671697185,0.9972697605904505,0.024316804253538438,0.007395941946264806,0.007750242798696738,0.5278938147669776,False,True,False,"[""delta_e"", ""epsilon_c""]",4,"[1.0000000000000004, 0.06064064572377222, -0.7091801024135227, -0.03048702651642759, 0.6495884364841595, -0.03048702651642759, -0.7091801024135227, 0.06064064572377222]","[1.0, 0.07088387783531061, -0.691754736755233, -0.03756313501463525, 0.6252716322306211, -0.03756313501463525, -0.691754736755233, 0.07088387783531061]",results/stage3_v1/optimization/cache/f2454892fbc0dbd1f42e1de188544a698452e42f9089364a073d4a51bf1899e2.npz
