window,chain,p,feature,stride,h,value,derivative
W1,W1/ascending/seed307,0,order,4,0.75,0.8321389063563651,0.6403650105674741
W1,W1/ascending/seed307,0,order,4,0.8,0.7975150487964704,0.7445892918283077
W1,W1/ascending/seed307,0,order,4,0.85,0.7576799771735343,0.8419851860448926
W1,W1/ascending/seed307,0,order,4,0.9,0.7133165301919813,0.9176346111983378
W1,W1/ascending/seed307,0,order,4,0.95,0.6659165160537004,0.9579064459915871
W1,W1/ascending/seed307,0,order,4,1.0,0.6175258855928227,0.9561265953725968
W1,W1/ascending/seed307,0,order,4,1.05,0.5703038565164406,0.9150105136081557
W1,W1/ascending/seed307,0,order,4,1.1,0.5260248342320071,0.8451993689372648
W1,W1/ascending/seed307,0,order,4,1.15,0.48578391962271433,0.7596672003708527
W1,W1/ascending/seed307,0,order,4,1.2,0.4500581141949218,0.6697228341212345
W1,W1/ascending/seed307,0,order,4,1.25,0.4188116362105908,0.5801362852520011
W1,W1/ascending/seed307,0,order,2,0.75,0.8321389063563651,0.6392978058565078
W1,W1/ascending/seed307,0,order,2,0.775,0.8154917193931851,0.6924771511978918
W1,W1/ascending/seed307,0,order,2,0.8,0.7975150487964704,0.7453059023622899
W1,W1/ascending/seed307,0,order,2,0.825,0.7782264242750708,0.79670143245872
W1,W1/ascending/seed307,0,order,2,0.85,0.7576799771735343,0.844711911733647
W1,W1/ascending/seed307,0,order,2,0.875,0.7359908286883884,0.8872689396310598
W1,W1/ascending/seed307,0,order,2,0.9,0.7133165301919813,0.9223050871618597
W1,W1/ascending/seed307,0,order,2,0.925,0.6898755743302953,0.9480002827656211
W1,W1/ascending/seed307,0,order,2,0.95,0.6659165160537004,0.9634496404738542
W1,W1/ascending/seed307,0,order,2,0.975,0.6417030923066026,0.9678126092175514
W1,W1/ascending/seed307,0,order,2,1.0,0.6175258855928227,0.9611697821256406
W1,W1/ascending/seed307,0,order,2,1.025,0.5936446032003208,0.9444405815276422
W1,W1/ascending/seed307,0,order,2,1.05,0.5703038565164406,0.9186348935845032
W1,W1/ascending/seed307,0,order,2,1.075,0.5477128585210955,0.8855804456886691
W1,W1/ascending/seed307,0,order,2,1.1,0.5260248342320071,0.8472153751393279
W1,W1/ascending/seed307,0,order,2,1.125,0.505352089764129,0.8048182921858569
W1,W1/ascending/seed307,0,order,2,1.15,0.48578391962271433,0.7599817754222276
W1,W1/ascending/seed307,0,order,2,1.175,0.4673530009930177,0.7145161085558485
W1,W1/ascending/seed307,0,order,2,1.2,0.4500581141949218,0.669255059315665
W1,W1/ascending/seed307,0,order,2,1.225,0.43389024802723447,0.6249295596866187
W1,W1/ascending/seed307,0,order,2,1.25,0.4188116362105908,0.581359385644884
W1,W1/ascending/seed307,0,order,1,0.75,0.8321389063563651,0.6394538126560647
W1,W1/ascending/seed307,0,order,1,0.7625,0.8239805232864698,0.6658874785272033
W1,W1/ascending/seed307,0,order,1,0.775,0.8154917193931851,0.692359104629503
W1,W1/ascending/seed307,0,order,1,0.7875,0.8066715456707323,0.7190668238685873
W1,W1/ascending/seed307,0,order,1,0.8,0.7975150487964704,0.7455835114300449
W1,W1/ascending/seed307,0,order,1,0.8125,0.7880319578849813,0.7715449808559853
W1,W1/ascending/seed307,0,order,1,0.825,0.7782264242750708,0.7970309221240015
W1,W1/ascending/seed307,0,order,1,0.8375,0.7681061848318812,0.8218578840614619
W1,W1/ascending/seed307,0,order,1,0.85,0.7576799771735343,0.8455127942271261
W1,W1/ascending/seed307,0,order,1,0.8625,0.746968364976203,0.8675659394058357
W1,W1/ascending/seed307,0,order,1,0.875,0.7359908286883884,0.8880550517822385
W1,W1/ascending/seed307,0,order,1,0.8875,0.7247669886816471,0.9069719398562803
W1,W1/ascending/seed307,0,order,1,0.9,0.7133165301919813,0.9235852580071118
W1,W1/ascending/seed307,0,order,1,0.9125,0.7016773572314694,0.9376382344674354
W1,W1/ascending/seed307,0,order,1,0.925,0.6898755743302953,0.9493330193616636
W1,W1/ascending/seed307,0,order,1,0.9375,0.6779440317474278,0.9583623310637996
W1,W1/ascending/seed307,0,order,1,0.95,0.6659165160537004,0.9649272860244551
W1,W1/ascending/seed307,0,order,1,0.9625,0.6538208495968164,0.9685369498839123
W1,W1/ascending/seed307,0,order,1,0.975,0.6417030923066026,0.9690790659598818
W1,W1/ascending/seed307,0,order,1,0.9875,0.6295938729478194,0.9670882685511941
W1,W1/ascending/seed307,0,order,1,1.0,0.6175258855928227,0.9623552178689856
W1,W1/ascending/seed307,0,order,1,1.0125,0.6055349925010949,0.9552512957000836
W1,W1/ascending/seed307,0,order,1,1.025,0.5936446032003208,0.9457048012468618
W1,W1/ascending/seed307,0,order,1,1.0375,0.5818923724699232,0.9336298673552044
W1,W1/ascending/seed307,0,order,1,1.05,0.5703038565164406,0.9195976712887202
W1,W1/ascending/seed307,0,order,1,1.0625,0.5589024306877053,0.9036399198138056
W1,W1/ascending/seed307,0,order,1,1.075,0.5477128585210955,0.8862166853473532
W1,W1/ascending/seed307,0,order,1,1.0875,0.5367470135540215,0.8675209715635326
W1,W1/ascending/seed307,0,order,1,1.1,0.5260248342320071,0.847843143583102
W1,W1/ascending/seed307,0,order,1,1.1125,0.5155509349644438,0.8269097787151232
W1,W1/ascending/seed307,0,order,1,1.125,0.505352089764129,0.8049753799554296
W1,W1/ascending/seed307,0,order,1,1.1375,0.49542655046555817,0.7827268056565906
W1,W1/ascending/seed307,0,order,1,1.15,0.48578391962271433,0.7601020307631323
W1,W1/ascending/seed307,0,order,1,1.1625,0.47642399969647975,0.7372367451878645
W1,W1/ascending/seed307,0,order,1,1.175,0.4673530009930177,0.7144569907992775
W1,W1/ascending/seed307,0,order,1,1.1875,0.4585625749264979,0.691795471923836
W1,W1/ascending/seed307,0,order,1,1.2,0.4500581141949218,0.6690392028227699
W1,W1/ascending/seed307,0,order,1,1.2125,0.4418365948559287,0.6467146467074905
W1,W1/ascending/seed307,0,order,1,1.225,0.43389024802723447,0.6247222525901428
W1,W1/ascending/seed307,0,order,1,1.2375,0.4262185385411751,0.6031444726657469
W1,W1/ascending/seed307,0,order,1,1.25,0.4188116362105908,0.5819599002277442
W1,W1/ascending/seed307,0,mx,4,0.75,0.4263863816786277,0.7892514445775989
W1,W1/ascending/seed307,0,mx,4,0.8,0.4669907042360508,0.8349214577193305
W1,W1/ascending/seed307,0,mx,4,0.85,0.5098785274505606,0.871100995038744
W1,W1/ascending/seed307,0,mx,4,0.9,0.5541008037399253,0.8836697169002248
W1,W1/ascending/seed307,0,mx,4,0.95,0.598245499140583,0.8662808965417588
W1,W1/ascending/seed307,0,mx,4,1.0,0.6407288933941013,0.8192294434000251
W1,W1/ascending/seed307,0,mx,4,1.05,0.6801684434805856,0.7493348491757086
W1,W1/ascending/seed307,0,mx,4,1.1,0.7156623783116722,0.6669725247814009
W1,W1/ascending/seed307,0,mx,4,1.15,0.7468656959587258,0.5821093539339266
W1,W1/ascending/seed307,0,mx,4,1.2,0.7738733137050646,0.5019213115371111
W1,W1/ascending/seed307,0,mx,4,1.25,0.7970578271124369,0.4254592247577804
W1,W1/ascending/seed307,0,mx,2,0.75,0.4263863816786277,0.7862059503837262
W1,W1/ascending/seed307,0,mx,2,0.775,0.44636503669778005,0.8120864511484616
W1,W1/ascending/seed307,0,mx,2,0.8,0.4669907042360508,0.8366106312585391
W1,W1/ascending/seed307,0,mx,2,0.825,0.4881955682607071,0.8577564642901994
W1,W1/ascending/seed307,0,mx,2,0.85,0.5098785274505606,0.8741485089046162
