name,kappa,h,layers,seed,source,reference_source,archive,archive_sha256,end_to_end_seconds,cache_status,created_utc,energy,nit,nfev,njev,optimization_success,status,message,gradient_inf,seconds,ed_energy,delta_e,fidelity,epsilon_c,epsilon_sf,epsilon_mx,mx,observable_pass,state_pass,joint_pass,failed_metrics,window,direction,chain,grid_index
C_W1_ascending_seed307_i60,0,0.75,6,307,results/stage3_v1/optimization/cache/f21e86ce31e8f778d53464c584bc44a033dedb7c7b68bf28db5f71b8011577a7.npz,results/stage3_v1/reference_supplement/k0.000_h0.750.npz,results/stage4_v1/optimization/C_W1_ascending_seed307_i60.npz,2de5e01ba0ca4f33c79042e32d70b56e9407d2ab328e8972b7015f7e62f75ea8,0.006015791994286701,executed,2026-09-22T05:43:53.680001+00:00,-9.186615091069179,1,4,4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.89918317259486e-06,0.0015127499937079847,-9.186615091078192,1.1266543253896089e-12,0.9999999999988072,4.663723696118893e-08,2.5315284091220747e-08,6.218448472816718e-08,0.4263863816786272,True,True,True,[],W1,ascending,W1/ascending/seed307,60
C_W1_ascending_seed307_i61,0,0.7625,6,307,results/stage4_v1/optimization/C_W1_ascending_seed307_i60.npz,results/stage4_v1/reference_supplement/k0x0.0p+0_h0x1.8666666666666p-1.npz,results/stage4_v1/optimization/C_W1_ascending_seed307_i61.npz,8f1054762cb7fb44e9300669c09b2961cc1e9e86738eba7117b220be562ac7b3,0.011004041996784508,executed,2026-09-22T05:43:53.691874+00:00,-9.229747617890418,27,31,31,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0495836658463986e-05,0.007938916998682544,-9.229747619172612,1.6027423832554177e-10,0.999999999834374,1.912207700405233e-06,1.0672111840914766e-06,6.421285210223004e-07,0.4362916855062595,True,True,True,[],W1,ascending,W1/ascending/seed307,61
C_W1_ascending_seed307_i62,0,0.775,6,307,results/stage4_v1/optimization/C_W1_ascending_seed307_i61.npz,results/stage4_v1/reference_supplement/k0x0.0p+0_h0x1.8cccccccccccdp-1.npz,results/stage4_v1/optimization/C_W1_ascending_seed307_i62.npz,0f018dbd3af6470046e84d2422d25a6a884d398a933fb4beaf82cc6b60b2a388,0.010388458002125844,executed,2026-09-22T05:43:53.703202+00:00,-9.273879127367454,27,31,31,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.331625360291639e-06,0.008031458011828363,-9.273879135044101,9.595808592166577e-10,0.9999999989974839,3.243279777409569e-06,1.622397991729585e-06,4.6383846852293686e-07,0.4463650366977806,True,True,True,[],W1,ascending,W1/ascending/seed307,62
C_W1_ascending_seed307_i63,0,0.7875,6,307,results/stage4_v1/optimization/C_W1_ascending_seed307_i62.npz,results/stage4_v1/reference_supplement/k0x0.0p+0_h0x1.9333333333333p-1.npz,results/stage4_v1/optimization/C_W1_ascending_seed307_i63.npz,df578a7135e981f1c6ec5e56d2fcfb8b7daa7e04e1b0650412f1aef6f092145f,0.010008790995925665,executed,2026-09-22T05:43:53.714240+00:00,-9.3190260934635,25,29,29,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.4092571907274873e-05,0.007601209013955668,-9.319026125206648,3.967893569267744e-09,0.9999999959174621,5.871352295239163e-06,3.053836672539667e-06,1.031181070199061e-06,0.45659975142598963,True,True,True,[],W1,ascending,W1/ascending/seed307,63
C_W1_ascending_seed307_i64,0,0.8,6,307,results/stage4_v1/optimization/C_W1_ascending_seed307_i63.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/C_W1_ascending_seed307_i64.npz,0f2bda6717ec131bad1cbeba53b50c67054a7584f9fe307b9b18ea2bf516a9d3,0.03208775000530295,executed,2026-09-22T05:43:53.747250+00:00,-9.36520445641219,106,116,116,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.115437566402761e-06,0.02993591601261869,-9.365204456437201,3.126388037344441e-12,0.9999999999967522,5.079488683001898e-07,3.0731973810205204e-07,2.3442896696090898e-07,0.4669907042360499,True,True,True,[],W1,ascending,W1/ascending/seed307,64
C_W1_ascending_seed307_i65,0,0.8125,6,307,results/stage4_v1/optimization/C_W1_ascending_seed307_i64.npz,results/stage4_v1/reference_supplement/k0x0.0p+0_h0x1.a000000000000p-1.npz,results/stage4_v1/optimization/C_W1_ascending_seed307_i65.npz,9c157598da5944a26ab83f3e25a6f970281b83812c2f61badf67ddf23858c5f7,0.00994524999987334,executed,2026-09-22T05:43:53.758288+00:00,-9.412429163756563,25,29,29,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0343013681080038e-05,0.0073781670071184635,-9.412429164708307,1.1896794660515297e-10,0.9999999998766456,8.660315002906316e-07,3.1932329425110595e-07,1.799568444815769e-07,0.47752675339372413,True,True,True,[],W1,ascending,W1/ascending/seed307,65
C_W1_ascending_seed307_i66,0,0.825,6,307,results/stage4_v1/optimization/C_W1_ascending_seed307_i65.npz,results/stage4_v1/reference_supplement/k0x0.0p+0_h0x1.a666666666666p-1.npz,results/stage4_v1/optimization/C_W1_ascending_seed307_i66.npz,1e940329befba35285e16369e5e90cc46f97b99ec2d4e5c51bdf316136501011,0.0100575830147136,executed,2026-09-22T05:43:53.769234+00:00,-9.460714225270165,25,30,30,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6.246337966864246e-06,0.007736416009720415,-9.460714235582358,1.289024220696433e-09,0.9999999987116073,3.945223371326634e-06,1.510012127781124e-06,4.987611177398321e-07,0.4881955682607062,True,True,True,[],W1,ascending,W1/ascending/seed307,66
C_W1_ascending_seed307_i67,0,0.8375,6,307,results/stage4_v1/optimization/C_W1_ascending_seed307_i66.npz,results/stage4_v1/reference_supplement/k0x0.0p+0_h0x1.acccccccccccdp-1.npz,results/stage4_v1/optimization/C_W1_ascending_seed307_i67.npz,1ead0ae1544a0cece9f193b872f4591b51a0d0d49f10b458be67ee864b6376a1,0.014433082978939638,executed,2026-09-22T05:43:53.784605+00:00,-9.51007234563153,42,48,48,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.097735691909747e-06,0.012374207988614216,-9.510072380496354,4.358102989598933e-09,0.9999999955796175,6.004191227315658e-06,2.7453730105930774e-06,7.53668338848712e-08,0.49898548308525836,True,True,True,[],W1,ascending,W1/ascending/seed307,67
C_W1_ascending_seed307_i68,0,0.85,6,307,results/stage4_v1/optimization/C_W1_ascending_seed307_i67.npz,results/stage3_v1/reference_supplement/k0.000_h0.850.npz,results/stage4_v1/optimization/C_W1_ascending_seed307_i68.npz,4d4c8cf2714edba2a240f34d59637d586b4d4012e364c580c1bc4631bdb1cea2,0.0353649580210913,executed,2026-09-22T05:43:53.820916+00:00,-9.560514814050602,118,130,130,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4430545189902944e-05,0.03344675002153963,-9.560514814088167,4.695577260349637e-12,0.9999999999939184,1.0281435298686858e-06,6.101972132022127e-07,4.5647416391236817e-07,0.5098785274505607,True,True,True,[],W1,ascending,W1/ascending/seed307,68
C_W1_ascending_seed307_i69,0,0.8625,6,307,results/stage4_v1/optimization/C_W1_ascending_seed307_i68.npz,results/stage4_v1/reference_supplement/k0x0.0p+0_h0x1.b99999999999ap-1.npz,results/stage4_v1/optimization/C_W1_ascending_seed307_i69.npz,eb6212a94d517fef6328a6ee62f80c68de9def7521a944e6e6c326aca0a0312c,0.01111795799806714,executed,2026-09-22T05:43:53.833155+00:00,-9.61205103325386,28,34,34,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.918687189103821e-06,0.00864579199696891,-9.612051038286877,6.291271947844734e-10,0.9999999994013922,2.0022131106411933e-06,3.978463092579876e-07,6.620381565181077e-08,0.5208582406659623,True,True,True,[],W1,ascending,W1/ascending/seed307,69
