window,chain,feature,p,status,h0,hp,delta_h,range_low,range_high,grid_support_note,complementary_agreement,nonzero_supported_on_this_chain
W1,W1/ascending/seed307,order,0.01,resolved_under_protocol,0.975,1.0,0.025000000000000022,0.0,0.04999999999999993,"deterministic grid/protocol range, not confidence interval",True,False
W1,W1/ascending/seed307,order,0.05,not_resolved_under_protocol,,,,,,,,
W1,W1/ascending/seed307,mx,0.01,resolved_under_protocol,0.9,0.9,0.0,-0.025000000000000022,0.025000000000000022,"deterministic grid/protocol range, not confidence interval",True,False
W1,W1/ascending/seed307,mx,0.05,not_resolved_under_protocol,,,,,,,,
W1,W1/descending/seed307,order,0.01,resolved_under_protocol,0.9375,0.825,-0.11250000000000004,-0.13749999999999996,-0.08750000000000002,"deterministic grid/protocol range, not confidence interval",False,False
W1,W1/descending/seed307,order,0.05,not_resolved_under_protocol,,,,,,,,
W1,W1/descending/seed307,mx,0.01,resolved_under_protocol,0.925,0.9125,-0.012500000000000067,-0.03749999999999998,0.012500000000000067,"deterministic grid/protocol range, not confidence interval",False,False
W1,W1/descending/seed307,mx,0.05,not_resolved_under_protocol,,,,,,,,
W2,W2/ascending/seed307,order,0.01,not_resolved_under_protocol,,,,,,,,
W2,W2/ascending/seed307,order,0.05,not_resolved_under_protocol,,,,,,,,
W2,W2/ascending/seed307,mx,0.01,not_resolved_under_protocol,,,,,,,,
W2,W2/ascending/seed307,mx,0.05,not_resolved_under_protocol,,,,,,,,
W2,W2/descending/seed307,order,0.01,not_resolved_under_protocol,,,,,,,,
W2,W2/descending/seed307,order,0.05,not_resolved_under_protocol,,,,,,,,
W2,W2/descending/seed307,mx,0.01,not_resolved_under_protocol,,,,,,,,
W2,W2/descending/seed307,mx,0.05,not_resolved_under_protocol,,,,,,,,
W3,W3/ascending/seed101,order,0.01,resolved_under_protocol,0.575,0.525,-0.04999999999999993,-0.07500000000000007,-0.025000000000000022,"deterministic grid/protocol range, not confidence interval",False,False
W3,W3/ascending/seed101,order,0.05,not_resolved_under_protocol,,,,,,,,
W3,W3/ascending/seed101,mx,0.01,not_resolved_under_protocol,,,,,,,,
W3,W3/ascending/seed101,mx,0.05,not_resolved_under_protocol,,,,,,,,
W3,W3/descending/seed101,order,0.01,not_resolved_under_protocol,,,,,,,,
W3,W3/descending/seed101,order,0.05,not_resolved_under_protocol,,,,,,,,
W3,W3/descending/seed101,mx,0.01,not_resolved_under_protocol,,,,,,,,
W3,W3/descending/seed101,mx,0.05,not_resolved_under_protocol,,,,,,,,
