index,h,height,prominence,width,endpoint,amplitude,step,position_support,full_computation_support,support_indices,resolved_under_protocol,reasons,window,chain,p,feature,stride,coarse_matches,last_two_position_difference,stable_last_two,stable_all_three
18,0.975,0.9690790659598818,0.3296252533038171,0.29675533326955866,False,0.4133272701457743,0.012499999999999956,"[0.9625, 0.9875]","[0.75, 1.25]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",True,[],W1,W1/ascending/seed307,0,order,1,"[{""index"": 9, ""h"": 0.975, ""height"": 0.9678126092175514, ""prominence"": 0.32851480336104366, ""width"": 0.2971353769223696, ""endpoint"": false, ""amplitude"": 0.4133272701457743, ""step"": 0.025000000000000022, ""position_support"": [0.95, 1.0], ""full_computation_support"": [0.75, 1.25], ""support_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], ""resolved_under_protocol"": true, ""reasons"": [], ""window"": ""W1"", ""chain"": ""W1/ascending/seed307"", ""p"": 0, ""feature"": ""order"", ""stride"": 2}, {""index"": 4, ""h"": 0.95, ""height"": 0.9579064459915871, ""prominence"": 0.31754143542411306, ""width"": 0.29892523911813934, ""endpoint"": false, ""amplitude"": 0.4133272701457743, ""step"": 0.050000000000000044, ""position_support"": [0.9, 1.0], ""full_computation_support"": [0.75, 1.25], ""support_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""resolved_under_protocol"": true, ""reasons"": [], ""window"": ""W1"", ""chain"": ""W1/ascending/seed307"", ""p"": 0, ""feature"": ""order"", ""stride"": 4}]",0.0,True,True
12,0.9,0.8885555500823337,0.1028531384273208,0.18780437591768345,False,0.3706714454338092,0.012499999999999956,"[0.8875, 0.9125]","[0.75, 1.25]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",True,[],W1,W1/ascending/seed307,0,mx,1,"[{""index"": 6, ""h"": 0.9, ""height"": 0.8875884860553658, ""prominence"": 0.10138253567163957, ""width"": 0.1862607952400113, ""endpoint"": false, ""amplitude"": 0.3706714454338092, ""step"": 0.025000000000000022, ""position_support"": [0.875, 0.925], ""full_computation_support"": [0.75, 1.25], ""support_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], ""resolved_under_protocol"": true, ""reasons"": [], ""window"": ""W1"", ""chain"": ""W1/ascending/seed307"", ""p"": 0, ""feature"": ""mx"", ""stride"": 2}, {""index"": 3, ""h"": 0.9, ""height"": 0.8836697169002248, ""prominence"": 0.0944182723226259, ""width"": 0.1795619858190934, ""endpoint"": false, ""amplitude"": 0.3706714454338092, ""step"": 0.050000000000000044, ""position_support"": [0.85, 0.95], ""full_computation_support"": [0.75, 1.25], ""support_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""resolved_under_protocol"": true, ""reasons"": [], ""window"": ""W1"", ""chain"": ""W1/ascending/seed307"", ""p"": 0, ""feature"": ""mx"", ""stride"": 4}]",0.0,True,True
2,0.775,0.1493287707596842,0.0031834374967747436,0.009007171849568792,False,0.10366899365713944,0.012499999999999956,"[0.7625, 0.7875]","[0.75, 1.25]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",False,"[""insufficient_derivative_prominence""]",W1,W1/ascending/seed307,0.01,order,1,"[null, null]",,False,False
6,0.825,0.1800638273654922,0.002312195325400168,0.007932114426859788,False,0.10366899365713944,0.012499999999999956,"[0.8125, 0.8375]","[0.75, 1.25]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",False,"[""insufficient_derivative_prominence""]",W1,W1/ascending/seed307,0.01,order,1,"[null, null]",,False,False
10,0.875,0.20974870606081808,0.006787975429455528,0.011932180640394276,False,0.10366899365713944,0.012499999999999956,"[0.8625, 0.8875]","[0.75, 1.25]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",False,"[""insufficient_derivative_prominence""]",W1,W1/ascending/seed307,0.01,order,1,"[null, null]",,False,False
15,0.9375,0.2365763162550678,0.005486295392197249,0.01644855576291438,False,0.10366899365713944,0.012499999999999956,"[0.925, 0.95]","[0.75, 1.25]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",False,"[""insufficient_derivative_prominence""]",W1,W1/ascending/seed307,0.01,order,1,"[null, {""index"": 5, ""h"": 1.0, ""height"": 0.2411055659352157, ""prominence"": 0.06519834467638264, ""width"": 0.26303465068910703, ""endpoint"": false, ""amplitude"": 0.10366899365713944, ""step"": 0.050000000000000044, ""position_support"": [0.95, 1.05], ""full_computation_support"": [0.75, 1.25], ""support_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""resolved_under_protocol"": true, ""reasons"": [], ""window"": ""W1"", ""chain"": ""W1/ascending/seed307"", ""p"": 0.01, ""feature"": ""order"", ""stride"": 4}]",,False,False
20,1.0,0.24796795881009004,0.07473304012385995,0.259436636657806,False,0.10366899365713944,0.012499999999999956,"[0.9875, 1.0125]","[0.75, 1.25]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",True,[],W1,W1/ascending/seed307,0.01,order,1,"[{""index"": 12, ""h"": 1.05, ""height"": 0.2444003459563593, ""prominence"": 0.07011825576320163, ""width"": 0.26962865145845377, ""endpoint"": false, ""amplitude"": 0.10366899365713944, ""step"": 0.025000000000000022, ""position_support"": [1.025, 1.075], ""full_computation_support"": [0.75, 1.25], ""support_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], ""resolved_under_protocol"": true, ""reasons"": [], ""window"": ""W1"", ""chain"": ""W1/ascending/seed307"", ""p"": 0.01, ""feature"": ""order"", ""stride"": 2}, {""index"": 5, ""h"": 1.0, ""height"": 0.2411055659352157, ""prominence"": 0.06519834467638264, ""width"": 0.26303465068910703, ""endpoint"": false, ""amplitude"": 0.10366899365713944, ""step"": 0.050000000000000044, ""position_support"": [0.95, 1.05], ""full_computation_support"": [0.75, 1.25], ""support_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""resolved_under_protocol"": true, ""reasons"": [], ""window"": ""W1"", ""chain"": ""W1/ascending/seed307"", ""p"": 0.01, ""feature"": ""order"", ""stride"": 4}]",-0.050000000000000044,True,True
23,1.0375,0.24630047751064765,0.009020186424502086,0.03444273955908474,False,0.10366899365713944,0.012499999999999956,"[1.025, 1.05]","[0.75, 1.25]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",False,"[""insufficient_derivative_prominence""]",W1,W1/ascending/seed307,0.01,order,1,"[{""index"": 12, ""h"": 1.05, ""height"": 0.2444003459563593, ""prominence"": 0.07011825576320163, ""width"": 0.26962865145845377, ""endpoint"": false, ""amplitude"": 0.10366899365713944, ""step"": 0.025000000000000022, ""position_support"": [1.025, 1.075], ""full_computation_support"": [0.75, 1.25], ""support_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], ""resolved_under_protocol"": true, ""reasons"": [], ""window"": ""W1"", ""chain"": ""W1/ascending/seed307"", ""p"": 0.01, ""feature"": ""order"", ""stride"": 2}, {""index"": 5, ""h"": 1.0, ""height"": 0.2411055659352157, ""prominence"": 0.06519834467638264, ""width"": 0.26303465068910703, ""endpoint"": false, ""amplitude"": 0.10366899365713944, ""step"": 0.050000000000000044, ""position_support"": [0.95, 1.05], ""full_computation_support"": [0.75, 1.25], ""support_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""resolved_under_protocol"": true, ""reasons"": [], ""window"": ""W1"", ""chain"": ""W1/ascending/seed307"", ""p"": 0.01, ""feature"": ""order"", ""stride"": 4}]",-0.012499999999999956,False,False
30,1.125,0.2238826678100132,0.008669005216628278,0.018471325471227318,False,0.10366899365713944,0.012499999999999956,"[1.1125, 1.1375]","[0.75, 1.25]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",False,"[""insufficient_derivative_prominence""]",W1,W1/ascending/seed307,0.01,order,1,"[null, null]",,False,False
36,1.2,0.1942954382108848,0.00884805372271913,0.014528186080321819,False,0.10366899365713944,0.012499999999999956,"[1.1875, 1.2125]","[0.75, 1.25]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",False,"[""insufficient_derivative_prominence""]",W1,W1/ascending/seed307,0.01,order,1,"[null, null]",,False,False
