kind,inner_optimizer_calls,optimizer_success,selected_checkpoint_reason,n,kappa,h,ref,seed,budget,seconds,stop,nit,nfev,cnots,joint_pass,delta_e,fidelity,archive,raw_record,used_for_current_comparison,exit_message,energy
energy-only ADAPT campaign,61,False,budget_checkpoint_128,8,0.422658,0.645096,plus,11,128,5.931829667009879,budget,9857,10348,128,True,7.427725941777652e-05,0.9998928118011504,results/stage5_v1/adaptive/cache/b3d7383fa6adcec6817d4249aaba374b9daf0fc51c71e9e1b01ffe56a5c438d1.npz,results/stage5_v1/adaptive/cache/b3d7383fa6adcec6817d4249aaba374b9daf0fc51c71e9e1b01ffe56a5c438d1.json,,,
energy-only ADAPT campaign,50,True,budget_checkpoint_128,8,0.3,0.3875,antiphase,11,128,3.7670436250045896,budget,4858,5174,128,True,1.5899198884561372e-05,0.999968288098024,results/stage5_v1/adaptive/cache/34fb81aa1be76018d5e1c45d5731103712b5f89e025769b499f327e4dd05d8a5.npz,results/stage5_v1/adaptive/cache/34fb81aa1be76018d5e1c45d5731103712b5f89e025769b499f327e4dd05d8a5.json,,,
energy-only ADAPT campaign,55,True,budget_checkpoint_96,8,0.0,1.0625,plus,11,128,4.301777124986984,budget,5333,5670,96,True,8.424516330207688e-05,0.9999226288711436,results/stage5_v1/adaptive/cache/ea8cf5da4e9c3e1cdb54cf1f4f60041ec623c1cfbd76c821638051374a18529a.npz,results/stage5_v1/adaptive/cache/ea8cf5da4e9c3e1cdb54cf1f4f60041ec623c1cfbd76c821638051374a18529a.json,,,
energy-only ADAPT campaign,45,True,budget_checkpoint_128,8,0.3,0.3375,ghz,11,128,2.4901546660112217,budget,4151,4408,127,True,1.051784436156833e-05,0.999979747766909,results/stage5_v1/adaptive/cache/a20544bf2bc0f54c50d950a39680b7c8df88c81458239f56de59962fb6cb4135.npz,results/stage5_v1/adaptive/cache/a20544bf2bc0f54c50d950a39680b7c8df88c81458239f56de59962fb6cb4135.json,,,
energy-only ADAPT campaign,46,True,budget_checkpoint_128,8,0.906262,0.370871,antiphase,11,128,0.8029432499897666,budget,2034,2248,128,True,5.535603955153512e-05,0.9998381746807906,results/stage5_v1/adaptive/cache/ac1c846cbaf7973bce9fb13dfb710a039a3839f97c8641fc2ee94f259472ea5c.npz,results/stage5_v1/adaptive/cache/ac1c846cbaf7973bce9fb13dfb710a039a3839f97c8641fc2ee94f259472ea5c.json,,,
energy-only ADAPT campaign,50,False,budget_checkpoint_64,8,0.220221,1.745028,plus,11,128,3.4582614169921726,energy_stagnation,8910,9427,64,True,5.96447134260103e-06,0.9999956105453307,results/stage5_v1/adaptive/cache/0e52a988f1aa159f1f9e1724b8e7b560b13631e972e77d407587a0dfad198450.npz,results/stage5_v1/adaptive/cache/0e52a988f1aa159f1f9e1724b8e7b560b13631e972e77d407587a0dfad198450.json,,,
energy-only ADAPT campaign,81,False,budget_checkpoint_192,12,0.0,1.4,antiphase,11,192,67.01842758298153,budget,9556,10095,192,False,0.0005695017736420857,0.9976205908449598,results/stage5_v1/adaptive/cache/88eec426a10e3a0158859d7f55ddf3596f3bf84072a13b764797514791e2e14d.npz,results/stage5_v1/adaptive/cache/88eec426a10e3a0158859d7f55ddf3596f3bf84072a13b764797514791e2e14d.json,,,
energy-only ADAPT campaign,81,True,budget_checkpoint_192,12,0.8,1.5,antiphase,11,192,35.559988916967995,budget,9150,9710,192,True,0.0004204467225461528,0.9993903210433877,results/stage5_v1/adaptive/cache/dd14bcf14dbf5f119288a54e10b4a992ef041cf2f5f7377f20c6603c9fd24238.npz,results/stage5_v1/adaptive/cache/dd14bcf14dbf5f119288a54e10b4a992ef041cf2f5f7377f20c6603c9fd24238.json,,,
energy-only ADAPT campaign,54,True,budget_checkpoint_96,8,0.0,1.1875,antiphase,11,128,5.381967124994844,budget,6480,6830,96,True,8.579903867511618e-05,0.9999286425810621,results/stage5_v1/adaptive/cache/5e65b4b56125ebcbd0049e94bf7d9e258ab97c1b62993c2bc74b8b1419136947.npz,results/stage5_v1/adaptive/cache/5e65b4b56125ebcbd0049e94bf7d9e258ab97c1b62993c2bc74b8b1419136947.json,,,
energy-only ADAPT campaign,55,False,budget_checkpoint_128,8,0.3,0.55,plus,11,128,6.474395000026561,budget,8493,8947,128,True,6.420459920386534e-07,0.999998430398827,results/stage5_v1/adaptive/cache/543926893bc4b7d0c23597183c33b4e406fabc714a362bcf7b5540d34a5d28ce.npz,results/stage5_v1/adaptive/cache/543926893bc4b7d0c23597183c33b4e406fabc714a362bcf7b5540d34a5d28ce.json,,,
