n,group,kappa,h,candidates,historical_pass,S0_pass,S1_pass,S2_pass,oracle_available,S0_cnots,S1_cnots,S2_cnots,S2_unresolved,category,S2_fidelity,S2_energy_error,S2_w0
8,map,0.0,0.1,11,True,True,True,True,True,31,54,54,False,candidate_available,0.9999999837167218,8.018438135692918e-09,0.9999999921534186
8,map,0.0,0.2,13,True,True,True,True,True,31,86,64,False,candidate_available,0.9999983181068479,7.706504188131902e-07,0.9999997647050707
8,map,0.0,0.3,13,True,True,True,True,True,64,103,80,False,candidate_available,0.9999999997113118,1.5977907885655895e-10,0.9999999997753201
8,map,0.0,0.4,13,True,True,True,True,True,64,82,82,False,candidate_available,0.9999999999837337,8.987477428945567e-12,0.9999999999860514
8,map,0.0,0.5,16,True,True,True,True,True,95,97,95,False,candidate_available,0.9999988738911729,6.418955638132218e-07,0.9999988936851265
8,map,0.0,0.6,17,True,True,True,True,True,90,90,90,False,candidate_available,0.9999999999803255,1.3098189199922672e-11,0.9999999999837197
8,map,0.0,0.7,15,True,True,True,True,True,64,92,92,False,candidate_available,0.9999999999803366,1.180811004530824e-11,0.9999999999823119
8,map,0.0,0.8,16,True,True,True,True,True,96,106,96,False,candidate_available,0.9999997022556186,3.5095201056378755e-07,0.9999997503691866
8,map,0.0,0.9,17,True,True,True,True,True,96,116,96,False,candidate_available,0.9999995411807394,5.418344342089654e-07,0.9999996087398006
8,map,0.0,1.0,17,True,True,True,True,True,96,120,115,False,candidate_available,0.9999999994467452,6.041012134971879e-10,0.9999999995450812
8,map,0.0,1.1,16,True,True,True,True,True,127,128,127,False,candidate_available,0.999999969354807,3.342187970822863e-08,0.9999999771315291
8,map,0.0,1.2,18,True,True,True,True,True,96,124,124,False,candidate_available,0.9999999996911582,4.129581121503634e-10,0.9999999997686143
8,map,0.0,1.3,15,True,True,True,True,True,95,127,127,False,candidate_available,0.9999999998061586,2.6116997453584645e-10,0.9999999998304612
8,map,0.0,1.4,17,True,True,True,True,True,95,127,127,False,candidate_available,0.9999994396229818,8.298654985416931e-07,0.9999995193808988
8,map,0.0,1.5,15,True,True,True,True,True,127,127,127,False,candidate_available,0.9999997312090659,4.481960658164752e-07,0.9999997522197661
8,map,0.0,1.6,17,True,True,True,True,True,95,128,127,False,candidate_available,0.9999993507841055,1.1057814568449231e-06,0.9999995064712388
8,map,0.0,1.7,15,True,True,True,True,True,96,127,127,False,candidate_available,0.9999996248706094,6.791549731488544e-07,0.9999997408115162
8,map,0.0,1.8,16,True,True,True,True,True,63,128,127,False,candidate_available,0.9999990227536755,1.7648808494641344e-06,0.9999995624356773
8,map,0.0,1.9,17,True,True,True,True,True,63,128,127,False,candidate_available,0.9999993841677048,1.1823661179022338e-06,0.9999996015597452
8,map,0.0,2.0,16,True,True,True,True,True,63,115,115,False,candidate_available,0.9999999976270075,4.729436398065445e-09,0.9999999982965667
8,map,0.05,0.1,11,True,True,True,True,True,31,64,54,False,candidate_available,0.9999999634482369,1.7487694292661615e-08,0.9999999875389372
8,map,0.05,0.2,13,True,True,True,True,True,31,114,96,False,candidate_available,0.9999994596074357,2.352504753222462e-07,0.9999997653911765
8,map,0.05,0.3,14,True,True,True,True,True,63,118,95,False,candidate_available,0.9999990873258799,5.296036663660075e-07,0.9999993815088569
8,map,0.05,0.4,16,True,True,True,True,True,64,117,117,False,candidate_available,0.9999999711327796,2.573374258130201e-08,0.9999999973383324
8,map,0.05,0.5,16,True,True,True,True,True,96,128,127,False,candidate_available,0.9999998972370443,8.717326993590291e-08,0.9999999961558703
8,map,0.05,0.6,16,True,True,True,True,True,95,122,122,False,candidate_available,0.9999998760364551,1.0928344518212896e-07,0.9999999371780774
8,map,0.05,0.7,15,True,True,True,True,True,95,127,96,False,candidate_available,0.9999990562603807,7.780971926774072e-07,0.9999998311738532
8,map,0.05,0.8,13,True,True,True,True,True,127,127,127,False,candidate_available,0.9999994846025271,4.395906822995954e-07,0.9999998323268868
8,map,0.05,0.9,18,True,True,True,True,True,95,128,127,False,candidate_available,0.9999992709829916,6.494247899446748e-07,0.9999997156180063
8,map,0.05,1.0,17,True,True,True,True,True,95,127,127,False,candidate_available,0.9999994629576571,5.087189323127461e-07,0.99999979035879
8,map,0.05,1.1,18,True,True,True,True,True,95,127,127,False,candidate_available,0.99999972214649,2.91951687936276e-07,0.9999998675853475
8,map,0.05,1.2,17,True,True,True,True,True,95,127,127,False,candidate_available,0.9999982070517229,2.3224457863513237e-06,0.9999984473550184
8,map,0.05,1.3,17,True,True,True,True,True,95,127,127,False,candidate_available,0.9999992238621416,1.100668094222712e-06,0.999999446493262
8,map,0.05,1.4,17,True,True,True,True,True,95,127,127,False,candidate_available,0.999998899793423,1.5949375651302944e-06,0.9999992532298796
8,map,0.05,1.5,17,True,True,True,True,True,64,128,128,False,candidate_available,0.999998996952937,1.4637793426253154e-06,0.9999994369003202
8,map,0.05,1.6,18,True,True,True,True,True,63,128,127,False,candidate_available,0.9999995340074191,7.458352375699917e-07,0.9999996292538733
8,map,0.05,1.7,17,True,True,True,True,True,63,127,127,False,candidate_available,0.9999998820950528,2.10947751488888e-07,0.999999902989596
8,map,0.05,1.8,17,True,True,True,True,True,63,128,127,False,candidate_available,0.9999993521254954,1.1576254594913848e-06,0.9999996165429021
8,map,0.05,1.9,18,True,True,True,True,True,63,127,95,False,candidate_available,0.999999630430155,7.244031419162411e-07,0.9999997337569713
8,map,0.05,2.0,17,True,True,True,True,True,63,125,95,False,candidate_available,0.9999996300035443,6.975822421928513e-07,0.9999997316026433
8,map,0.1,0.1,14,True,True,True,True,True,31,70,63,False,candidate_available,0.9999998326123712,6.886315362386597e-08,0.9999999765246199
8,map,0.1,0.2,14,True,True,True,True,True,31,122,96,False,candidate_available,0.9999973756327548,9.476851982048728e-07,0.9999989812411958
8,map,0.1,0.3,13,True,True,True,True,True,63,108,108,False,candidate_available,0.9999999675108295,2.7666933299919094e-08,0.9999999926710589
8,map,0.1,0.4,15,True,True,True,True,True,96,126,126,False,candidate_available,0.9999998817474062,9.763931130279957e-08,0.9999999605443486
8,map,0.1,0.5,15,True,True,True,True,True,95,128,127,False,candidate_available,0.9999992905377341,5.52124852837288e-07,0.9999999405876514
8,map,0.1,0.6,18,True,True,True,True,True,95,128,127,False,candidate_available,0.9999976946231741,1.737129066148313e-06,0.9999998726844568
8,map,0.1,0.7,17,True,True,True,True,True,95,128,127,False,candidate_available,0.9999969308083281,2.2174384088913257e-06,0.9999993426266072
8,map,0.1,0.8,17,True,True,True,True,True,95,128,128,False,candidate_available,0.9999979428360178,1.5556631036695023e-06,0.9999993469666666
8,map,0.1,0.9,17,True,True,True,True,True,96,128,128,False,candidate_available,0.9999984629547383,1.4618102184282833e-06,0.9999990820635527
8,map,0.1,1.0,17,True,True,True,True,True,95,128,128,False,candidate_available,0.9999975585983845,2.4131152716044824e-06,0.9999988534638437
8,map,0.1,1.1,16,True,True,True,True,True,96,128,128,False,candidate_available,0.9999958005273908,4.677824930299224e-06,0.9999971232339687
8,map,0.1,1.2,17,True,True,True,True,True,96,128,128,False,candidate_available,0.9999993488929809,7.698875668094018e-07,0.9999996160596163
8,map,0.1,1.3,17,True,True,True,True,True,64,128,127,False,candidate_available,0.9999986334984988,1.7453302598724463e-06,0.9999994155531285
8,map,0.1,1.4,18,True,True,True,True,True,63,128,127,False,candidate_available,0.9999988114166064,1.6292589877231478e-06,0.9999991956624067
8,map,0.1,1.5,18,True,True,True,True,True,63,125,125,False,candidate_available,0.9999998808069632,1.8346678620773105e-07,0.9999999330034297
8,map,0.1,1.6,17,True,True,True,True,True,63,127,127,False,candidate_available,0.9999996606228819,5.166417889057584e-07,0.9999997982786737
8,map,0.1,1.7,17,True,True,True,True,True,63,112,112,False,candidate_available,0.9999999089778963,1.612965576658354e-07,0.9999999280345088
8,map,0.1,1.8,17,True,True,True,True,True,63,128,96,False,candidate_available,0.999999548364889,7.806733219872797e-07,0.9999997547134094
8,map,0.1,1.9,18,True,True,True,True,True,63,127,95,False,candidate_available,0.9999998121339758,3.287425323073023e-07,0.9999998887869889
8,map,0.1,2.0,17,True,True,True,True,True,63,106,95,False,candidate_available,0.9999999476353649,1.0193739896635634e-07,0.999999972208878
8,map,0.15,0.1,14,True,True,True,True,True,31,86,63,False,candidate_available,0.9999996890012117,1.1659687648712946e-07,0.9999999571272125
8,map,0.15,0.2,15,True,True,True,True,True,31,114,96,False,candidate_available,0.9999995532029475,1.754486174121439e-07,0.9999995898446986
8,map,0.15,0.3,15,True,True,True,True,True,63,120,96,False,candidate_available,0.9999991274298454,4.239090444224658e-07,0.9999994066588627
8,map,0.15,0.4,15,True,True,True,True,True,96,128,127,False,candidate_available,0.9999991800158299,6.191251523679497e-07,0.9999999328445499
8,map,0.15,0.5,15,True,True,True,True,True,96,128,128,False,candidate_available,0.9999982587417532,1.224370749897119e-06,0.999999441971858
8,map,0.15,0.6,15,True,True,True,True,True,96,128,128,False,candidate_available,0.9999954242993399,3.195777809161804e-06,0.9999982895489734
8,map,0.15,0.7,16,True,True,True,True,True,127,128,127,False,candidate_available,0.9999893823224169,7.16665533095906e-06,0.9999979996653494
8,map,0.15,0.8,17,True,True,True,True,True,96,128,128,False,candidate_available,0.9999927217772899,6.235883936112074e-06,0.9999957373001033
8,map,0.15,0.9,15,True,True,True,True,True,127,128,127,False,candidate_available,0.9999942097933304,5.50759751205554e-06,0.999996584203002
8,map,0.15,1.0,17,True,True,True,True,True,95,127,127,False,candidate_available,0.999999111238994,8.880780846265424e-07,0.9999993596620114
8,map,0.15,1.1,17,True,True,True,True,True,96,128,127,False,candidate_available,0.9999992780576619,7.654681386526363e-07,0.9999997010485919
8,map,0.15,1.2,16,True,True,True,True,True,64,128,128,False,candidate_available,0.9999998956549948,1.303190351187311e-07,0.9999999317212327
8,map,0.15,1.3,14,True,True,True,True,True,63,128,127,False,candidate_available,0.9999987845819276,1.4737929916464054e-06,0.9999992913200823
8,map,0.15,1.4,18,True,True,True,True,True,63,128,127,False,candidate_available,0.999999561387865,5.970541840927268e-07,0.9999998637513462
8,map,0.15,1.5,17,True,True,True,True,True,64,100,95,False,candidate_available,0.9999998462241827,2.233342313306963e-07,0.9999999562279166
8,map,0.15,1.6,17,True,True,True,True,True,63,116,95,False,candidate_available,0.9999999683716234,5.1036306292218114e-08,0.9999999769508894
8,map,0.15,1.7,17,True,True,True,True,True,63,101,95,False,candidate_available,0.9999999577132057,7.216025599277032e-08,0.9999999658513725
8,map,0.15,1.8,16,True,True,True,True,True,32,112,63,False,candidate_available,0.999999513317312,6.697587946469241e-07,0.9999996937665994
8,map,0.15,1.9,15,True,True,True,True,True,32,108,64,False,candidate_available,0.9999992177539128,7.371293850866323e-07,0.9999997822738365
8,map,0.15,2.0,16,True,True,True,True,True,32,103,63,False,candidate_available,0.9999995439914755,5.187851326304838e-07,0.9999998150900541
8,map,0.2,0.1,14,True,True,True,True,True,31,94,63,False,candidate_available,0.9999993721477032,2.0830386060488593e-07,0.9999999208113269
8,map,0.2,0.2,15,True,True,True,True,True,31,116,116,False,candidate_available,0.9999999622711314,2.8570370513847365e-08,0.9999999890519415
8,map,0.2,0.3,18,True,True,True,True,True,64,126,126,False,candidate_available,0.9999997384919832,1.8748831220882778e-07,0.9999998979628134
8,map,0.2,0.4,15,True,True,True,True,True,95,128,128,False,candidate_available,0.9999984665250162,9.835627000631675e-07,0.9999995561619845
8,map,0.2,0.5,17,True,True,True,True,True,96,128,128,False,candidate_available,0.9999948975489239,3.340617511948807e-06,0.9999980134112822
8,map,0.2,0.6,16,True,True,True,True,True,96,128,128,False,candidate_available,0.9999883492066138,7.097010297552053e-06,0.9999968774492644
