task,rule,n,total,joint_pass,observable_pass,state_pass,cnots_quantiles,fidelity_quantiles,delta_e_quantiles,optimizer_success,selection_unresolved,candidate_available,reoptimization_triggered
map,S0,8,420,385,388,411,"[31.0, 64.0, 96.0, 127.0, 128.0]","[0.4999910230916483, 0.9997132128639704, 0.9999187878002971, 0.9999631955811017, 0.9999999999803255]","[1.3098189199922672e-11, 3.59843424275752e-05, 7.750513249193958e-05, 0.00019301226387868908, 0.00357733346989364]",340,0,388,2
map,S1,8,420,388,388,414,"[32.0, 127.0, 128.0, 128.0, 128.0]","[0.9431872246435742, 0.9998120868940904, 0.9999883531851304, 0.999999426320751, 0.9999999999837337]","[8.987477428945567e-12, 7.456398057881231e-07, 1.205782754531981e-05, 0.00015708766050043232, 0.00357733346989364]",214,0,388,2
map,S2,8,420,388,388,414,"[32.0, 127.0, 128.0, 128.0, 128.0]","[0.0013923976335195923, 0.9998120868940904, 0.9999882286470487, 0.9999990034031216, 0.9999999999837337]","[8.987477428945567e-12, 1.0830205192657871e-06, 1.205782754531981e-05, 0.00015708766050043232, 0.04090673319263516]",227,0,388,2
map,B5,8,420,388,388,414,"[32.0, 127.0, 128.0, 128.0, 128.0]","[0.0013923976335195923, 0.9998120868940904, 0.9999882286470487, 0.9999990034031216, 0.9999999999837337]","[8.987477428945567e-12, 1.0830205192657871e-06, 1.205782754531981e-05, 0.00015708766050043232, 0.04090673319263516]",227,0,388,2
test,S0,8,72,60,60,65,"[31.0, 64.0, 96.0, 128.0, 128.0]","[0.9220612561417832, 0.9990222098471336, 0.9998601741102361, 0.9999518823908493, 0.999994145537423]","[2.104481404141545e-06, 4.0604075940448014e-05, 0.00010780304714474997, 0.00046545936450737013, 0.003998003438185016]",51,0,62,2
test,S1,8,72,62,62,65,"[70.0, 127.75, 128.0, 128.0, 128.0]","[0.9220612561417832, 0.9990237607726528, 0.9999508582753238, 0.9999981039513086, 0.9999999979975804]","[1.7792554096729418e-09, 2.293862727625884e-06, 4.629437355063715e-05, 0.00042111413588177826, 0.003998003438185016]",34,0,62,2
test,S2,8,72,62,62,65,"[31.0, 127.0, 128.0, 128.0, 128.0]","[0.012919019756007434, 0.9990237607726528, 0.9999508582753238, 0.9999981039513086, 0.9999999371127127]","[4.667418385118083e-08, 2.293862727625884e-06, 4.629437355063715e-05, 0.00042111413588177826, 0.026545014696433555]",33,0,62,2
test,B5,8,72,62,62,65,"[31.0, 127.0, 128.0, 128.0, 128.0]","[0.012919019756007434, 0.9990237607726528, 0.9999508582753238, 0.9999981039513086, 0.9999999371127127]","[4.667418385118083e-08, 2.293862727625884e-06, 4.629437355063715e-05, 0.00042111413588177826, 0.026545014696433555]",33,0,62,2
n12test,S0,12,24,10,11,17,"[63.0, 127.0, 128.0, 128.0, 128.0]","[0.4997067748444765, 0.9794102710681307, 0.9981709748299377, 0.9994589687869833, 0.9999874251603607]","[7.880272286264756e-06, 0.0001902904671499117, 0.0005635807296921296, 0.002256952881397415, 0.010788306187516547]",20,0,11,5
n12test,S1,12,24,9,11,16,"[127.0, 128.0, 128.0, 128.0, 128.0]","[0.4997067748444765, 0.9468150986360496, 0.9977648120647487, 0.9993025114196846, 0.9999991629799305]","[4.778196673882462e-07, 0.00018462812369487064, 0.0005635807296921296, 0.002256952881397415, 0.010788306187516547]",20,0,11,5
