cohort,mode,budget,p,method,requested_points,points,MSE_ED_mean,MSE_ED_median,MSE_ED_q10,MSE_ED_q90,MSE_own_clean,bias_squared,sampling_MSE,physical_labelled_points,correct_coordinate_equivalents,wrong_coordinate_equivalents,rejected_coordinate_equivalents,shots_all32,CNOT_shots_all32,one_qubit_gate_shots_all32
representatives,equal_shots,100000,0,raw,12,12,0.00021317212718382315,3.130282629436692e-06,1.6876232293230396e-07,0.0006948227950166074,7.230313335151875e-07,0.00021246784957749083,7.2303133351518e-07,6,6.0,0.0,0.0,38400000,3206400000,4643200000
representatives,equal_shots,100000,0,zne_quadratic,12,12,0.00023408352523580627,1.783474717400041e-05,2.6205461224128277e-06,0.000707682434336812,1.1494192654361162e-05,0.00021246784957749075,1.149419265436115e-05,6,6.0,0.0,0.0,38400000,9619135872,4643196928
representatives,equal_shots,100000,0,sv,12,12,0.00021631503141767737,1.1208100396139099e-05,2.4547737633145203e-06,0.0006981517884923276,7.154445365733112e-06,0.0002124678495774909,7.154445365733113e-06,6,6.0,0.0,0.0,38400000,3206400000,4786557952
representatives,equal_shots,100000,0.01,raw,12,12,0.009620763264959172,0.008379216163659067,0.002967669820681383,0.017183261547565373,0.009318681722098014,0.00960267019945244,1.138676144640771e-06,6,6.0,0.0,0.0,38400000,3206400000,4643200000
representatives,equal_shots,100000,0.01,zne_quadratic,12,12,0.0012668931808051058,0.0002048503682081043,2.1484838076249105e-05,0.004042970207688219,0.0009439113018798799,0.001267425929169127,2.0798259499921527e-05,6,6.0,0.0,0.0,38400000,9619135872,4643196928
representatives,equal_shots,100000,0.01,sv,12,12,0.006539747516721609,0.004669432502319696,0.0018541279585945725,0.012842880222196103,0.006265772609199284,0.006508506794797593,2.3530233697839817e-05,6,6.0,0.0,0.0,38400000,3206400000,4786557952
representatives,equal_shots,100000,0.05,raw,12,12,0.07166348395864751,0.06303423749866707,0.0419416275446773,0.11928452595230156,0.07148239625910502,0.07166307387676396,1.4491027979300001e-06,6,4.0,0.0,2.0,38400000,3206400000,4643200000
representatives,equal_shots,100000,0.05,zne_quadratic,12,12,0.035220832006676674,0.02928555838427374,0.00851106931573217,0.06211107764929962,0.03498836897116101,0.03520874568752101,2.5445734481966184e-05,6,4.0625,0.0,1.9375,38400000,9619135872,4643196928
representatives,equal_shots,100000,0.05,sv,12,12,0.06364029013864149,0.06275627857029414,0.03317578814333609,0.0963164622428577,0.063462850706998,0.06358679500960464,5.086798989199932e-05,6,4.0,0.0,2.0,38400000,3206400000,4786557952
representatives,equal_gate,100000,0,raw,12,12,0.00021315465387987672,3.0164469420640106e-06,1.837983038069215e-07,0.0006953955865913808,6.967244975987426e-07,0.00021246784957749083,6.967244975987286e-07,6,6.0,0.0,0.0,38400000,3206400000,4643200000
representatives,equal_gate,100000,0,zne_quadratic,12,12,0.0002464961461308548,5.494259147308872e-05,7.384811208341603e-06,0.0007312338200915348,3.3530668752222794e-05,0.00021246784957749075,3.3530668752222794e-05,6,6.0,0.0,0.0,12800256,3206400000,1547761216
representatives,equal_gate,100000,0,sv,12,12,0.00021585711109839501,9.96850110291673e-06,2.2445218064556813e-06,0.0007050191487816901,6.496457262972339e-06,0.0002124678495774909,6.49645726297235e-06,6,6.0,0.0,0.0,38400000,3206400000,4786557952
representatives,equal_gate,100000,0.01,raw,12,12,0.009592152392635072,0.008325371138594589,0.0029654001054640004,0.017220221099349394,0.009294163265399873,0.00960267019945244,1.156195774093716e-06,6,6.0,0.0,0.0,38400000,3206400000,4643200000
representatives,equal_gate,100000,0.01,zne_quadratic,12,12,0.0013269851602054586,0.0002512906282601257,6.373349375096879e-05,0.004003225205932396,0.000992550255568315,0.001267425929169127,6.680611794892974e-05,6,6.0,0.0,0.0,12800256,3206400000,1547761216
representatives,equal_gate,100000,0.01,sv,12,12,0.006507605427817327,0.004732764079163329,0.00183665596827465,0.012837463309569485,0.006229712636348343,0.006508506794797593,2.4010767143380405e-05,6,6.0,0.0,0.0,38400000,3206400000,4786557952
representatives,equal_gate,100000,0.05,raw,12,12,0.07165183556543075,0.06296796714899053,0.04196618369616836,0.1195941792058681,0.07147161074240438,0.07166307387676396,1.5388793700531512e-06,6,4.0,0.0,2.0,38400000,3206400000,4643200000
representatives,equal_gate,100000,0.05,zne_quadratic,12,12,0.035268876825747676,0.02921661839613639,0.008543737865316207,0.06224849817329815,0.035040750737368315,0.03520874568752101,7.864947580904073e-05,6,4.25,0.0,1.75,12800256,3206400000,1547761216
representatives,equal_gate,100000,0.05,sv,12,12,0.06362540771759746,0.06280559601082061,0.033390983857447355,0.09719829229009022,0.06344054856235427,0.06358679500960464,4.4816795288657594e-05,6,4.0,0.0,2.0,38400000,3206400000,4786557952
