kappa,h,p,estimator,comparison,budget,equal_CNOT_shots_completed,zero_CNOT_control,actual_G,actual_shots,archive,sha256,scientific_fingerprint,disposition
0.0,0.2,0,raw,equal_shots,100000,False,False,3100000,100000,results/stage6_followup_v1/measurements/7014a69dce46344d6722e730795869c1e4bd1f8928a750be2b8efdce77b41ffd.npz,17ddddf460fd4b56ce2c6f0ff2930cdc3b37b1026c50c666c5149cee3dd59abb,7014a69dce46344d6722e730795869c1e4bd1f8928a750be2b8efdce77b41ffd,historical_reused
0.0,0.2,0,zne_quadratic,equal_shots,100000,False,False,9299938,100000,results/stage6_followup_v1/measurements/6599cc5271ebd1b0401caab5e50b5609d0f25356a3df17b66a8f0edfef5367bc.npz,a0657faa8bc9edc041ebe8aead8be75319c12d303778e9b0bb8e75f018cf14a4,6599cc5271ebd1b0401caab5e50b5609d0f25356a3df17b66a8f0edfef5367bc,historical_reused
0.0,0.2,0,sv,equal_shots,100000,False,False,3100000,100000,results/stage6_followup_v1/measurements/b51788fe9f9514dee9da07fbe6f3e42892f649c0c2b23aa6d2c2ec80c536d152.npz,a3a84f5223c7c986c1fef2b6c1eb0006ae8209bd327745858e40274f4fcf29fd,b51788fe9f9514dee9da07fbe6f3e42892f649c0c2b23aa6d2c2ec80c536d152,historical_reused
0.0,0.2,0.01,raw,equal_shots,100000,False,False,3100000,100000,results/stage6_followup_v1/measurements/3978c3c577e44e0e9cecae86d31ae5620d2d1eeb53b435ea6ff814c49ac2d353.npz,8ae5d861e742a894b09f242e5005716777c629ec5b535a4887fbf3179a80c46f,3978c3c577e44e0e9cecae86d31ae5620d2d1eeb53b435ea6ff814c49ac2d353,historical_reused
0.0,0.2,0.01,zne_quadratic,equal_shots,100000,False,False,9299938,100000,results/stage6_followup_v1/measurements/d92512e059ddea9d15064afa8695d7913ac48bd40ea6848cf747fe3bf295f211.npz,371939e381d86bd3c8a79fafc5e6c4a71305c482d9b5a07474027ad07c9fce56,d92512e059ddea9d15064afa8695d7913ac48bd40ea6848cf747fe3bf295f211,historical_reused
0.0,0.2,0.01,sv,equal_shots,100000,False,False,3100000,100000,results/stage6_followup_v1/measurements/846a7c634a9707e4457f52cdb29c96936d09462ad2001a8f0b204c65d3c288fe.npz,61cc20380d046fdc2acf57016ca1263fac06fa1dc35a894284ea7d43603a8a33,846a7c634a9707e4457f52cdb29c96936d09462ad2001a8f0b204c65d3c288fe,historical_reused
0.0,0.2,0.05,raw,equal_shots,100000,False,False,3100000,100000,results/stage6_followup_v1/measurements/97f5c619e6a42a2da83c573f045e70bcd87b950c0cadeadcb002f25888ceb251.npz,bbe3caab01bbe634566abbce544be63f4909a8d49c451861f3de5b2ff2ea9db8,97f5c619e6a42a2da83c573f045e70bcd87b950c0cadeadcb002f25888ceb251,historical_reused
0.0,0.2,0.05,zne_quadratic,equal_shots,100000,False,False,9299938,100000,results/stage6_followup_v1/measurements/9f517f1d5ed8399fd23a9ad9a3c04ae7bb044a6cab5116b4d33f00a09dee69e1.npz,62e118209173979219ea8864b42f230ad863ba4c6191f642d20608c941c2c22d,9f517f1d5ed8399fd23a9ad9a3c04ae7bb044a6cab5116b4d33f00a09dee69e1,historical_reused
0.0,0.2,0.05,sv,equal_shots,100000,False,False,3100000,100000,results/stage6_followup_v1/measurements/332481e42ae42c99a30fe68edacb708b4f16236c0cc803d7177846f9ce2a4670.npz,336abf035b7a748de18356e36b60cc8573c2e318c7d88598c4a825282c15ba42,332481e42ae42c99a30fe68edacb708b4f16236c0cc803d7177846f9ce2a4670,historical_reused
0.0,0.2,0,raw,equal_gate,100000,True,False,3100000,100000,results/stage6_followup_v1/measurements/4df9cdd6484441ea9df5bea1a11d1da917bb8555f04287c17ae7661b92b0ab72.npz,65e769e2eb63c854eb5bd2dcff133f5f6602dda405e25a83b79bbfc8983553af,4df9cdd6484441ea9df5bea1a11d1da917bb8555f04287c17ae7661b92b0ab72,newly_executed
0.0,0.2,0,zne_quadratic,equal_gate,100000,True,False,3100000,33334,results/stage6_followup_v1/measurements/7a01361417b09d618f9df2e4c27475499226beceefded6cf8b659b6cd07f7413.npz,ed65140a6b2681093f5494fabe7378099902e4b479ff4e65308f941e550eedae,7a01361417b09d618f9df2e4c27475499226beceefded6cf8b659b6cd07f7413,newly_executed
0.0,0.2,0,sv,equal_gate,100000,True,False,3100000,100000,results/stage6_followup_v1/measurements/2910261844ecb89700a453e986c6af142d7add306f428271f9b2dfec2d3b6894.npz,0aecb275059f973887be0c667e56dfec9994f2fde50a2a60383ce6cbf218fa20,2910261844ecb89700a453e986c6af142d7add306f428271f9b2dfec2d3b6894,newly_executed
0.0,0.2,0.01,raw,equal_gate,100000,True,False,3100000,100000,results/stage6_followup_v1/measurements/15a99055a38b930d72c358a52602fc57a6b926a08060f7a1671bc0d3afbafd31.npz,c830cdd70fa2116ab533ea3ba9aba9c3021dfeeb85de824e6a613fed0b741a08,15a99055a38b930d72c358a52602fc57a6b926a08060f7a1671bc0d3afbafd31,newly_executed
0.0,0.2,0.01,zne_quadratic,equal_gate,100000,True,False,3100000,33334,results/stage6_followup_v1/measurements/a3443c543d4712a2dd401437f9bd4c3ae90d4207e67c08084aed1deeb1ee82aa.npz,de40d7ce27928152b7f188f0d9f9dbae0e1a8ccf2621a20cf7b5ac752c353e6c,a3443c543d4712a2dd401437f9bd4c3ae90d4207e67c08084aed1deeb1ee82aa,newly_executed
0.0,0.2,0.01,sv,equal_gate,100000,True,False,3100000,100000,results/stage6_followup_v1/measurements/4959180082645801af978c69cac535a16baac836112e7d4541ae40c5acded83d.npz,6aefd61132dea265a5875e8556fdbfdd3a22c2bfbc002f7b6d092c969f6161e1,4959180082645801af978c69cac535a16baac836112e7d4541ae40c5acded83d,newly_executed
