kappa,mode,budget,p,method,repeat,frozen_rule_match,reference_resolvable,frozen_position_error,delta_h_ED,delta_h_noise,curve_audit_status,quality_supports_position,response_amplitude_ratio,reference_response_max,observed_response_max,response_rmse,all_preparation_joint_failures,branch_switches_in_window,delta_h_noise_finite_p0,finite_p0_resolvable,finite_p0_curve_issues,noise_shift_scope
0.0,equal_shots,10000,0,raw,-1,False,True,0.0,,,"[""competing_peaks""]",False,1.020563588318259,0.969475690070606,0.989411589045778,0.014016994939945876,0,10,,,,
0.0,equal_shots,10000,0,raw,0,True,True,0.0,0.0,,[],True,2.566335623968872,0.969475690070606,2.4880000000000013,0.7749103837305569,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,1,False,True,0.0625,0.0625,,[],True,2.2022212850375626,0.969475690070606,2.134999999999968,0.6267757055382447,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,2,True,True,0.025000000000000022,0.025000000000000022,,[],True,1.8102568408622879,0.969475690070606,1.7550000000000017,0.44728228824939653,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,3,False,True,0.04999999999999982,,,"[""endpoint_dominated"", ""competing_peaks""]",False,2.0299632266763448,0.969475690070606,1.9680000000000033,0.4055844607775129,0,10,,False,"[""endpoint_dominated"", ""competing_peaks""]",delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,4,True,True,0.03750000000000009,0.03750000000000009,,[],True,2.0495614488851106,0.969475690070606,1.9870000000000037,0.7149465732620706,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,5,False,True,-0.050000000000000044,-0.050000000000000044,,[],True,2.7004287232919797,0.969475690070606,2.6179999999999777,0.6251249368622463,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,6,True,True,0.03750000000000009,0.03750000000000009,,[],True,1.748367718097781,0.969475690070606,1.695000000000017,0.3834751090698749,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,7,False,True,-0.0625,,,"[""competing_peaks""]",False,1.5946763965658837,0.969475690070606,1.5460000000000174,0.3481769007427389,0,10,,False,"[""competing_peaks""]",delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,8,False,True,0.07500000000000018,0.07500000000000018,,[],True,1.9257832033560696,0.969475690070606,1.8670000000000075,0.5787036992013741,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,9,False,True,0.07500000000000018,0.07500000000000018,,[],True,1.897933098112044,0.969475690070606,1.840000000000017,0.5084897816885393,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,10,True,True,0.04999999999999982,0.04999999999999982,,[],True,2.124859881581945,0.969475690070606,2.0600000000000023,0.6385527196735092,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,11,False,True,0.0625,0.0625,,[],True,1.5049371685572972,0.969475690070606,1.4589999999999896,0.26291699959005876,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,12,True,True,0.03750000000000009,0.03750000000000009,,[],True,1.9247517179766722,0.969475690070606,1.8660000000000188,0.4990869504825798,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,13,True,True,0.03750000000000009,0.03750000000000009,,[],True,2.0578133319203884,0.969475690070606,1.9950000000000117,0.6233690890298871,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,14,False,True,0.07500000000000018,0.07500000000000018,,[],True,2.014490945985232,0.969475690070606,1.9530000000000205,0.6007574956307283,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,15,False,True,0.08749999999999991,0.08749999999999991,,[],True,1.9752945015676915,0.969475690070606,1.9150000000000114,0.4242839048237713,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,16,False,True,0.0,,,"[""competing_peaks""]",False,2.496194618169087,0.969475690070606,2.4200000000000084,0.7275883343911126,0,10,,False,"[""competing_peaks""]",delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,17,True,True,0.0,0.0,,[],True,2.241417729455151,0.969475690070606,2.1730000000000236,0.7982572214577373,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,18,True,True,0.012499999999999956,0.012499999999999956,,[],True,1.9216572618384087,0.969475690070606,1.8629999999999824,0.45149543261474084,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,19,True,True,0.025000000000000022,0.025000000000000022,,[],True,2.5065094719631866,0.969475690070606,2.4300000000000206,0.6377237575910609,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,20,False,True,0.07500000000000018,0.07500000000000018,,[],True,1.892775671214985,0.969475690070606,1.835000000000002,0.44743237634133093,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,21,False,True,0.08749999999999991,0.08749999999999991,,[],True,2.683924957221457,0.969475690070606,2.6019999999999937,0.6611165845815207,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,22,True,True,0.04999999999999982,0.04999999999999982,,[],True,3.392555412875268,0.969475690070606,3.28900000000002,1.0176281583944904,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,23,False,True,0.04999999999999982,,,"[""competing_peaks""]",False,1.426544279722252,0.969475690070606,1.3830000000000058,0.30695868359668427,0,10,,False,"[""competing_peaks""]",delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,24,False,True,0.07500000000000018,,,"[""competing_peaks""]",False,1.7648714841683186,0.969475690070606,1.7110000000000152,0.5570234376771924,0,10,,False,"[""competing_peaks""]",delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,25,True,True,0.025000000000000022,0.025000000000000022,,[],True,2.160961869861258,0.969475690070606,2.09500000000001,0.640116497273588,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,26,True,True,0.03750000000000009,0.03750000000000009,,[],True,1.7762178233417973,0.969475690070606,1.7219999999999986,0.52091746740917,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,27,True,True,0.012499999999999956,0.012499999999999956,,[],True,2.330125472084257,0.969475690070606,2.2589999999999812,0.636520597184254,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,28,True,True,0.012499999999999956,0.012499999999999956,,[],True,2.0155224313645927,0.969475690070606,1.9539999999999742,0.46400749230093524,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,29,False,True,0.08749999999999991,0.08749999999999991,,[],True,1.810256840862306,0.969475690070606,1.7550000000000194,0.5994564016706495,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
0.0,equal_shots,10000,0,raw,30,False,True,0.08749999999999991,0.08749999999999991,,[],True,2.425022126989887,0.969475690070606,2.3510000000000093,0.6859046926658257,0,10,0.0,True,[],delta_h_noise uses exact clean circuit; delta_h_noise_finite_p0 uses same-estimator/budget/repeat finite p0. Both guarded by named-feature resolution and curve audit; no failed repeats removed.
