p,method,budget,requested_windows,reference_resolvable,old_complete_windows,new_complete_windows,old_matched_window_equivalents,new_matched_window_equivalents,reason
0,raw,10000,6,5,3,6,2.65625,3.71875,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0,zne_quadratic,10000,6,5,3,6,2.625,3.75,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0,sv,10000,6,5,3,6,2.75,3.84375,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0.01,raw,10000,6,5,3,6,2.96875,3.03125,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0.01,zne_quadratic,10000,6,5,3,6,2.75,3.53125,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0.01,sv,10000,6,5,3,6,2.65625,3.34375,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0.05,raw,10000,6,5,3,6,2.75,2.78125,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0.05,zne_quadratic,10000,6,5,3,6,2.75,3.0,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0.05,sv,10000,6,5,3,6,2.6875,3.1875,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0,raw,100000,6,5,3,6,2.9375,4.21875,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0,zne_quadratic,100000,6,5,3,6,2.8125,4.03125,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0,sv,100000,6,5,3,6,2.78125,3.96875,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0.01,raw,100000,6,5,3,6,3.0,3.0,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0.01,zne_quadratic,100000,6,5,3,6,2.9375,3.34375,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0.01,sv,100000,6,5,3,6,2.78125,2.90625,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0.05,raw,100000,6,5,3,6,2.96875,2.96875,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0.05,zne_quadratic,100000,6,5,3,6,2.875,2.875,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
0.05,sv,100000,6,5,3,6,2.625,2.6875,New execution for three missing windows; frozen matching protocol unchanged. The new secondary audit is not a retroactive historical rule.
