kappa,mode,budget,p,method,points,repeats,shots_one_window,G_one_window,shots_all32,G_all32,scope
0.0,equal_shots,10000,0,raw,17,32,170000,16580000,5440000,530560000,One p; sum over all3p for complete campaign
0.0,equal_shots,10000,0,zne_quadratic,17,32,170000,49736684,5440000,1591573888,One p; sum over all3p for complete campaign
0.0,equal_shots,10000,0,sv,17,32,170000,16580000,5440000,530560000,One p; sum over all3p for complete campaign
0.0,equal_shots,10000,0.01,raw,17,32,170000,16580000,5440000,530560000,One p; sum over all3p for complete campaign
0.0,equal_shots,10000,0.01,zne_quadratic,17,32,170000,49736684,5440000,1591573888,One p; sum over all3p for complete campaign
0.0,equal_shots,10000,0.01,sv,17,32,170000,16580000,5440000,530560000,One p; sum over all3p for complete campaign
0.0,equal_shots,10000,0.05,raw,17,32,170000,16580000,5440000,530560000,One p; sum over all3p for complete campaign
0.0,equal_shots,10000,0.05,zne_quadratic,17,32,170000,49736684,5440000,1591573888,One p; sum over all3p for complete campaign
0.0,equal_shots,10000,0.05,sv,17,32,170000,16580000,5440000,530560000,One p; sum over all3p for complete campaign
0.0,equal_shots,100000,0,raw,17,32,1700000,165800000,54400000,5305600000,One p; sum over all3p for complete campaign
0.0,equal_shots,100000,0,zne_quadratic,17,32,1700000,497396684,54400000,15916693888,One p; sum over all3p for complete campaign
0.0,equal_shots,100000,0,sv,17,32,1700000,165800000,54400000,5305600000,One p; sum over all3p for complete campaign
0.0,equal_shots,100000,0.01,raw,17,32,1700000,165800000,54400000,5305600000,One p; sum over all3p for complete campaign
0.0,equal_shots,100000,0.01,zne_quadratic,17,32,1700000,497396684,54400000,15916693888,One p; sum over all3p for complete campaign
0.0,equal_shots,100000,0.01,sv,17,32,1700000,165800000,54400000,5305600000,One p; sum over all3p for complete campaign
0.0,equal_shots,100000,0.05,raw,17,32,1700000,165800000,54400000,5305600000,One p; sum over all3p for complete campaign
0.0,equal_shots,100000,0.05,zne_quadratic,17,32,1700000,497396684,54400000,15916693888,One p; sum over all3p for complete campaign
0.0,equal_shots,100000,0.05,sv,17,32,1700000,165800000,54400000,5305600000,One p; sum over all3p for complete campaign
0.0,equal_gate,100000,0,raw,17,32,1700000,165800000,54400000,5305600000,One p; sum over all3p for complete campaign
0.0,equal_gate,100000,0,zne_quadratic,17,32,566678,165800000,18133696,5305600000,One p; sum over all3p for complete campaign
0.0,equal_gate,100000,0,sv,17,32,1700000,165800000,54400000,5305600000,One p; sum over all3p for complete campaign
0.0,equal_gate,100000,0.01,raw,17,32,1700000,165800000,54400000,5305600000,One p; sum over all3p for complete campaign
0.0,equal_gate,100000,0.01,zne_quadratic,17,32,566678,165800000,18133696,5305600000,One p; sum over all3p for complete campaign
0.0,equal_gate,100000,0.01,sv,17,32,1700000,165800000,54400000,5305600000,One p; sum over all3p for complete campaign
0.0,equal_gate,100000,0.05,raw,17,32,1700000,165800000,54400000,5305600000,One p; sum over all3p for complete campaign
0.0,equal_gate,100000,0.05,zne_quadratic,17,32,566678,165800000,18133696,5305600000,One p; sum over all3p for complete campaign
0.0,equal_gate,100000,0.05,sv,17,32,1700000,165800000,54400000,5305600000,One p; sum over all3p for complete campaign
0.0,equal_gate,300000,0,raw,17,32,5099966,497396684,163198912,15916693888,One p; sum over all3p for complete campaign
0.0,equal_gate,300000,0,zne_quadratic,17,32,1700000,497396684,54400000,15916693888,One p; sum over all3p for complete campaign
0.0,equal_gate,300000,0,sv,17,32,5099966,497396684,163198912,15916693888,One p; sum over all3p for complete campaign
0.0,equal_gate,300000,0.01,raw,17,32,5099966,497396684,163198912,15916693888,One p; sum over all3p for complete campaign
0.0,equal_gate,300000,0.01,zne_quadratic,17,32,1700000,497396684,54400000,15916693888,One p; sum over all3p for complete campaign
0.0,equal_gate,300000,0.01,sv,17,32,5099966,497396684,163198912,15916693888,One p; sum over all3p for complete campaign
0.0,equal_gate,300000,0.05,raw,17,32,5099966,497396684,163198912,15916693888,One p; sum over all3p for complete campaign
0.0,equal_gate,300000,0.05,zne_quadratic,17,32,1700000,497396684,54400000,15916693888,One p; sum over all3p for complete campaign
0.0,equal_gate,300000,0.05,sv,17,32,5099966,497396684,163198912,15916693888,One p; sum over all3p for complete campaign
0.3,equal_shots,10000,0,raw,17,32,170000,15920000,5440000,509440000,One p; sum over all3p for complete campaign
0.3,equal_shots,10000,0,zne_quadratic,17,32,170000,47756816,5440000,1528218112,One p; sum over all3p for complete campaign
0.3,equal_shots,10000,0,sv,17,32,170000,15920000,5440000,509440000,One p; sum over all3p for complete campaign
0.3,equal_shots,10000,0.01,raw,17,32,170000,15920000,5440000,509440000,One p; sum over all3p for complete campaign
0.3,equal_shots,10000,0.01,zne_quadratic,17,32,170000,47756816,5440000,1528218112,One p; sum over all3p for complete campaign
0.3,equal_shots,10000,0.01,sv,17,32,170000,15920000,5440000,509440000,One p; sum over all3p for complete campaign
0.3,equal_shots,10000,0.05,raw,17,32,170000,15920000,5440000,509440000,One p; sum over all3p for complete campaign
0.3,equal_shots,10000,0.05,zne_quadratic,17,32,170000,47756816,5440000,1528218112,One p; sum over all3p for complete campaign
