kappa,h,reference_resolvable,registered_grid_sha,parameter_source,completed,missing
0.0,0.875,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/88c063317cdb49927a3123e251bdf87919d174faa60d57fcf60d54800a832672.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,0.8875,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/6dd5b7e849e33ce6256b74ffe632e8a2da1f1e52d73e8a035e2481791cc299ab.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,0.9,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/352c971597ab2bb7c6e09b20dbb97c621afff845e000d068371ea39dd9507965.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,0.9125,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/a9c29daabee149cdac17bb1bebe8f965897854dffd00e6fb2ad6fbbb7596ac2b.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,0.925,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/5c9bcaa86baf87baeea0bdeb4fd88c1c351b1f7a20452c648c7186d345bae89b.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,0.9375,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/039c3f5adce547a63b86c970bd54c26aa31306a1f4429ebca4f1720747748d10.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,0.95,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/ff7dcf76f59998aec9cb33694346ca3cbc66c212c9dd86bdf5a1171ecb2e719e.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,0.9625,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/e59562d5d8b51421208ba227b43a5d19c6d48d873680d9968696745512a0541f.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,0.975,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/a563febacfa9b91237395a6940c7b53c32c960f54fa73284d9ceb06b232d75b1.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,0.9875,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/def40c4bbf3408e8135018812b5422ce7608575fbd7d0b8e122efc28d90ed84f.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,1.0,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/83cb3d8f392bbc07eadd214819f619eff372837d7c18531cca86960a59eb7bf8.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,1.0125,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/409d344c63891499ed14081aeb3bd5872ae76a2ed6686d51996881cb799e5b76.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,1.025,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/a5b2100176890bd3d4cfb244379df1ca9fb1cf2ff328d0b5363d45a5c1f04b74.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,1.0375,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/10909ea6df4895177116f0094e332a17522db63fb63938de357f7c2ece4b4d0b.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,1.05,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/4ee59cede345d87efadd873f1ecd3f29b78490ac6284584ee7755dd6aca2f767.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,1.0625,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/38b4dbaf2f6e416594fb6045a4907b38a40da81bc57334dc3f4e9976df2e8913.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.0,1.075,True,f8082def2d62179064b9573e205702ffa08064f33c5794f0c2a76a5475f41c3b,results/stage6_v1/legacy_b3/adaptive/cache/093daee6454b027170a5bae21ed8740505d6d64cda6140a5108a4704a7ddb764.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.3,0.375,True,2fd190996019928c13ad8c51a77c91ac995fe73f5ee9d47c48c92ca538b1b414,results/stage6_v1/legacy_b3/adaptive/cache/509ac9f4d8afe7953f95fde3f0523371bc6b1211908da22a0773d16601bb8a20.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.3,0.3875,True,2fd190996019928c13ad8c51a77c91ac995fe73f5ee9d47c48c92ca538b1b414,results/stage6_v1/legacy_b3/adaptive/cache/f9f6c7ac5a31115a26ee084ff9b74a82487f0490b2c1edd000522e6af0927291.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.3,0.4,True,2fd190996019928c13ad8c51a77c91ac995fe73f5ee9d47c48c92ca538b1b414,results/stage6_v1/legacy_b3/adaptive/cache/e14d679a7dc25a73fc24585af98ad50c2a5a0f24bc3b0ae435d0fcf43757930d.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.3,0.4125,True,2fd190996019928c13ad8c51a77c91ac995fe73f5ee9d47c48c92ca538b1b414,results/stage6_v1/legacy_b3/adaptive/cache/0480983902a460ea6fe1316f2318cd6d462f69f8aeef78ecb2f8d4b07f3e33af.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.3,0.425,True,2fd190996019928c13ad8c51a77c91ac995fe73f5ee9d47c48c92ca538b1b414,results/stage6_v1/legacy_b3/adaptive/cache/ec953a4106e87f5e0452a47b6893efb014943cedaf1c973b1d6d257ac16e50bf.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.3,0.4375,True,2fd190996019928c13ad8c51a77c91ac995fe73f5ee9d47c48c92ca538b1b414,results/stage6_v1/legacy_b3/adaptive/cache/dca37b28829fcaadbc74ffda13f85deb4250553dfec6e4e838087cf4103ccc8e.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.3,0.45,True,2fd190996019928c13ad8c51a77c91ac995fe73f5ee9d47c48c92ca538b1b414,results/stage6_v1/legacy_b3/adaptive/cache/2e1211c8158706451b22b12871f917e7e650978f2d3b168883926b7f0ed00172.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.3,0.4625,True,2fd190996019928c13ad8c51a77c91ac995fe73f5ee9d47c48c92ca538b1b414,results/stage6_v1/legacy_b3/adaptive/cache/48f10dac5aefaab581973a3ee851233907eb17f8569ef901ee202de745db85b8.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.3,0.475,True,2fd190996019928c13ad8c51a77c91ac995fe73f5ee9d47c48c92ca538b1b414,results/stage6_v1/legacy_b3/adaptive/cache/f571f5fe08d447d20f613dc4eec9df5bfe5f2d1a472c70d8a9f8511579b0fab9.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.3,0.4875,True,2fd190996019928c13ad8c51a77c91ac995fe73f5ee9d47c48c92ca538b1b414,results/stage6_v1/legacy_b3/adaptive/cache/8467bcc2e954cde72596d42e55a681baa1e2b5f64f3016f4491114c265b503db.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.3,0.5,True,2fd190996019928c13ad8c51a77c91ac995fe73f5ee9d47c48c92ca538b1b414,results/stage6_v1/legacy_b3/adaptive/cache/92d4006dfe874297edc7a86979571ad76a32dcb093b21030c29203d7a99dfd8e.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.3,0.5125,True,2fd190996019928c13ad8c51a77c91ac995fe73f5ee9d47c48c92ca538b1b414,results/stage6_v1/legacy_b3/adaptive/cache/09b0b53e2c24a27769939feb504abd0f82c4ab313b2c839a137665b6ebf145e7.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.3,0.525,True,2fd190996019928c13ad8c51a77c91ac995fe73f5ee9d47c48c92ca538b1b414,results/stage6_v1/legacy_b3/adaptive/cache/ecd8f72e2615a8dd2e0fe2d9bc64e80c7127717dd334340690db274e946414c6.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
