kappa,h,reference_resolvable,parameter_source,parameter_source_sha,gate_hash,complete,historical_reused,newly_executed,combination_count,methods,p,budgets
0.0,0.875,True,results/stage6_v1/legacy_b3/adaptive/cache/88c063317cdb49927a3123e251bdf87919d174faa60d57fcf60d54800a832672.npz,75915a454556aabcd5e44a92fec08f91cea5afbb5ade6b727a0c585d8f2b93bb,0736b08c0f9b8eea15762f7e8b8d6d5f3c6af459991677cd82b031bd6f3063c3,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.0,0.8875,True,results/stage6_v1/legacy_b3/adaptive/cache/6dd5b7e849e33ce6256b74ffe632e8a2da1f1e52d73e8a035e2481791cc299ab.npz,2c76cfad925be523c07a39d3b2554417526ec8a3320342029bee11aa3f474771,e7b4864aaf9fd94b2a5a170a551f8b94cac0272a0ed40dc96d90ca737b71c685,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.0,0.9,True,results/stage6_v1/legacy_b3/adaptive/cache/352c971597ab2bb7c6e09b20dbb97c621afff845e000d068371ea39dd9507965.npz,634d07206c7df9ff24a915cf21514db12f97e779409793d23c51aa2c09ec976a,263b5515329bcc9447e1822bc4217b6e1841dcbcc4a551ada9c05052c1b2bd14,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.0,0.9125,True,results/stage6_v1/legacy_b3/adaptive/cache/a9c29daabee149cdac17bb1bebe8f965897854dffd00e6fb2ad6fbbb7596ac2b.npz,93dbafc64eb9967908286500cc01b1bb46e7e85fc2f3c8067a9a8e0585ee7d47,1cfa80c695d6f7a7acb56049ef0cffc64f1c1aca2defbef4061b39d2bb3342f0,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.0,0.925,True,results/stage6_v1/legacy_b3/adaptive/cache/5c9bcaa86baf87baeea0bdeb4fd88c1c351b1f7a20452c648c7186d345bae89b.npz,fc39f47683e2fb3c350e0f5ae77c71f240bdc198f32d0a3be13d72ec2be39277,0a5928a5f9dbfe8bac9a4ae445e9d7bc9493308d95c2cd1caba58d44fac10ef3,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.0,0.9375,True,results/stage6_v1/legacy_b3/adaptive/cache/039c3f5adce547a63b86c970bd54c26aa31306a1f4429ebca4f1720747748d10.npz,3b5682f9deceb007762bafbdbed6a5ca0266d58e82c21d8b65aada61c57c2c07,98abf9ed3ab93489f346409cc5259bf6fcc3e807c85e0dbb1ca41f0e8a0404e6,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.0,0.95,True,results/stage6_v1/legacy_b3/adaptive/cache/ff7dcf76f59998aec9cb33694346ca3cbc66c212c9dd86bdf5a1171ecb2e719e.npz,3dfb0cb88f873d43db6988e153f9616eb22e4754e37d5c47ab94fcc353c4e3ca,6fc88ce022032992647219182b774d9b558e35410a7fbbfb39b079b2fb8363d1,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.0,0.9625,True,results/stage6_v1/legacy_b3/adaptive/cache/e59562d5d8b51421208ba227b43a5d19c6d48d873680d9968696745512a0541f.npz,a538d4ca286edad9ad78466226fe019a8a1ac37e3116bf9ac6b1c7a4d28663c6,300fcfca643e802762eb815a897054311b884849f1b256b72db54be445664a96,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.0,0.975,True,results/stage6_v1/legacy_b3/adaptive/cache/a563febacfa9b91237395a6940c7b53c32c960f54fa73284d9ceb06b232d75b1.npz,1f0a1b6b6a832632bfc4bca8d55205988e42d96ee2773e953e121a02481ac5c2,d916cbda46c5ebbd5cc096e07c595f6fef8e3af9d0b0c571b805db2b36556e6e,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.0,0.9875,True,results/stage6_v1/legacy_b3/adaptive/cache/def40c4bbf3408e8135018812b5422ce7608575fbd7d0b8e122efc28d90ed84f.npz,1e1dfbbc72d1edcac88100d94fb53eccd2ab249c6485a5033ea5ec84510eae9a,2afa26ce2c8e3bcfa08601cd502e609373e16960eb2862f14133ee05754c2260,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
