task,n,kappa,h,region,method,seed,candidate_pool_exists,search_seconds_standalone,search_nfev,search_pool_gradient_evaluations,state_energy_residual,energy_variance,parity_real,parity_imag,translation_real,translation_imag,energy,ed_energy,delta_e,epsilon_c,epsilon_sf,epsilon_mx,fidelity,observable_pass,state_pass,joint_pass,reference_numerical_ambiguous,ed_source,basis,reference,source_stop,optimizer_success,reported_optimizer_success,optimization_applicable,candidate_exists,parameter_count,gate_count,pool_gradient_evaluations,cnots,depth,nfev,seconds,source
confirmation,8,0.083,0.085,interior,C0,631,True,1.8872480830177665,4599,6576,0.0008171923440734842,6.678033272123159e-07,1.0000000000000002,0.0,0.9999999877148675,0.0,-7.351768852108535,-7.351769032797934,2.2586174930339098e-08,2.2405167365846523e-07,1.619822095344503e-07,1.487070238698207e-06,0.9999999477460244,True,True,True,False,results/stage6_v1/reference_atlas/cache/1505529367a8b2d6ed308fecd2b7f899e32b277f78dfbdbaacde5bb990252044.npz,physical,ghz,budget,True,True,True,True,20,140,2112,63,57,787,0.3531848750426434,results/stage6_v1/domain_wall_candidates/cache/d554a4a9ebfa79c26a5f95ef150e9a42d662337bb26b81cf9938080840ac6335.npz
confirmation,8,0.083,0.085,interior,C1,631,True,3.2883822069852613,8627,6384,0.0007106496590479476,5.050229379049641e-07,0.9999999999999989,0.0,0.9999999951188226,0.0,-7.351768895893904,-7.351769032797934,1.711300379181324e-08,1.8584392946774386e-07,1.3775528984183438e-07,1.204693624093367e-06,0.9999999603341678,True,True,True,False,results/stage6_v1/reference_atlas/cache/1505529367a8b2d6ed308fecd2b7f899e32b277f78dfbdbaacde5bb990252044.npz,physical,ghz,budget,True,True,True,True,21,141,2064,63,70,2913,1.0838039999944158,results/stage6_v1/domain_wall_candidates/cache/39afb4aaf0903400b1f0ea12dfd161d197651df9968c10f8703f3d681f6481cf.npz
confirmation,8,0.083,0.085,interior,H6,631,True,1.8872480830177665,4599,6576,0.0008171923440734842,6.678033272123159e-07,1.0000000000000002,0.0,0.9999999877148675,0.0,-7.351768852108535,-7.351769032797934,2.2586174930339098e-08,2.2405167365846523e-07,1.619822095344503e-07,1.487070238698207e-06,0.9999999477460244,True,True,True,False,results/stage6_v1/reference_atlas/cache/1505529367a8b2d6ed308fecd2b7f899e32b277f78dfbdbaacde5bb990252044.npz,physical,ghz,budget,True,True,True,True,20,140,2112,63,57,787,0.3531848750426434,results/stage6_v1/domain_wall_candidates/cache/d554a4a9ebfa79c26a5f95ef150e9a42d662337bb26b81cf9938080840ac6335.npz
confirmation,8,0.083,0.085,interior,B3,631,True,0.14951478998409584,634,2688,0.005301329093186819,2.810409015426898e-05,0.9999999999999993,0.0,0.9999991758733764,0.0,-7.351760612171256,-7.351769032797934,1.0525783347148376e-06,7.220947812136558e-06,5.428056119693991e-06,4.9798324310464104e-05,0.9999974585115311,True,True,True,False,results/stage6_v1/reference_atlas/cache/1505529367a8b2d6ed308fecd2b7f899e32b277f78dfbdbaacde5bb990252044.npz,physical,ghz,pool_gradient,True,True,True,True,10,66,768,31,30,110,0.01978679100284353,results/stage6_v1/legacy_b3/adaptive/cache/4e8f08f14101370df22561f753cbb96f177d72ab81888e847058e93daf353926.npz
confirmation,8,0.083,0.175,interior,C0,631,True,3.40281541692093,7059,6192,0.003928595681746235,1.5433864030635165e-05,0.9999999999999987,0.0,0.9999997582617701,0.0,-7.402991936796987,-7.40299583085924,4.867577816369817e-07,5.948542231237752e-06,4.285807047810231e-06,1.644612650263111e-05,0.9999988832371967,True,True,True,False,results/stage6_v1/reference_atlas/cache/7d8d326f2b854a0b42a47083c13f8af0be1cda665e9152fb22e8fbe318feadbe.npz,physical,plus,budget,True,True,True,True,22,158,2208,64,69,2445,1.2516055419691838,results/stage6_v1/domain_wall_candidates/cache/9473618b1eb317094dced40675fb50fbf1ee0bf85fac5f08a36de8fd57c16f18.npz
confirmation,8,0.083,0.175,interior,C1,631,True,4.980375374958385,13021,5664,0.0032850377952028014,1.0791473315910883e-05,1.000000000000001,0.0,0.999999650245808,0.0,-7.4029927020830595,-7.40299583085924,3.9109702254513934e-07,5.709048040092313e-06,4.116544045307258e-06,1.576194598582048e-05,0.9999990224000697,True,True,True,False,results/stage6_v1/reference_atlas/cache/7d8d326f2b854a0b42a47083c13f8af0be1cda665e9152fb22e8fbe318feadbe.npz,physical,ghz,budget,True,True,True,True,29,213,1920,95,111,5148,1.9954977909801528,results/stage6_v1/domain_wall_candidates/cache/bc14fcc6dc2922bc505dd1a1ba8040a35533fa5d83c017eaeccb7d1f913ef48a.npz
confirmation,8,0.083,0.175,interior,H6,631,True,3.40281541692093,7059,6192,0.003928595681746235,1.5433864030635165e-05,0.9999999999999987,0.0,0.9999997582617701,0.0,-7.402991936796987,-7.40299583085924,4.867577816369817e-07,5.948542231237752e-06,4.285807047810231e-06,1.644612650263111e-05,0.9999988832371967,True,True,True,False,results/stage6_v1/reference_atlas/cache/7d8d326f2b854a0b42a47083c13f8af0be1cda665e9152fb22e8fbe318feadbe.npz,physical,plus,budget,True,True,True,True,22,158,2208,64,69,2445,1.2516055419691838,results/stage6_v1/domain_wall_candidates/cache/9473618b1eb317094dced40675fb50fbf1ee0bf85fac5f08a36de8fd57c16f18.npz
confirmation,8,0.083,0.175,interior,B3,631,True,1.0084132089978084,2918,4896,0.022683647982579484,0.0005145478857975823,0.9999999999999997,0.0,0.9999854747359911,0.0,-7.4028390006650895,-7.40299583085924,1.9603774268794893e-05,0.00013541686548712573,0.00010251671777461446,0.0004589370217625566,0.9999510785263959,True,True,True,False,results/stage6_v1/reference_atlas/cache/7d8d326f2b854a0b42a47083c13f8af0be1cda665e9152fb22e8fbe318feadbe.npz,physical,ghz,pool_gradient,True,True,True,True,10,66,1344,31,35,359,0.08105133404023945,results/stage6_v1/legacy_b3/adaptive/cache/1429352187342111baa5597107e78bd03fa2bfcef447d9b306ff79bfea899249.npz
confirmation,8,0.083,1.675,interior,C0,631,True,13.281530958018266,23503,7632,0.006429327166021761,4.1336247807745405e-05,0.9999999999999989,0.0,0.9999998429459466,0.0,-14.542892287390528,-14.542895051493693,3.455128956275644e-07,6.227600753322404e-05,2.0555817032252843e-05,3.6802973276683915e-06,0.9999998038279049,True,True,True,False,results/stage6_v1/reference_atlas/cache/bd80eb27583a6ff7b018fc4e32875f6913da7190ee228cd876cea678988d3e89.npz,physical,plus,budget,False,False,True,True,54,318,2592,128,122,8614,4.9993573750252835,results/stage6_v1/domain_wall_candidates/cache/e889b55b9230e1d0061c89ca4aa73911edbbb6e69f7f89181e65d891e811a399.npz
confirmation,8,0.083,1.675,interior,C1,631,True,16.626471041934565,34330,7152,0.009669115405981648,9.349179273419166e-05,0.999999999999999,0.0,0.9999995696039587,0.0,-14.542888373814744,-14.542895051493693,8.347098685579368e-07,0.0001870123522478978,6.580924688190382e-05,6.448250167156999e-06,0.9999994916205128,True,True,True,False,results/stage6_v1/reference_atlas/cache/bd80eb27583a6ff7b018fc4e32875f6913da7190ee228cd876cea678988d3e89.npz,physical,ghz,budget,True,True,True,True,35,219,2256,95,102,7765,3.5102946249535307,results/stage6_v1/domain_wall_candidates/cache/ce4cf6b4ef2c1b6d2d1272851ebdd5a6136bb87622babfa2df1bf232d0928188.npz
confirmation,8,0.083,1.675,interior,H6,631,True,13.281530958018266,23503,7632,0.006429327166021761,4.1336247807745405e-05,0.9999999999999989,0.0,0.9999998429459466,0.0,-14.542892287390528,-14.542895051493693,3.455128956275644e-07,6.227600753322404e-05,2.0555817032252843e-05,3.6802973276683915e-06,0.9999998038279049,True,True,True,False,results/stage6_v1/reference_atlas/cache/bd80eb27583a6ff7b018fc4e32875f6913da7190ee228cd876cea678988d3e89.npz,physical,plus,budget,False,False,True,True,54,318,2592,128,122,8614,4.9993573750252835,results/stage6_v1/domain_wall_candidates/cache/e889b55b9230e1d0061c89ca4aa73911edbbb6e69f7f89181e65d891e811a399.npz
confirmation,8,0.083,1.675,interior,B3,631,True,8.475878291006666,20085,7584,0.06604893551937306,0.0043624618832423,0.9999999999999993,0.0,0.9999737551148626,0.0,-14.542490823356879,-14.542895051493693,5.052851710174444e-05,0.004972357585512753,0.0020834853377951768,0.00028904248106154107,0.9999497223197755,True,True,True,False,results/stage6_v1/reference_atlas/cache/bd80eb27583a6ff7b018fc4e32875f6913da7190ee228cd876cea678988d3e89.npz,physical,ghz,budget,True,True,True,True,27,147,2496,63,62,7518,2.8504545830073766,results/stage6_v1/legacy_b3/adaptive/cache/b8678a760613fe5cfa4c20dc533ba4f592b64b7385f9c2af569094f8c79d6b19.npz
confirmation,8,0.083,1.875,interior,C0,631,True,13.473386333032977,24176,7776,0.004384897794175877,1.9227328665368474e-05,0.9999999999999984,0.0,0.9999999512131796,0.0,-16.02397005404716,-16.023971230834402,1.4709840501225813e-07,4.334330947546386e-05,1.3145755816790228e-05,1.8192306894260213e-06,0.9999999233842928,True,True,True,False,results/stage6_v1/reference_atlas/cache/f272b353cdb56f41a116e8a05460af88640077546697f40b57aa9eed5b4de558.npz,physical,plus,budget,False,False,True,True,55,319,2640,128,125,9156,5.010460541001521,results/stage6_v1/domain_wall_candidates/cache/02558833f96142fc0007c2711d6d4f9e4b2e3aa800d69b34692339e61d635939.npz
confirmation,8,0.083,1.875,interior,C1,631,True,11.97955995798111,27954,7008,0.004883981849949741,2.3853278710638492e-05,0.9999999999999999,0.0,0.9999999219644775,0.0,-16.02396968941691,-16.023971230834402,1.9267718665005873e-07,8.860403822719826e-05,2.327790386047468e-05,1.3535194434144415e-06,0.9999998952355592,True,True,True,False,results/stage6_v1/reference_atlas/cache/f272b353cdb56f41a116e8a05460af88640077546697f40b57aa9eed5b4de558.npz,physical,ghz,budget,True,True,True,True,35,219,2256,95,100,6870,2.8735398749704473,results/stage6_v1/domain_wall_candidates/cache/5cea5c79380c873f9b6691a160883d05004f9755dfd5a91893d62b045186484e.npz
confirmation,8,0.083,1.875,interior,H6,631,True,13.473386333032977,24176,7776,0.004384897794175877,1.9227328665368474e-05,0.9999999999999984,0.0,0.9999999512131796,0.0,-16.02397005404716,-16.023971230834402,1.4709840501225813e-07,4.334330947546386e-05,1.3145755816790228e-05,1.8192306894260213e-06,0.9999999233842928,True,True,True,False,results/stage6_v1/reference_atlas/cache/f272b353cdb56f41a116e8a05460af88640077546697f40b57aa9eed5b4de558.npz,physical,plus,budget,False,False,True,True,55,319,2640,128,125,9156,5.010460541001521,results/stage6_v1/domain_wall_candidates/cache/02558833f96142fc0007c2711d6d4f9e4b2e3aa800d69b34692339e61d635939.npz
confirmation,8,0.083,1.875,interior,B3,631,True,10.00773216795642,23481,7584,0.04170784303887434,0.001739544170955379,1.0000000000000007,0.0,0.9999917822042654,0.0,-16.023822786908767,-16.023971230834402,1.8555490704397215e-05,0.002860138340893343,0.0010988583386428163,0.00010351602706637486,0.9999833044310491,True,True,True,False,results/stage6_v1/reference_atlas/cache/f272b353cdb56f41a116e8a05460af88640077546697f40b57aa9eed5b4de558.npz,physical,ghz,budget,True,True,True,True,27,147,2496,63,55,7418,2.845389833964873,results/stage6_v1/legacy_b3/adaptive/cache/f0a2974715c2078a1754bf6e36ea05563e32bdc94e5fc14538f1b2383b30b8b7.npz
confirmation,8,0.183,0.085,interior,C0,631,True,1.838052500039339,4176,6768,0.0014084188302644091,1.9836436014433663e-06,0.9999999999999998,0.0,0.9999999694527337,0.0,-6.5537095913081345,-6.553710133645885,6.779221883856934e-08,8.164907101537722e-07,5.943424707943734e-07,4.3863938183758e-06,0.9999998153592741,True,True,True,False,results/stage6_v1/reference_atlas/cache/969fe85489bc03701a5e5a275713f1970ad42dd3f3d95f7eba6b2e68e2a354d4.npz,physical,ghz,budget,True,True,True,True,20,140,2064,63,58,1359,0.6723142500268295,results/stage6_v1/domain_wall_candidates/cache/7a7391a51f2ec4e4eb33727919660f2600eae8edf3e581c07c179a6a86497d10.npz
confirmation,8,0.183,0.085,interior,C1,631,True,4.692069166980218,10920,6432,0.0012574964459586213,1.5812973115985636e-06,0.9999999999999998,0.0,0.9999999854710906,0.0,-6.5537096885181505,-6.553710133645885,5.5640966833969685e-08,7.10007963977688e-07,5.237727146445437e-07,3.6371234967136346e-06,0.9999998456735371,True,True,True,False,results/stage6_v1/reference_atlas/cache/969fe85489bc03701a5e5a275713f1970ad42dd3f3d95f7eba6b2e68e2a354d4.npz,physical,ghz,budget,True,True,True,True,21,141,2064,63,67,3380,1.4691329579800367,results/stage6_v1/domain_wall_candidates/cache/9391d870b324ae8787371679f6108c7e7d7c1280062d4f612228377054f227e5.npz
confirmation,8,0.183,0.085,interior,H6,631,True,1.838052500039339,4176,6768,0.0014084188302644091,1.9836436014433663e-06,0.9999999999999998,0.0,0.9999999694527337,0.0,-6.5537095913081345,-6.553710133645885,6.779221883856934e-08,8.164907101537722e-07,5.943424707943734e-07,4.3863938183758e-06,0.9999998153592741,True,True,True,False,results/stage6_v1/reference_atlas/cache/969fe85489bc03701a5e5a275713f1970ad42dd3f3d95f7eba6b2e68e2a354d4.npz,physical,ghz,budget,True,True,True,True,20,140,2064,63,58,1359,0.6723142500268295,results/stage6_v1/domain_wall_candidates/cache/7a7391a51f2ec4e4eb33727919660f2600eae8edf3e581c07c179a6a86497d10.npz
