task,n,kappa,h,region,method,seed,candidate_pool_exists,search_seconds_standalone,search_nfev,search_pool_gradient_evaluations,state_energy_residual,energy_variance,parity_real,parity_imag,translation_real,translation_imag,energy,ed_energy,delta_e,epsilon_c,epsilon_sf,epsilon_mx,fidelity,observable_pass,state_pass,joint_pass,reference_numerical_ambiguous,ed_source,basis,reference,source_stop,optimizer_success,reported_optimizer_success,optimization_applicable,candidate_exists,parameter_count,gate_count,pool_gradient_evaluations,cnots,depth,nfev,seconds,source
stability,8,0.083,0.085,interior,C0,743,True,0.9946892080479302,2895,6720,0.0008174350848485158,6.682001179413003e-07,1.0000000000000002,0.0,0.999999988523905,0.0,-7.351768852174487,-7.351769032797934,2.257793085824744e-08,2.22357854240407e-07,1.6052860118964674e-07,1.469884765320506e-06,0.9999999477907369,True,True,True,False,results/stage6_v1/reference_atlas/cache/1505529367a8b2d6ed308fecd2b7f899e32b277f78dfbdbaacde5bb990252044.npz,physical,ghz,budget,True,True,True,True,20,140,2064,63,59,1065,0.3461120830033906,results/stage6_v1/domain_wall_candidates/cache/93b547ba85dda8b8548f714869e83b3fbd686ef2d78332d463c110d37a23c445.npz
stability,8,0.083,0.085,interior,C1,743,True,2.475935625087004,8861,6336,0.0007106611272307326,5.050392377568555e-07,1.0000000000000004,0.0,0.9999999951133277,0.0,-7.351768895894155,-7.351769032797934,1.7112972372501645e-08,1.8126459500056313e-07,1.339494433150179e-07,1.1592023587483902e-06,0.9999999603352245,True,True,True,False,results/stage6_v1/reference_atlas/cache/1505529367a8b2d6ed308fecd2b7f899e32b277f78dfbdbaacde5bb990252044.npz,physical,ghz,budget,True,True,True,True,21,141,2016,63,70,2855,0.7646707910462283,results/stage6_v1/domain_wall_candidates/cache/867c296ba7ba87817386f035d4037efec02d5f70a1179ac06bebab4d53b0faae.npz
stability,8,0.083,0.085,interior,H6,743,True,0.9946892080479302,2895,6720,0.0008174350848485158,6.682001179413003e-07,1.0000000000000002,0.0,0.999999988523905,0.0,-7.351768852174487,-7.351769032797934,2.257793085824744e-08,2.22357854240407e-07,1.6052860118964674e-07,1.469884765320506e-06,0.9999999477907369,True,True,True,False,results/stage6_v1/reference_atlas/cache/1505529367a8b2d6ed308fecd2b7f899e32b277f78dfbdbaacde5bb990252044.npz,physical,ghz,budget,True,True,True,True,20,140,2064,63,59,1065,0.3461120830033906,results/stage6_v1/domain_wall_candidates/cache/93b547ba85dda8b8548f714869e83b3fbd686ef2d78332d463c110d37a23c445.npz
stability,8,0.083,0.085,interior,B3,743,True,0.1353669999516569,540,2736,0.005301325798441363,2.810405522121996e-05,0.9999999999999993,0.0,0.9999991758656606,0.0,-7.351760612076065,-7.351769032797934,1.0525902336411264e-06,7.221071589458283e-06,5.4281590062821294e-06,4.9799664462391036e-05,0.9999974584491164,True,True,True,False,results/stage6_v1/reference_atlas/cache/1505529367a8b2d6ed308fecd2b7f899e32b277f78dfbdbaacde5bb990252044.npz,physical,ghz,pool_gradient,True,True,True,True,10,66,768,31,31,90,0.01783854200039059,results/stage6_v1/legacy_b3/adaptive/cache/14827afad153e0ca9b821b5010fd648a5ef7a1d8e4b2d924e9c7fc51b3217ac2.npz
stability,8,0.083,0.085,interior,C0,857,True,0.9581038329633884,3122,6576,0.0007474196798544087,5.586361778336667e-07,0.9999999999999993,0.0,0.999999993776209,0.0,-7.351768885055803,-7.351769032797934,1.8467766427221477e-08,2.0253777199830125e-07,1.4464824815707544e-07,1.2554720343962988e-06,0.9999999577468808,True,True,True,False,results/stage6_v1/reference_atlas/cache/1505529367a8b2d6ed308fecd2b7f899e32b277f78dfbdbaacde5bb990252044.npz,physical,ghz,budget,True,True,True,True,20,140,2112,63,68,1124,0.3351461659767665,results/stage6_v1/domain_wall_candidates/cache/012cc816b9349e4c4c453509d790e032242f89c39b50e1e9a15061b1d15ac221.npz
stability,8,0.083,0.085,interior,C1,857,True,2.1910032089217566,8309,6240,0.0007106940018999441,5.050859643365577e-07,1.0000000000000007,0.0,0.9999999951252967,0.0,-7.351768895875643,-7.351769032797934,1.711528641035187e-08,1.820652784090271e-07,1.3390591147022235e-07,1.1540319344929828e-06,0.9999999603292515,True,True,True,False,results/stage6_v1/reference_atlas/cache/1505529367a8b2d6ed308fecd2b7f899e32b277f78dfbdbaacde5bb990252044.npz,physical,ghz,budget,True,True,True,True,21,141,2064,63,69,2763,0.7409864999935962,results/stage6_v1/domain_wall_candidates/cache/58033780247c7692c36cc85da366fbb9708c47364e38f0935eba81b8cfdd4ca4.npz
stability,8,0.083,0.085,interior,H6,857,True,0.9581038329633884,3122,6576,0.0007474196798544087,5.586361778336667e-07,0.9999999999999993,0.0,0.999999993776209,0.0,-7.351768885055803,-7.351769032797934,1.8467766427221477e-08,2.0253777199830125e-07,1.4464824815707544e-07,1.2554720343962988e-06,0.9999999577468808,True,True,True,False,results/stage6_v1/reference_atlas/cache/1505529367a8b2d6ed308fecd2b7f899e32b277f78dfbdbaacde5bb990252044.npz,physical,ghz,budget,True,True,True,True,20,140,2112,63,68,1124,0.3351461659767665,results/stage6_v1/domain_wall_candidates/cache/012cc816b9349e4c4c453509d790e032242f89c39b50e1e9a15061b1d15ac221.npz
stability,8,0.083,0.085,interior,B3,857,True,0.18531658401479945,674,2688,0.005301325795353654,2.8104055188482057e-05,1.0000000000000004,0.0,0.9999991758655894,0.0,-7.35176061207607,-7.351769032797934,1.0525902329749925e-06,7.2210714749942895e-06,5.428158922127224e-06,4.9799663971686337e-05,0.9999974584491144,True,True,True,False,results/stage6_v1/reference_atlas/cache/1505529367a8b2d6ed308fecd2b7f899e32b277f78dfbdbaacde5bb990252044.npz,physical,ghz,pool_gradient,True,True,True,True,10,66,768,31,34,90,0.022155666956678033,results/stage6_v1/legacy_b3/adaptive/cache/6f8952831aebfb0355b0fe8270530c5c54e69ba44d7aceb4bae334c05df51c73.npz
stability,8,0.283,0.085,interior,C0,743,True,2.030725625983905,6568,6576,0.002517951757576691,6.340081053483548e-06,0.9999999999999991,0.0,0.9999998995886126,0.0,-5.7562100039309065,-5.75621206823442,2.5803793923806495e-07,3.877580793565372e-06,2.981141340230309e-06,1.6655133201322336e-05,0.9999989969681976,True,True,True,False,results/stage6_v1/reference_atlas/cache/7a04ea5b350710f03d23ac4cf841b6c0db9f4806002c0d7fb619693bc959888c.npz,physical,ghz,budget,True,True,True,True,20,140,2016,63,57,3012,0.9771243750001304,results/stage6_v1/domain_wall_candidates/cache/ec460732c18988248525d1a0c27f343467927bee0ad5b6ce1b69765a5f04fb3f.npz
stability,8,0.283,0.085,interior,C1,743,True,4.132218292041216,14296,6384,0.0024788522470874114,6.144708462890309e-06,0.9999999999999998,0.0,0.999999912730176,0.0,-5.756210132929567,-5.75621206823442,2.419131066577762e-07,3.7122605908157524e-06,2.8474068956008125e-06,1.549019039678856e-05,0.9999990784991022,True,True,True,False,results/stage6_v1/reference_atlas/cache/7a04ea5b350710f03d23ac4cf841b6c0db9f4806002c0d7fb619693bc959888c.npz,physical,ghz,budget,True,True,True,True,20,140,2016,63,72,4940,1.4447994580259547,results/stage6_v1/domain_wall_candidates/cache/d890c33e03a4bfa3129640757c4fdab9bd43dc9ec44b872fd538ce74bc0d9640.npz
