method,n,kappa,h,region,seeds,joint_pass_runs,observable_pass_runs,state_pass_runs,candidate_pool_exists_runs,at_least_two_joint,all_three_joint,at_least_two_observable,median_fidelity,worst_fidelity,median_cnots,minimum_energy_delta_per_site,median_energy_delta_per_site,source_archives
B3,8,0.083,0.085,interior,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999974584491164,0.9999974584491144,31.0,1.0525783347148376e-06,1.0525902329749925e-06,"['results/stage6_v1/legacy_b3/adaptive/cache/14827afad153e0ca9b821b5010fd648a5ef7a1d8e4b2d924e9c7fc51b3217ac2.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/6f8952831aebfb0355b0fe8270530c5c54e69ba44d7aceb4bae334c05df51c73.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/4e8f08f14101370df22561f753cbb96f177d72ab81888e847058e93daf353926.npz']"
B3,8,0.283,0.085,interior,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999739832365355,0.9999739830364426,31.0,5.592439529467086e-06,5.592439529467086e-06,"['results/stage6_v1/legacy_b3/adaptive/cache/59cb154eda92d274082906932935c0de36f3fb909db54a3ca220cd53965b9bc8.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/bab92bbd981a9840f5a1f7cb796251ce730e454c38a4218ba8b035b462d4e372.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/6dfecd67297abdb9896b2be8d87c2237055e5a01c8f7d206601517dd7bc76da6.npz']"
B3,8,0.443,0.013,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.9997265025233604,0.9997265025233604,7.0,7.589418921538638e-05,7.589418921538638e-05,"['results/stage6_v1/legacy_b3/adaptive/cache/e8bb894a546b7cb5356fcc28d3a00fbce2eb3fbbcc5094ecd495333de4e16f8a.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/051e1aedfeaf7ab7ea08137382244247b702098b1c1d8244e7c6195d5410b39c.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/2f160b81588feaa33afa16f03e078cd8701601621df0e48c0d8d15d7246e7859.npz']"
B3,8,0.459,0.044,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.9997836162568264,0.9997836157896494,31.0,7.238478783477831e-06,7.238689324173819e-06,"['results/stage6_v1/legacy_b3/adaptive/cache/6018d1d8f740b892913edf16bae667716027e7aab2c9551442eec6f00ecb2a2f.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/a4ee54179c8260f8798d986d4ff4c83a9c1c05dc32a4374dd94279a3a8f18773.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/bff86c5bfb1eb63195f1e4ff45b8fc20e9b1cb7b4eaa8b6a0a73040c4f7998d6.npz']"
B3,8,0.4757,0.093,low_field,"[631, 743, 857]",0,1,0,0,False,False,False,0.963265630521907,0.9526723787031168,128.0,0.000610365530336443,0.0014739903861794579,"['results/stage6_v1/legacy_b3/adaptive/cache/2838310c73949bb5c621b86d040eea844c0b1db2a222ea6de37b19be806f1bb4.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/3336a401610c2d85e886711ebcb01c63e0749b68b8a02bdb7f76b6e86dbc3e2c.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/4a4dda70407795ce820dc69ec1c43b254d4063eaf0b5fa40276eb854ab0e825f.npz']"
B3,8,0.507,0.013,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.9994850466371783,0.9994850466371783,6.0,8.375681373462562e-05,8.375681373462562e-05,"['results/stage6_v1/legacy_b3/adaptive/cache/c5ee58288138f9518575c2bbf54e170630848b1ab638224a203d72e3592b8071.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/410870e57c11d2b2dc8986d1452c6ec6856e63fe67bcc220e49d9c578366e48a.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/2d06b99b95b67c73feb82975266ee4d7857f1a5ae6cf0f392816dd81cf2d4966.npz']"
B3,8,0.523,0.044,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.9973824140629548,0.9973824140181505,32.0,1.6687474522547596e-05,1.6687474523879864e-05,"['results/stage6_v1/legacy_b3/adaptive/cache/259637dcbcf5e1a1cf1943c9df89fce7798dd655de00b8c9c1452ecccfda6e88.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/61ef3e84b46d75b67fc348c01b8f7d92a014fc4dc7dcdb76c3aab87c53a41240.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/f196023d5bae790474bf99a1b3998b8d94ac0d660867c55fa890acdaf6ec133b.npz']"
B3,8,0.539,0.093,low_field,"[631, 743, 857]",0,0,0,0,False,False,False,0.6435078785229269,0.6435076265050552,64.0,0.0008219820962098723,0.0008219821006615335,"['results/stage6_v1/legacy_b3/adaptive/cache/56b874097243fcbc8e1e2e71e92a8a28b56f068d975ebd99ef04e876e3315766.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/00813f5b99b13d0ab7c00dd57dbf944e1ab6f6ceb61fdb9d4d8fd91c2fb8b447.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/dce3d6f307e46eed0fc297c9de3d6cafcd0ed39300dcd2284065ac7ac3e6470f.npz']"
B3,8,0.663,0.235,antiphase_band,"[631, 743, 857]",3,3,3,3,True,True,True,0.9973502812467647,0.997350202004358,96.0,0.0002306096545732217,0.00023060966510846104,"['results/stage6_v1/legacy_b3/adaptive/cache/ac8183d8fcf37f15117cbcf483586516325295e445e11fdfec9059819c4b16b0.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/2b23907f1853e0d582dffae2c6df063183649d8fc6173b3ba9079b9d155f8640.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/53b0a78676e9d100c0b8ba374c4af7e760fcb2a6e9a71b51c6ef9b4660eb1611.npz']"
B3,8,0.683,0.085,interior,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999673507688026,0.999967350730601,32.0,6.336739322487794e-06,6.33673935745982e-06,"['results/stage6_v1/legacy_b3/adaptive/cache/0e0f84edc5a4aaf76c3070b24bb09d3eec79e73127e142d12ec03350d2d7cf7a.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/9228bfe151e8e869f15ac544e803051b41b676ee633fc262c62f5a9b902ef02f.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/267404436b0b022c9a22136fe308a2001ecf1d3d0a4bc1469e4196be4edd8f54.npz']"
B3,8,0.763,0.375,antiphase_band,"[631, 743, 857]",3,3,3,3,True,True,True,0.9979282268014986,0.9974584625884839,128.0,0.0004536706134807833,0.00045369541896367327,"['results/stage6_v1/legacy_b3/adaptive/cache/9222b822bb56a1f2d1f209e7aa3878d73d39808dc2901c7982fb49efa0af35d3.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/41824b02a063961d06139e9873ac9c48b693e0e8be329a551084ba3676d81645.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/8c4b6f6f5d39883458e75face5c22eeaf6e716dc9f6a7f91ffaa3c4b9f35e2a9.npz']"
B3,8,0.863,0.515,antiphase_band,"[631, 743, 857]",3,3,3,3,True,True,True,0.9980646151391439,0.9978846319443858,128.0,0.0006106782214188033,0.0006106782291637192,"['results/stage6_v1/legacy_b3/adaptive/cache/ab8916497016200c842c190d0c7e812d7291ff8dd0c0493955d13f7926f22bdb.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/fadfee9125eb2ac648b0eb52b12ad660404602feae6f1fdbad78ceb4594dc17b.npz', 'results/stage6_v1/legacy_b3/adaptive/cache/9b750fba6cea6ce0ac4ac7ba29324bbe08fc58c293b402ffe730da77cfe1f88a.npz']"
C0,8,0.083,0.085,interior,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999999477907369,0.9999999477460244,63.0,1.8467766427221477e-08,2.257793085824744e-08,"['results/stage6_v1/domain_wall_candidates/cache/93b547ba85dda8b8548f714869e83b3fbd686ef2d78332d463c110d37a23c445.npz', 'results/stage6_v1/domain_wall_candidates/cache/012cc816b9349e4c4c453509d790e032242f89c39b50e1e9a15061b1d15ac221.npz', 'results/stage6_v1/domain_wall_candidates/cache/d554a4a9ebfa79c26a5f95ef150e9a42d662337bb26b81cf9938080840ac6335.npz']"
