method,estimator,p,detector,total_coordinates,labelled_coordinate_equivalents,correct_coordinate_equivalents,rejected_coordinate_equivalents,wrong_accepted_coordinate_equivalents,unlabelled_coordinates,total_shots,total_gate_shots
B3,raw,0.01,D1,96,24.0,24.0,0.0,0.0,72.0,307200000,23712000000
B3,raw,0.01,D3,96,24.0,24.0,0.0,0.0,72.0,307200000,23712000000
B3,raw,0.01,D4,96,24.0,24.0,0.0,0.0,72.0,307200000,23712000000
B3,raw,0.01,D5,96,24.0,20.15625,3.84375,0.0,72.0,307200000,23712000000
B3,zne_quadratic,0.01,D1,96,24.0,24.0,0.0,0.0,72.0,307200000,71135525760
B3,zne_quadratic,0.01,D3,96,24.0,24.0,0.0,0.0,72.0,307200000,71135525760
B3,zne_quadratic,0.01,D4,96,24.0,24.0,0.0,0.0,72.0,307200000,71135525760
B3,zne_quadratic,0.01,D5,96,24.0,24.0,0.0,0.0,72.0,307200000,71135525760
B3,raw,0.05,D1,96,24.0,6.0,18.0,0.0,72.0,307200000,23712000000
B3,raw,0.05,D3,96,24.0,13.0,11.0,0.0,72.0,307200000,23712000000
B3,raw,0.05,D4,96,24.0,6.0,18.0,0.0,72.0,307200000,23712000000
B3,raw,0.05,D5,96,24.0,4.0,20.0,0.0,72.0,307200000,23712000000
B3,zne_quadratic,0.05,D1,96,24.0,17.5,6.5,0.0,72.0,307200000,71135525760
B3,zne_quadratic,0.05,D3,96,24.0,19.15625,4.84375,0.0,72.0,307200000,71135525760
B3,zne_quadratic,0.05,D4,96,24.0,18.125,5.875,0.0,72.0,307200000,71135525760
B3,zne_quadratic,0.05,D5,96,24.0,6.9375,17.0625,0.0,72.0,307200000,71135525760
H6,raw,0.01,D1,96,24.0,22.0,2.0,0.0,72.0,307200000,33555200000
H6,raw,0.01,D3,96,24.0,24.0,0.0,0.0,72.0,307200000,33555200000
H6,raw,0.01,D4,96,24.0,22.0,2.0,0.0,72.0,307200000,33555200000
H6,raw,0.01,D5,96,24.0,15.0,9.0,0.0,72.0,307200000,33555200000
H6,zne_quadratic,0.01,D1,96,24.0,24.0,0.0,0.0,72.0,307200000,100664928896
H6,zne_quadratic,0.01,D3,96,24.0,24.0,0.0,0.0,72.0,307200000,100664928896
H6,zne_quadratic,0.01,D4,96,24.0,24.0,0.0,0.0,72.0,307200000,100664928896
H6,zne_quadratic,0.01,D5,96,24.0,22.0,2.0,0.0,72.0,307200000,100664928896
H6,raw,0.05,D1,96,24.0,0.0,24.0,0.0,72.0,307200000,33555200000
H6,raw,0.05,D3,96,24.0,0.0,24.0,0.0,72.0,307200000,33555200000
H6,raw,0.05,D4,96,24.0,0.0,24.0,0.0,72.0,307200000,33555200000
H6,raw,0.05,D5,96,24.0,0.0,24.0,0.0,72.0,307200000,33555200000
H6,zne_quadratic,0.05,D1,96,24.0,0.875,23.125,0.0,72.0,307200000,100664928896
H6,zne_quadratic,0.05,D3,96,24.0,5.5,18.5,0.0,72.0,307200000,100664928896
H6,zne_quadratic,0.05,D4,96,24.0,0.03125,23.96875,0.0,72.0,307200000,100664928896
H6,zne_quadratic,0.05,D5,96,24.0,0.0,24.0,0.0,72.0,307200000,100664928896
