method,estimator,p,detector,total_coordinates,labelled_coordinate_equivalents,correct_coordinate_equivalents,rejected_coordinate_equivalents,wrong_accepted_coordinate_equivalents,unlabelled_coordinates,total_shots,total_gate_shots
B3,raw,0.01,D1,48,13.0,13.0,0.0,0.0,35.0,153600000,12230400000
B3,raw,0.01,D3,48,13.0,13.0,0.0,0.0,35.0,153600000,12230400000
B3,raw,0.01,D4,48,13.0,13.0,0.0,0.0,35.0,153600000,12230400000
B3,raw,0.01,D5,48,13.0,11.9375,1.0625,0.0,35.0,153600000,12230400000
B3,zne_quadratic,0.01,D1,48,13.0,13.0,0.0,0.0,35.0,153600000,36690955392
B3,zne_quadratic,0.01,D3,48,13.0,13.0,0.0,0.0,35.0,153600000,36690955392
B3,zne_quadratic,0.01,D4,48,13.0,13.0,0.0,0.0,35.0,153600000,36690955392
B3,zne_quadratic,0.01,D5,48,13.0,13.0,0.0,0.0,35.0,153600000,36690955392
B3,raw,0.05,D1,48,13.0,2.0,11.0,0.0,35.0,153600000,12230400000
B3,raw,0.05,D3,48,13.0,10.0,3.0,0.0,35.0,153600000,12230400000
B3,raw,0.05,D4,48,13.0,2.0,11.0,0.0,35.0,153600000,12230400000
B3,raw,0.05,D5,48,13.0,1.0,12.0,0.0,35.0,153600000,12230400000
B3,zne_quadratic,0.05,D1,48,13.0,11.0,2.0,0.0,35.0,153600000,36690955392
B3,zne_quadratic,0.05,D3,48,13.0,11.0625,1.9375,0.0,35.0,153600000,36690955392
B3,zne_quadratic,0.05,D4,48,13.0,11.0,2.0,0.0,35.0,153600000,36690955392
B3,zne_quadratic,0.05,D5,48,13.0,2.25,10.75,0.0,35.0,153600000,36690955392
H6,raw,0.01,D1,48,13.0,9.46875,3.53125,0.0,35.0,153600000,17200000000
H6,raw,0.01,D3,48,13.0,13.0,0.0,0.0,35.0,153600000,17200000000
H6,raw,0.01,D4,48,13.0,11.0,2.0,0.0,35.0,153600000,17200000000
H6,raw,0.01,D5,48,13.0,3.0,10.0,0.0,35.0,153600000,17200000000
H6,zne_quadratic,0.01,D1,48,13.0,13.0,0.0,0.0,35.0,153600000,51599656000
H6,zne_quadratic,0.01,D3,48,13.0,13.0,0.0,0.0,35.0,153600000,51599656000
H6,zne_quadratic,0.01,D4,48,13.0,13.0,0.0,0.0,35.0,153600000,51599656000
H6,zne_quadratic,0.01,D5,48,13.0,11.0,2.0,0.0,35.0,153600000,51599656000
H6,raw,0.05,D1,48,13.0,0.0,13.0,0.0,35.0,153600000,17200000000
H6,raw,0.05,D3,48,13.0,0.0,13.0,0.0,35.0,153600000,17200000000
H6,raw,0.05,D4,48,13.0,0.0,13.0,0.0,35.0,153600000,17200000000
H6,raw,0.05,D5,48,13.0,0.0,13.0,0.0,35.0,153600000,17200000000
H6,zne_quadratic,0.05,D1,48,13.0,0.0,13.0,0.0,35.0,153600000,51599656000
H6,zne_quadratic,0.05,D3,48,13.0,1.03125,11.96875,0.0,35.0,153600000,51599656000
H6,zne_quadratic,0.05,D4,48,13.0,0.0,13.0,0.0,35.0,153600000,51599656000
H6,zne_quadratic,0.05,D5,48,13.0,0.0,13.0,0.0,35.0,153600000,51599656000
