kappa,h,method,attribution
0.45,0.15,B3,bounded_oracle_fit_failed_not_impossibility_proof
0.45,0.15,C3,original_pass_but_independent_random_restarts_unstable
0.45,0.15,C2,wall_basis_reference_pool_changes_effective_jointly_not_separately_identified
0.5,0.15,B3,bounded_oracle_fit_failed_not_impossibility_proof
0.5,0.15,C3,passed
0.5,0.15,C2,wall_basis_reference_pool_changes_effective_jointly_not_separately_identified
0.55,0.15,B3,bounded_oracle_fit_failed_not_impossibility_proof
0.55,0.15,C3,bounded_oracle_fit_failed_not_impossibility_proof
0.8,0.6,B3,bounded_oracle_fit_failed_not_impossibility_proof
0.8,0.6,C3,bounded_oracle_fit_failed_not_impossibility_proof
0.8,0.8,B3,bounded_oracle_fit_failed_not_impossibility_proof
0.8,0.8,C3,passed
0.8,0.8,C3,wall_same_references_pool_improved_search_effective
0.425,0.02,B3,passed
0.425,0.02,C3,passed
0.45,0.035,B3,passed
0.45,0.035,C3,passed
0.475,0.05,B3,passed
0.475,0.05,C3,passed
0.5,0.01,B3,bounded_oracle_fit_failed_not_impossibility_proof
0.5,0.01,C3,original_pass_but_independent_random_restarts_unstable
0.5,0.01,C3,wall_same_references_pool_improved_search_effective
0.5,0.075,B3,bounded_oracle_fit_failed_not_impossibility_proof
0.5,0.075,C3,original_pass_but_independent_random_restarts_unstable
0.5,0.075,C1,same_physical_references_pool_improved_search_effective
0.5,0.075,C2,wall_basis_reference_pool_changes_effective_jointly_not_separately_identified
0.525,0.035,B3,passed
0.525,0.035,C3,fixed_structure_oracle_reachable_energy_optimization_limited
0.55,0.05,B3,passed
0.55,0.05,C3,fixed_structure_oracle_reachable_energy_optimization_limited
0.575,0.075,B3,passed
0.575,0.075,C3,still_uncertain_or_budget_limited
0.4,0.3,B3,still_uncertain_or_budget_limited
0.4,0.3,C3,passed
0.4,0.3,C2,wall_basis_reference_pool_changes_effective_jointly_not_separately_identified
0.45,0.2,B3,still_uncertain_or_budget_limited
0.45,0.2,C3,passed
0.5,0.1,B3,still_uncertain_or_budget_limited
0.5,0.1,C3,passed
0.5,0.1,C2,wall_basis_reference_pool_changes_effective_jointly_not_separately_identified
0.5,0.2,B3,still_uncertain_or_budget_limited
0.5,0.2,C3,passed
0.55,0.1,B3,still_uncertain_or_budget_limited
0.55,0.1,C3,still_uncertain_or_budget_limited
0.55,0.2,B3,still_uncertain_or_budget_limited
0.55,0.2,C3,still_uncertain_or_budget_limited
0.6,0.2,B3,still_uncertain_or_budget_limited
0.6,0.2,C3,still_uncertain_or_budget_limited
0.6,0.3,B3,still_uncertain_or_budget_limited
0.6,0.3,C3,still_uncertain_or_budget_limited
0.6,0.4,B3,still_uncertain_or_budget_limited
0.6,0.4,C3,still_uncertain_or_budget_limited
0.6,0.5,B3,still_uncertain_or_budget_limited
0.6,0.5,C3,passed
0.6,0.5,C1,same_physical_references_pool_improved_search_effective
0.6,0.5,C2,wall_basis_reference_pool_changes_effective_jointly_not_separately_identified
0.65,0.3,B3,still_uncertain_or_budget_limited
0.65,0.3,C3,still_uncertain_or_budget_limited
0.0,0.2,B3,passed
0.0,0.2,C3,passed
0.0,1.8,B3,passed
0.0,1.8,C3,passed
0.1,0.2,B3,passed
0.1,0.2,C3,passed
0.2,1.5,B3,passed
0.2,1.5,C3,passed
0.3,0.1,B3,passed
0.3,0.1,C3,passed
0.3,1.2,B3,passed
0.3,1.2,C3,passed
0.4,1.8,B3,passed
0.4,1.8,C3,passed
0.6,0.1,B3,passed
0.6,0.1,C3,still_uncertain_or_budget_limited
0.7,1.5,B3,passed
0.7,1.5,C3,passed
0.8,0.1,B3,passed
0.8,0.1,C3,still_uncertain_or_budget_limited
0.9,1.8,B3,passed
0.9,1.8,C3,passed
1.0,0.2,B3,passed
1.0,0.2,C3,passed
1.0,0.2,C3,wall_same_references_pool_improved_search_effective
