task,n,kappa,h,method,region,joint_pass,observable_pass,state_pass,candidate_checkpoint_exists,all_saved_growth_or_probe_exists,random_restart_runs,random_restart_pass,warm_continuations,warm_pass,oracle_runs,oracle_pass,actual_stop,cnots,delta_e,fidelity,tags,source
development,8,0.0,0.2,C0,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,96,2.5608426490464353e-10,0.9999999994774402,selected_pass,results/stage6_v1/domain_wall_candidates/cache/13bbe00732c98400b8ed46273cb807f5e3e3abc93cfabb298a6fd3ab0f416dba.npz
development,8,0.0,0.2,C1,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,64,1.304280370373334e-07,0.9999997195279654,selected_pass,results/stage6_v1/domain_wall_candidates/cache/1585f2e71b70e5cd2d55b914a97f38a1ae7e7446353fa8f46b5cdc3cdf801912.npz
development,8,0.0,0.2,C2,interior_control,True,True,True,True,,0,0,0,0,0,0,parameter_cap160,63,3.93883291982533e-07,0.9999994138770629,selected_pass,results/stage6_v1/domain_wall_candidates/cache/f2d6f9952f509a47ffa4fd764bff53c42c2c18f068cdd2ad09a3e6db732865a4.npz
development,8,0.0,0.2,C3,interior_control,True,True,True,True,,3,3,1,1,0,0,parameter_cap160,127,4.689416255310164e-08,0.999999952268838,selected_pass,results/stage6_v1/domain_wall_candidates/cache/67d18cc80a773795686ee0c9d888039f5aa304cb2b9d424fcc3642995b0a4836.npz
development,8,0.0,0.2,H6,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,96,2.5608426490464353e-10,0.9999999994774402,selected_pass,results/stage6_v1/domain_wall_candidates/cache/13bbe00732c98400b8ed46273cb807f5e3e3abc93cfabb298a6fd3ab0f416dba.npz
development,8,0.0,0.2,B3,interior_control,True,True,True,True,,3,3,1,1,0,0,pool_gradient,31,4.368382175745644e-05,0.9999337782849278,selected_pass,results/stage6_v1/legacy_b3/adaptive/cache/96a3afeaa2ebeae0e8b6a375a763a6356eccc1efbb7e0e8e63e1354be444f1e6.npz
development,8,0.0,1.8,C0,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,127,2.1544928932026863e-06,0.9999988040512081,selected_pass,results/stage6_v1/domain_wall_candidates/cache/d9c7117d323774917db879e0353834ed8a0c368becd72af89a50c70342a6e9df.npz
development,8,0.0,1.8,C1,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,95,6.134523384826451e-07,0.9999996329330777,selected_pass,results/stage6_v1/domain_wall_candidates/cache/e4aaa17a366c28a9bc0cbe6ee321142f22ff0d5c05dbe1b77fcd12d6266da711.npz
development,8,0.0,1.8,C2,interior_control,True,True,True,True,,0,0,0,0,0,0,parameter_cap160,127,1.3021369729138144e-06,0.9999992506612658,selected_pass,results/stage6_v1/domain_wall_candidates/cache/6eb4c2a83f15de5dfa6dbb9b87a8f115d6e6efff86de145f0b1fd9a37b56869c.npz
development,8,0.0,1.8,C3,interior_control,True,True,True,True,,3,3,1,1,0,0,parameter_cap160,127,4.886508284673852e-07,0.9999997319935303,selected_pass,results/stage6_v1/domain_wall_candidates/cache/27fd05761ce982e87563db6a039ce4d820b178b4cb4c6dad32ff2950db92fbaf.npz
development,8,0.0,1.8,H6,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,127,2.1544928932026863e-06,0.9999988040512081,selected_pass,results/stage6_v1/domain_wall_candidates/cache/d9c7117d323774917db879e0353834ed8a0c368becd72af89a50c70342a6e9df.npz
development,8,0.0,1.8,B3,interior_control,True,True,True,True,,3,3,1,1,0,0,budget,63,7.75257037259891e-05,0.999943213394947,selected_pass,results/stage6_v1/legacy_b3/adaptive/cache/a72807956fdb42fedd22188d4fc8c7d4cb879ea3a6f7311a66aa7579bff83bac.npz
development,8,0.1,0.2,C0,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,127,3.791746361336834e-09,0.9999999949087848,selected_pass,results/stage6_v1/domain_wall_candidates/cache/bee603b23d032dc9e8db128859ac123d90009b5b3635ced17e5ccc8379f6fdd4.npz
development,8,0.1,0.2,C1,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,95,9.889877744528874e-07,0.9999974216735678,selected_pass,results/stage6_v1/domain_wall_candidates/cache/35bea8b14b340c892005677963d7102ed4d0f60968b488c6748c5f7574803eed.npz
development,8,0.1,0.2,C2,interior_control,True,True,True,True,,0,0,0,0,0,0,parameter_cap160,95,1.0896999513843042e-07,0.9999998657252022,selected_pass,results/stage6_v1/domain_wall_candidates/cache/108ff61d3cfe22f3f45eb8aa43e28df9ba2ea88c119e548a6e0666fa1556742a.npz
development,8,0.1,0.2,C3,interior_control,True,True,True,True,,3,3,1,1,0,0,energy_stagnation,95,1.2376990188300852e-07,0.9999998640399987,selected_pass,results/stage6_v1/domain_wall_candidates/cache/34eec7adf241798c7e8339e482b1bbcbf8efdbb556371737e6ffa85d0df2200c.npz
development,8,0.1,0.2,H6,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,127,3.791746361336834e-09,0.9999999949087848,selected_pass,results/stage6_v1/domain_wall_candidates/cache/bee603b23d032dc9e8db128859ac123d90009b5b3635ced17e5ccc8379f6fdd4.npz
development,8,0.1,0.2,B3,interior_control,True,True,True,True,,3,3,1,1,0,0,budget,31,3.826153200869875e-05,0.9998986609223198,selected_pass,results/stage6_v1/legacy_b3/adaptive/cache/c579581efd1b51cef92ece5ac5973a9972e1c055087ffbc08f3427f2ca74c3df.npz
development,8,0.2,1.5,C0,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,95,9.389262751735572e-07,0.9999993071745498,selected_pass,results/stage6_v1/domain_wall_candidates/cache/c6e9ed313c765a47739c14adf1d67c5915876063cb51325ae911351927b0b1d2.npz
development,8,0.2,1.5,C1,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,96,1.1683640062098988e-06,0.9999991645225665,selected_pass,results/stage6_v1/domain_wall_candidates/cache/e6d73ba09a811d8f32685fd7144d070bba18ade0fb8cfd43f80734490c225924.npz
development,8,0.2,1.5,C2,interior_control,True,True,True,True,,0,0,0,0,0,0,energy_stagnation,127,2.494967464627962e-06,0.9999979659367165,selected_pass,results/stage6_v1/domain_wall_candidates/cache/f4afb305a3c2ac31afa239314961748122963ea82b6e16034ecc64be07c06385.npz
development,8,0.2,1.5,C3,interior_control,True,True,True,True,,3,3,1,1,0,0,parameter_cap160,127,2.868632009711547e-07,0.9999998196199783,selected_pass,results/stage6_v1/domain_wall_candidates/cache/948c4555b327117de66432c120536f95abe63816c078c374b5121b5a02b4a41f.npz
development,8,0.2,1.5,H6,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,95,9.389262751735572e-07,0.9999993071745498,selected_pass,results/stage6_v1/domain_wall_candidates/cache/c6e9ed313c765a47739c14adf1d67c5915876063cb51325ae911351927b0b1d2.npz
development,8,0.2,1.5,B3,interior_control,True,True,True,True,,3,1,1,1,0,0,energy_stagnation,63,6.708561622659204e-06,0.999992911227421,selected_pass,results/stage6_v1/legacy_b3/adaptive/cache/7a1923d3e7ac0d465880efba602a2a0037176202be657bc401eef755b8bcf36b.npz
development,8,0.3,0.1,C0,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,63,7.795784230379965e-07,0.9999964314826225,selected_pass,results/stage6_v1/domain_wall_candidates/cache/c80c87f0ff2d6835ec8293d048de39cf854992f1befdca6514131335c0631508.npz
development,8,0.3,0.1,C1,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,63,7.78784632116114e-07,0.9999964343279025,selected_pass,results/stage6_v1/domain_wall_candidates/cache/9b8592cd7b0f23795f7bdd187eb3f6015ab1cc7b0101e7362d555c1079802480.npz
development,8,0.3,0.1,C2,interior_control,True,True,True,True,,0,0,0,0,0,0,parameter_cap160,63,3.7664753327337763e-07,0.9999993935086606,selected_pass,results/stage6_v1/domain_wall_candidates/cache/107dad4503a92890f66119da6f2fc8c483640592176baf939948f51b4a627b58.npz
development,8,0.3,0.1,C3,interior_control,True,True,True,True,,3,3,1,1,0,0,parameter_cap160,63,3.3227147899772547e-07,0.9999994208834432,selected_pass,results/stage6_v1/domain_wall_candidates/cache/12182a2464bad0a02bdb9c1e54ae8914653166c8be98f626b9dcc264e17adc75.npz
development,8,0.3,0.1,H6,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,63,7.795784230379965e-07,0.9999964314826225,selected_pass,results/stage6_v1/domain_wall_candidates/cache/c80c87f0ff2d6835ec8293d048de39cf854992f1befdca6514131335c0631508.npz
