task,n,kappa,h,region,method,seed,candidate_pool_exists,search_seconds_standalone,search_nfev,search_pool_gradient_evaluations,state_energy_residual,energy_variance,parity_real,parity_imag,translation_real,translation_imag,energy,ed_energy,delta_e,epsilon_c,epsilon_sf,epsilon_mx,fidelity,observable_pass,state_pass,joint_pass,reference_numerical_ambiguous,ed_source,basis,reference,source_stop,optimizer_success,reported_optimizer_success,optimization_applicable,candidate_exists,parameter_count,gate_count,pool_gradient_evaluations,cnots,depth,nfev,seconds,source
development,8,0.0,0.2,interior_control,C0,101,True,0.9853623329545371,3833,5808,9.11447909115669e-05,8.307372910313249e-09,0.9999999999999982,0.0,0.9999999996536477,0.0,-8.08020255706268,-8.080202559111354,2.5608426490464353e-10,2.94784272547588e-08,1.0095877816043708e-08,5.54326976542896e-08,0.9999999994774402,True,True,True,False,results/stage6_v1/reference_atlas/cache/f77aa84af804bdece0db891cc93f341001f9939419b06572c1990a3e27216f9b.npz,physical,plus,budget,True,True,True,True,31,231,2112,96,98,987,0.26904195797396824,results/stage6_v1/domain_wall_candidates/cache/13bbe00732c98400b8ed46273cb807f5e3e3abc93cfabb298a6fd3ab0f416dba.npz
development,8,0.0,0.2,interior_control,C1,101,True,3.0346096239518374,11996,5808,0.001980959207635023,3.9241993823139775e-06,0.9999999999999987,0.0,0.999999782432575,0.0,-8.080201515687058,-8.080202559111354,1.304280370373334e-07,1.7581201584571104e-06,1.106489812552347e-06,4.261222475640536e-06,0.9999997195279654,True,True,True,False,results/stage6_v1/reference_atlas/cache/f77aa84af804bdece0db891cc93f341001f9939419b06572c1990a3e27216f9b.npz,physical,plus,budget,True,True,True,True,22,158,2208,64,57,3879,1.0513408749829978,results/stage6_v1/domain_wall_candidates/cache/1585f2e71b70e5cd2d55b914a97f38a1ae7e7446353fa8f46b5cdc3cdf801912.npz
development,8,0.0,0.2,interior_control,C2,101,True,26.087973791989498,35534,24480,0.00443356818359085,1.9656526838549067e-05,1.0000000000000009,0.0,0.9999995446133831,0.0,-8.080199408045019,-8.080202559111354,3.93883291982533e-07,3.5505712248085075e-06,2.621123651014301e-06,1.1699166932291338e-05,0.9999994138770629,True,True,True,False,results/stage6_v1/reference_atlas/cache/f77aa84af804bdece0db891cc93f341001f9939419b06572c1990a3e27216f9b.npz,wall,empty,parameter_cap160,True,True,True,True,36,212,8160,63,80,10673,6.417424916988239,results/stage6_v1/domain_wall_candidates/cache/f2d6f9952f509a47ffa4fd764bff53c42c2c18f068cdd2ad09a3e6db732865a4.npz
development,8,0.0,0.2,interior_control,C3,101,True,48.01350545801688,67790,24480,0.0017284608908569462,2.987577051221988e-06,1.000000000000001,0.0,0.9999999585386714,0.0,-8.080202183958054,-8.080202559111354,4.689416255310164e-08,9.083513663465936e-07,4.094609219462697e-07,1.4704701284812272e-06,0.999999952268838,True,True,True,False,results/stage6_v1/reference_atlas/cache/f77aa84af804bdece0db891cc93f341001f9939419b06572c1990a3e27216f9b.npz,wall,uniform,parameter_cap160,True,True,True,True,160,689,8160,127,287,22792,16.40424870798597,results/stage6_v1/domain_wall_candidates/cache/67d18cc80a773795686ee0c9d888039f5aa304cb2b9d424fcc3642995b0a4836.npz
development,8,0.0,0.2,interior_control,H6,101,True,0.9853623329545371,3833,5808,9.11447909115669e-05,8.307372910313249e-09,0.9999999999999982,0.0,0.9999999996536477,0.0,-8.08020255706268,-8.080202559111354,2.5608426490464353e-10,2.94784272547588e-08,1.0095877816043708e-08,5.54326976542896e-08,0.9999999994774402,True,True,True,False,results/stage6_v1/reference_atlas/cache/f77aa84af804bdece0db891cc93f341001f9939419b06572c1990a3e27216f9b.npz,physical,plus,budget,True,True,True,True,31,231,2112,96,98,987,0.26904195797396824,results/stage6_v1/domain_wall_candidates/cache/13bbe00732c98400b8ed46273cb807f5e3e3abc93cfabb298a6fd3ab0f416dba.npz
development,8,0.0,0.2,interior_control,B3,101,True,0.9027200820855796,2730,4176,0.0461820087098676,0.0021327779284782866,1.0,0.0,0.999962634579798,0.0,-8.079853088537295,-8.080202559111354,4.368382175745644e-05,0.0001903400397358368,0.00015130666831353334,0.0008738882513095458,0.9999337782849278,True,True,True,False,results/stage6_v1/reference_atlas/cache/f77aa84af804bdece0db891cc93f341001f9939419b06572c1990a3e27216f9b.npz,physical,ghz,pool_gradient,True,True,True,True,10,66,1392,31,30,942,0.2636747080250643,results/stage6_v1/legacy_b3/adaptive/cache/96a3afeaa2ebeae0e8b6a375a763a6356eccc1efbb7e0e8e63e1354be444f1e6.npz
development,8,0.0,1.8,interior_control,C0,101,True,7.040001500979997,20042,7632,0.016358453430751724,0.00026759899864607287,1.0000000000000004,0.0,0.9999994409389106,0.0,-15.537356171782315,-15.537373407725461,2.1544928932026863e-06,0.00033857085637661183,8.89253692201164e-05,1.2277379258796017e-05,0.9999988040512081,True,True,True,False,results/stage6_v1/reference_atlas/cache/06e928b646ab84031dc875cf0e87ec09ed25d1372b2e11d1aee3498884e0baf9.npz,physical,ghz,budget,False,False,True,True,51,299,2448,127,120,5690,1.9523558749933727,results/stage6_v1/domain_wall_candidates/cache/d9c7117d323774917db879e0353834ed8a0c368becd72af89a50c70342a6e9df.npz
development,8,0.0,1.8,interior_control,C1,101,True,10.304199584003072,33423,7104,0.008322807942732916,6.926913205161811e-05,0.9999999999999996,0.0,0.9999997026317953,0.0,-15.537368500106753,-15.537373407725461,6.134523384826451e-07,6.881310943868818e-05,2.236796316373857e-05,2.410790866713697e-06,0.9999996329330777,True,True,True,False,results/stage6_v1/reference_atlas/cache/06e928b646ab84031dc875cf0e87ec09ed25d1372b2e11d1aee3498884e0baf9.npz,physical,ghz,budget,True,True,True,True,38,222,2448,95,86,10852,3.291184458998032,results/stage6_v1/domain_wall_candidates/cache/e4aaa17a366c28a9bc0cbe6ee321142f22ff0d5c05dbe1b77fcd12d6266da711.npz
development,8,0.0,1.8,interior_control,C2,101,True,40.72083616594318,67713,24480,0.01255845440010802,0.00015771477691959248,0.9999999999999998,0.0,0.999999195030339,0.0,-15.537362990629678,-15.537373407725461,1.3021369729138144e-06,0.00018283177332054784,4.6777099089734264e-05,5.251849095722072e-06,0.9999992506612658,True,True,True,False,results/stage6_v1/reference_atlas/cache/06e928b646ab84031dc875cf0e87ec09ed25d1372b2e11d1aee3498884e0baf9.npz,wall,alternating,parameter_cap160,True,True,True,True,160,653,8160,127,301,23063,14.300457582983654,results/stage6_v1/domain_wall_candidates/cache/6eb4c2a83f15de5dfa6dbb9b87a8f115d6e6efff86de145f0b1fd9a37b56869c.npz
development,8,0.0,1.8,interior_control,C3,101,True,74.2100099590607,110280,23460,0.007946944185223077,6.315392188305088e-05,1.0000000000000004,0.0,0.9999997905543027,0.0,-15.537369498518833,-15.537373407725461,4.886508284673852e-07,0.00012898963212732567,2.4412384730554404e-05,6.107066357063928e-07,0.9999997319935303,True,True,True,False,results/stage6_v1/reference_atlas/cache/06e928b646ab84031dc875cf0e87ec09ed25d1372b2e11d1aee3498884e0baf9.npz,wall,empty,parameter_cap160,True,True,True,True,160,660,8160,127,287,37051,26.168483709043358,results/stage6_v1/domain_wall_candidates/cache/27fd05761ce982e87563db6a039ce4d820b178b4cb4c6dad32ff2950db92fbaf.npz
