task,n,kappa,h,region,method,seed,candidate_pool_exists,search_seconds_standalone,search_nfev,search_pool_gradient_evaluations,state_energy_residual,energy_variance,parity_real,parity_imag,translation_real,translation_imag,energy,ed_energy,delta_e,epsilon_c,epsilon_sf,epsilon_mx,fidelity,observable_pass,state_pass,joint_pass,reference_numerical_ambiguous,ed_source,basis,reference,source_stop,optimizer_success,reported_optimizer_success,optimization_applicable,candidate_exists,parameter_count,gate_count,pool_gradient_evaluations,cnots,depth,nfev,seconds,source
low_map,8,0.4,0.01,low_field,C0,631,True,0.9141812499728985,3162,7392,9.698232854653198e-05,9.405572050307471e-09,0.9999999999999988,0.0,0.9999999996428537,0.0,-4.8003333810414945,-4.80033338255809,1.8957446723533167e-10,1.3969682077785706e-09,1.1156843227055901e-09,7.815734282511089e-08,0.9999999997056614,True,True,True,False,results/stage6_v1/reference_atlas/cache/8b75980247816ade620cd21e30a0acfdc22a6c235bfc8427aadaa5167f0871db.npz,physical,ghz,budget,True,True,True,True,20,140,2448,63,76,713,0.22506450000219047,results/stage6_v1/domain_wall_candidates/cache/3ef18c879a76c3068d24220dbb3202072adea2e68aeab35b9d70f73208bbf20f.npz
low_map,8,0.4,0.01,low_field,H6,631,True,2.0807267089840025,8690,11268,9.752159244916087e-05,9.510460993820231e-09,0.9999999999999982,0.0,0.9999999924187286,0.0,-4.800333375767627,-4.80033338255809,8.488079128454729e-10,1.3510147889306268e-08,1.024044049557915e-08,3.201774184339451e-07,0.9999999923004941,True,True,True,False,results/stage6_v1/reference_atlas/cache/8b75980247816ade620cd21e30a0acfdc22a6c235bfc8427aadaa5167f0871db.npz,wall,uniform,energy_stagnation,True,True,True,True,21,124,1071,33,50,684,0.10152299999026582,results/stage6_v1/domain_wall_candidates/cache/7a39bdd418549747dfae4afb8ba1daeb8eaabb6a76cd3ae484831d28008101fd.npz
low_map,8,0.4,0.01,low_field,B3,631,True,0.049822666973341256,275,1632,0.028284271247461898,0.0007999999999999998,0.9999999999999998,0.0,0.9999999999999998,0.0,-4.799999999999999,-4.80033338255809,4.167281976141801e-05,6.954655703106383e-05,6.084235063652521e-05,0.00833579544709626,0.9998609974652332,True,True,True,False,results/stage6_v1/reference_atlas/cache/8b75980247816ade620cd21e30a0acfdc22a6c235bfc8427aadaa5167f0871db.npz,physical,ghz,energy_stagnation,,True,False,True,0,8,432,7,8,89,0.010561208007857203,results/stage6_v1/legacy_b3/adaptive/cache/c3fa8a7b10a2e4ffb2b1407370ccdb940fdbd3ce806c6d4eb22e4a58a00a7eb9.npz
low_map,8,0.4,0.02,low_field,C0,631,True,1.2664274590206333,4416,7488,0.00028725315648128367,8.251437590846084e-08,1.0000000000000009,0.0,0.9999999993019801,0.0,-4.8013341068927975,-4.801334122622879,1.966260154695476e-09,2.238010043953409e-08,1.4695872962988688e-08,1.524445012064668e-07,0.9999999939724504,True,True,True,False,results/stage6_v1/reference_atlas/cache/c7fe6f372b9ecd2b6de7e58f64edae94fe47257251e842a2b681c834ce8bbc6e.npz,physical,ghz,budget,True,True,True,True,20,140,2400,63,58,848,0.2688320000306703,results/stage6_v1/domain_wall_candidates/cache/6d7b8d385f487bf4ebe995d5fcb0a056a10a1b8d1a724e6a1148f44e1c63112a.npz
low_map,8,0.4,0.02,low_field,H6,631,True,3.104263542976696,12264,13098,0.000392137875507342,1.5377211340741165e-07,0.9999999999999997,0.0,0.9999998779399739,0.0,-4.801334012635401,-4.801334122622879,1.3748434724014658e-08,2.274861146123186e-07,1.7349815928380252e-07,2.7718629051695642e-06,0.9999998748274649,True,True,True,False,results/stage6_v1/reference_atlas/cache/c7fe6f372b9ecd2b6de7e58f64edae94fe47257251e842a2b681c834ce8bbc6e.npz,wall,uniform,energy_stagnation,True,True,True,True,21,134,1071,39,44,787,0.11368254199624062,results/stage6_v1/domain_wall_candidates/cache/75281227d783ef59662ce38897cf9051fa83f27c1288d5c72a9648d54cf58fc7.npz
low_map,8,0.4,0.02,low_field,B3,631,True,0.08968983293743804,440,2304,0.04000127272716843,0.0016001018197933086,0.9999999999999993,0.0,0.9997917309448237,0.0,-4.800666624238035,-4.801334122622879,8.343729810544875e-05,0.00014056108579207915,0.0001228157842738664,0.008354155205666283,0.9997206421634769,True,True,True,False,results/stage6_v1/reference_atlas/cache/c7fe6f372b9ecd2b6de7e58f64edae94fe47257251e842a2b681c834ce8bbc6e.npz,physical,ghz,pool_gradient,True,True,True,True,4,28,768,15,14,92,0.015751957951579243,results/stage6_v1/legacy_b3/adaptive/cache/00132f5b1d08dc2399ab09ad1d691b83f97720ca0374759b37813889470ee289.npz
low_map,8,0.4,0.035,low_field,C0,631,True,1.130331207998097,3955,7008,0.0007264873577929859,5.27783881033034e-07,1.0000000000000002,0.0,0.9999999903600523,0.0,-4.804090616942224,-4.80409078085852,2.0489536955992094e-08,5.060865453376806e-07,3.812397809666024e-07,3.035957888506552e-06,0.9999998682278898,True,True,True,False,results/stage6_v1/reference_atlas/cache/2cf4e0d5eb0b45c350cfb39295e3267a0104d3e98b9bec48336cf392076add7b.npz,physical,ghz,budget,True,True,True,True,20,140,2304,63,60,1215,0.3638416670146398,results/stage6_v1/domain_wall_candidates/cache/6099e0932a2de6effe0a04acaa05dfc5a995d38bd466f9ec51a8b41cfdb38092.npz
low_map,8,0.4,0.035,low_field,H6,631,True,37.442302832962014,56977,30570,0.0007264873577929859,5.27783881033034e-07,1.0000000000000002,0.0,0.9999999903600523,0.0,-4.804090616942224,-4.80409078085852,2.0489536955992094e-08,5.060865453376806e-07,3.812397809666024e-07,3.035957888506552e-06,0.9999998682278898,True,True,True,False,results/stage6_v1/reference_atlas/cache/2cf4e0d5eb0b45c350cfb39295e3267a0104d3e98b9bec48336cf392076add7b.npz,physical,ghz,budget,True,True,True,True,20,140,2304,63,60,1215,0.3638416670146398,results/stage6_v1/domain_wall_candidates/cache/6099e0932a2de6effe0a04acaa05dfc5a995d38bd466f9ec51a8b41cfdb38092.npz
low_map,8,0.4,0.035,low_field,B3,631,True,0.08618904202012345,415,2352,0.0022985191516003292,5.2831902902734974e-06,1.0000000000000002,0.0,0.9999977542319789,0.0,-4.804085133505902,-4.80409078085852,7.059190771929735e-07,1.1862578755961195e-05,9.126194513653374e-06,8.121716106927399e-05,0.9999929654302936,True,True,True,False,results/stage6_v1/reference_atlas/cache/2cf4e0d5eb0b45c350cfb39295e3267a0104d3e98b9bec48336cf392076add7b.npz,physical,ghz,pool_gradient,True,True,True,True,10,66,768,31,30,101,0.016770207963418216,results/stage6_v1/legacy_b3/adaptive/cache/d8d65e3c3e30366fe8d998360e877d48602671f52654594e6fe602cc2b6b95b6.npz
low_map,8,0.4,0.05,low_field,C0,631,True,1.7818029170157388,6043,6624,0.0015682244741545533,2.459328001337325e-06,0.9999999999999991,0.0,0.9999999436709439,0.0,-4.808363563249264,-4.808364655087442,1.3647977226138863e-07,4.127685617305588e-06,3.0076598940276256e-06,1.502641951414696e-05,0.9999988594755261,True,True,True,False,results/stage6_v1/reference_atlas/cache/60b3855ec89501cf026c5d852b422744b4c726ee97bcdb476264bdd7181843f4.npz,physical,ghz,budget,True,True,True,True,20,140,1968,63,58,2321,0.664138957974501,results/stage6_v1/domain_wall_candidates/cache/bb19d4535c2fb6b4751bc765aa3cbb6214a0bdee810a20e414251ea851985c2a.npz
