task,n,kappa,h,region,method,seed,candidate_pool_exists,search_seconds_standalone,search_nfev,search_pool_gradient_evaluations,state_energy_residual,energy_variance,parity_real,parity_imag,translation_real,translation_imag,energy,ed_energy,delta_e,epsilon_c,epsilon_sf,epsilon_mx,fidelity,observable_pass,state_pass,joint_pass,reference_numerical_ambiguous,ed_source,basis,reference,source_stop,optimizer_success,reported_optimizer_success,optimization_applicable,candidate_exists,parameter_count,gate_count,pool_gradient_evaluations,cnots,depth,nfev,seconds,source
windows,8,0.0,0.875,boundary_window,C0,631,True,4.355559541960247,11509,7296,0.00017439335076481325,3.0413040790979194e-08,0.9999999999999993,0.0,0.999999999572015,0.0,-9.664688636092695,-9.664688639250251,3.946944993060697e-10,1.3850731457321075e-06,7.516902255089164e-07,3.352923770849614e-07,0.999999999660591,True,True,True,False,results/stage6_v1/reference_atlas/cache/5d1f24156e7a34acde7c33262ae8dcfe78807c738e1586ba0768877337d3f61a.npz,physical,plus,budget,True,True,True,True,53,317,2544,128,132,3401,1.3240989159676246,results/stage6_v1/domain_wall_candidates/cache/66860f668732f55f1474bc0c31fec04b214be8a1760207def7e7becc030e1beb.npz
windows,8,0.0,0.875,boundary_window,H6,631,True,4.355559541960247,11509,7296,0.00017439335076481325,3.0413040790979194e-08,0.9999999999999993,0.0,0.999999999572015,0.0,-9.664688636092695,-9.664688639250251,3.946944993060697e-10,1.3850731457321075e-06,7.516902255089164e-07,3.352923770849614e-07,0.999999999660591,True,True,True,False,results/stage6_v1/reference_atlas/cache/5d1f24156e7a34acde7c33262ae8dcfe78807c738e1586ba0768877337d3f61a.npz,physical,plus,budget,True,True,True,True,53,317,2544,128,132,3401,1.3240989159676246,results/stage6_v1/domain_wall_candidates/cache/66860f668732f55f1474bc0c31fec04b214be8a1760207def7e7becc030e1beb.npz
windows,8,0.0,0.875,boundary_window,B3,631,True,2.9441573749645613,7792,6432,0.025502891671558243,0.0006503974836112348,0.999999999999999,0.0,0.9999926585593392,0.0,-9.664596069147844,-9.664688639250251,1.1571262800824655e-05,0.0004375118745786333,6.586387986151632e-05,3.064649009332232e-05,0.9999861785721835,True,True,True,False,results/stage6_v1/reference_atlas/cache/5d1f24156e7a34acde7c33262ae8dcfe78807c738e1586ba0768877337d3f61a.npz,physical,plus,pool_gradient,True,True,True,True,40,240,2016,96,128,2262,0.7893699170090258,results/stage6_v1/legacy_b3/adaptive/cache/88c063317cdb49927a3123e251bdf87919d174faa60d57fcf60d54800a832672.npz
windows,8,0.0,0.8875,boundary_window,C0,631,True,3.2059064169297926,8948,7344,3.413703791108349e-05,1.1653373573427514e-09,0.9999999999999997,0.0,0.9999999999804243,0.0,-9.718433103189177,-9.7184331033274,1.7277734798426536e-11,8.311608733491127e-07,4.778131159621779e-07,4.519363639987617e-07,0.9999999999816718,True,True,True,False,results/stage6_v1/reference_atlas/cache/d8b105dc5e3a9b7a4f8db274dda19a98e534c79b085f81fb3530bb3981bdb584.npz,physical,ghz,budget,True,True,True,True,49,297,2352,127,123,2409,0.8046713329968043,results/stage6_v1/domain_wall_candidates/cache/21c565632ff9f233841adb918b368589e30cec4a559d609209bac5da7718c80b.npz
windows,8,0.0,0.8875,boundary_window,H6,631,True,3.2059064169297926,8948,7344,3.413703791108349e-05,1.1653373573427514e-09,0.9999999999999997,0.0,0.9999999999804243,0.0,-9.718433103189177,-9.7184331033274,1.7277734798426536e-11,8.311608733491127e-07,4.778131159621779e-07,4.519363639987617e-07,0.9999999999816718,True,True,True,False,results/stage6_v1/reference_atlas/cache/d8b105dc5e3a9b7a4f8db274dda19a98e534c79b085f81fb3530bb3981bdb584.npz,physical,ghz,budget,True,True,True,True,49,297,2352,127,123,2409,0.8046713329968043,results/stage6_v1/domain_wall_candidates/cache/21c565632ff9f233841adb918b368589e30cec4a559d609209bac5da7718c80b.npz
windows,8,0.0,0.8875,boundary_window,B3,631,True,2.9964659179677255,8624,6384,0.006446191051564657,4.155337907327226e-05,0.9999999999999988,0.0,0.9999995451096271,0.0,-9.718428786180347,-9.7184331033274,5.396433815363366e-07,3.497937345964264e-05,8.888701334558435e-06,3.890069572021204e-07,0.9999995400263597,True,True,True,False,results/stage6_v1/reference_atlas/cache/d8b105dc5e3a9b7a4f8db274dda19a98e534c79b085f81fb3530bb3981bdb584.npz,physical,plus,pool_gradient,True,True,True,True,39,239,2256,96,96,3021,1.0892448339727707,results/stage6_v1/legacy_b3/adaptive/cache/6dd5b7e849e33ce6256b74ffe632e8a2da1f1e52d73e8a035e2481791cc299ab.npz
windows,8,0.0,0.9,boundary_window,C0,631,True,4.691851707990281,11980,7344,3.364023779226909e-05,1.1316655987204094e-09,1.0,0.0,0.9999999999856737,0.0,-9.773287657866753,-9.773287658015985,1.865396725975188e-11,1.0288059825169782e-06,3.164099184882474e-07,1.91810022642791e-07,0.999999999977971,True,True,True,False,results/stage6_v1/reference_atlas/cache/9697841750af6fa601fde93ab5b38b1a3cc7fdd0e496e8825a8a9ebd234e89f1.npz,physical,ghz,budget,True,True,True,True,50,298,2400,127,128,2608,0.9124036249704659,results/stage6_v1/domain_wall_candidates/cache/46f3bdb105a1eee77e5cf2009792404b1e1dbba1bed3d169f662a7bd5c710234.npz
windows,8,0.0,0.9,boundary_window,H6,631,True,4.691851707990281,11980,7344,3.364023779226909e-05,1.1316655987204094e-09,1.0,0.0,0.9999999999856737,0.0,-9.773287657866753,-9.773287658015985,1.865396725975188e-11,1.0288059825169782e-06,3.164099184882474e-07,1.91810022642791e-07,0.999999999977971,True,True,True,False,results/stage6_v1/reference_atlas/cache/9697841750af6fa601fde93ab5b38b1a3cc7fdd0e496e8825a8a9ebd234e89f1.npz,physical,ghz,budget,True,True,True,True,50,298,2400,127,128,2608,0.9124036249704659,results/stage6_v1/domain_wall_candidates/cache/46f3bdb105a1eee77e5cf2009792404b1e1dbba1bed3d169f662a7bd5c710234.npz
windows,8,0.0,0.9,boundary_window,B3,631,True,2.8140263749519363,7838,6720,0.025427207588780643,0.000646542885762944,0.9999999999999994,0.0,0.9999857694183607,0.0,-9.773192096921077,-9.773287658015985,1.194513686342269e-05,0.0003874030678308049,0.0001715333599404678,7.262926366558009e-05,0.9999850517142063,True,True,True,False,results/stage6_v1/reference_atlas/cache/9697841750af6fa601fde93ab5b38b1a3cc7fdd0e496e8825a8a9ebd234e89f1.npz,physical,ghz,pool_gradient,True,True,True,True,35,219,1968,95,94,1880,0.506053916993551,results/stage6_v1/legacy_b3/adaptive/cache/352c971597ab2bb7c6e09b20dbb97c621afff845e000d068371ea39dd9507965.npz
windows,8,0.0,0.9125,boundary_window,C0,631,True,3.2987435000250116,9298,7440,3.818919281698168e-05,1.4584144480126048e-09,0.9999999999999996,0.0,0.999999999974807,0.0,-9.829253143160262,-9.829253143351817,2.3944402016695676e-11,1.4221391355651036e-06,6.552617139998773e-07,5.118786130520192e-07,0.9999999999718994,True,True,True,False,results/stage6_v1/reference_atlas/cache/bcb12c12f1422c6c7af6f4322505bb2b1de71295154ddadba3af5f25dace9fcb.npz,physical,ghz,budget,True,True,True,True,51,299,2448,127,129,2712,0.907465707976371,results/stage6_v1/domain_wall_candidates/cache/ddd731fb952c9e5bdde143600afd119e6da8920457282d579d2ebdd4f4508160.npz
windows,8,0.0,0.9125,boundary_window,H6,631,True,3.2987435000250116,9298,7440,3.818919281698168e-05,1.4584144480126048e-09,0.9999999999999996,0.0,0.999999999974807,0.0,-9.829253143160262,-9.829253143351817,2.3944402016695676e-11,1.4221391355651036e-06,6.552617139998773e-07,5.118786130520192e-07,0.9999999999718994,True,True,True,False,results/stage6_v1/reference_atlas/cache/bcb12c12f1422c6c7af6f4322505bb2b1de71295154ddadba3af5f25dace9fcb.npz,physical,ghz,budget,True,True,True,True,51,299,2448,127,129,2712,0.907465707976371,results/stage6_v1/domain_wall_candidates/cache/ddd731fb952c9e5bdde143600afd119e6da8920457282d579d2ebdd4f4508160.npz
windows,8,0.0,0.9125,boundary_window,B3,631,True,3.092841707926709,8623,6384,0.03236300109960827,0.001047363840173246,0.9999999999999993,0.0,0.9999855138637179,0.0,-9.82914456255384,-9.829253143351817,1.3572599747213587e-05,0.00017916286975605544,3.9189890528396054e-05,2.3215066762727332e-05,0.9999880396082932,True,True,True,False,results/stage6_v1/reference_atlas/cache/bcb12c12f1422c6c7af6f4322505bb2b1de71295154ddadba3af5f25dace9fcb.npz,physical,plus,pool_gradient,True,True,True,True,40,240,2160,96,104,2910,1.0481632909504697,results/stage6_v1/legacy_b3/adaptive/cache/a9c29daabee149cdac17bb1bebe8f965897854dffd00e6fb2ad6fbbb7596ac2b.npz
windows,8,0.0,0.925,boundary_window,C0,631,True,3.769307665992528,9248,7344,7.531474542366304e-05,5.672310878231173e-09,0.9999999999999989,0.0,0.9999999999256044,0.0,-9.88632791769608,-9.886327918322106,7.825318171228446e-11,2.6846098855060063e-07,1.0014043308470555e-07,1.57788946686388e-07,0.9999999999258249,True,True,True,False,results/stage6_v1/reference_atlas/cache/36f7e7c412f6616c8a692ae5cb0c4c9a1f59bde2c1213230e58651300ef96a90.npz,physical,ghz,budget,True,True,True,True,50,298,2400,127,140,2950,1.2348934580222704,results/stage6_v1/domain_wall_candidates/cache/d4d80f1edd058e701558bc57c8a405e518d93924359e5bba31a87b39da2a1135.npz
windows,8,0.0,0.925,boundary_window,H6,631,True,3.769307665992528,9248,7344,7.531474542366304e-05,5.672310878231173e-09,0.9999999999999989,0.0,0.9999999999256044,0.0,-9.88632791769608,-9.886327918322106,7.825318171228446e-11,2.6846098855060063e-07,1.0014043308470555e-07,1.57788946686388e-07,0.9999999999258249,True,True,True,False,results/stage6_v1/reference_atlas/cache/36f7e7c412f6616c8a692ae5cb0c4c9a1f59bde2c1213230e58651300ef96a90.npz,physical,ghz,budget,True,True,True,True,50,298,2400,127,140,2950,1.2348934580222704,results/stage6_v1/domain_wall_candidates/cache/d4d80f1edd058e701558bc57c8a405e518d93924359e5bba31a87b39da2a1135.npz
windows,8,0.0,0.925,boundary_window,B3,631,True,2.689845749991946,7805,6480,0.021781678961085467,0.00047444153836379325,1.0,0.0,0.9999915616724193,0.0,-9.886264958090035,-9.886327918322106,7.870029008927304e-06,0.00036307667011159506,7.51383683297302e-05,7.026601073523153e-05,0.9999910776908209,True,True,True,False,results/stage6_v1/reference_atlas/cache/36f7e7c412f6616c8a692ae5cb0c4c9a1f59bde2c1213230e58651300ef96a90.npz,physical,ghz,pool_gradient,True,True,True,True,36,220,2112,95,95,2360,0.6886989580234513,results/stage6_v1/legacy_b3/adaptive/cache/5c9bcaa86baf87baeea0bdeb4fd88c1c351b1f7a20452c648c7186d345bae89b.npz
windows,8,0.0,0.9375,boundary_window,C0,631,True,3.789111500023864,9919,7392,0.00011769000956138184,1.385093835055815e-08,0.9999999999999992,0.0,0.9999999998004394,0.0,-9.944507804228277,-9.944507805765936,1.9220736113823023e-10,9.107106861971914e-07,4.336138967886427e-07,2.969085566295604e-07,0.9999999998185078,True,True,True,False,results/stage6_v1/reference_atlas/cache/bd28ed3326af839e930483e6693206a82be98989873250db52015deca4e05cd8.npz,physical,ghz,budget,True,True,True,True,51,299,2448,127,147,3221,1.1535440410370938,results/stage6_v1/domain_wall_candidates/cache/edd472003c36694bb6ed89363d3313a8e0d4aaf808ef723938c5508286755fcd.npz
windows,8,0.0,0.9375,boundary_window,H6,631,True,3.789111500023864,9919,7392,0.00011769000956138184,1.385093835055815e-08,0.9999999999999992,0.0,0.9999999998004394,0.0,-9.944507804228277,-9.944507805765936,1.9220736113823023e-10,9.107106861971914e-07,4.336138967886427e-07,2.969085566295604e-07,0.9999999998185078,True,True,True,False,results/stage6_v1/reference_atlas/cache/bd28ed3326af839e930483e6693206a82be98989873250db52015deca4e05cd8.npz,physical,ghz,budget,True,True,True,True,51,299,2448,127,147,3221,1.1535440410370938,results/stage6_v1/domain_wall_candidates/cache/edd472003c36694bb6ed89363d3313a8e0d4aaf808ef723938c5508286755fcd.npz
windows,8,0.0,0.9375,boundary_window,B3,631,True,3.380513250012882,9447,6576,0.020799879898538157,0.0004326350037936117,0.9999999999999989,0.0,0.9999926433838133,0.0,-9.944451688936681,-9.944507805765936,7.014603656818608e-06,0.00035594328163846,7.560274681805979e-05,6.665895541069222e-05,0.9999922485052891,True,True,True,False,results/stage6_v1/reference_atlas/cache/bd28ed3326af839e930483e6693206a82be98989873250db52015deca4e05cd8.npz,physical,ghz,pool_gradient,True,True,True,True,36,220,2112,95,100,2338,0.695009040995501,results/stage6_v1/legacy_b3/adaptive/cache/039c3f5adce547a63b86c970bd54c26aa31306a1f4429ebca4f1720747748d10.npz
windows,8,0.0,0.95,boundary_window,C0,631,True,3.6301610419759527,9875,7392,0.00010724937943771331,1.1502429389774602e-08,0.9999999999999999,0.0,0.9999999998488154,0.0,-10.003786076622948,-10.003786077878125,1.5689716192923697e-10,4.0702766024303116e-07,1.2058139407800095e-07,2.3783952307621092e-07,0.9999999998557356,True,True,True,False,results/stage6_v1/reference_atlas/cache/d5f619445c5e0f811160c4becafcb1bdd41f912f6b735118d22baa319d580d6f.npz,physical,ghz,budget,True,True,True,True,49,297,2352,127,134,3477,1.2321246669744141,results/stage6_v1/domain_wall_candidates/cache/ad77fde5bd8e77cd5127e69b8ab514d79c9a18240fe12d991ca5f29006c26356.npz
windows,8,0.0,0.95,boundary_window,H6,631,True,3.6301610419759527,9875,7392,0.00010724937943771331,1.1502429389774602e-08,0.9999999999999999,0.0,0.9999999998488154,0.0,-10.003786076622948,-10.003786077878125,1.5689716192923697e-10,4.0702766024303116e-07,1.2058139407800095e-07,2.3783952307621092e-07,0.9999999998557356,True,True,True,False,results/stage6_v1/reference_atlas/cache/d5f619445c5e0f811160c4becafcb1bdd41f912f6b735118d22baa319d580d6f.npz,physical,ghz,budget,True,True,True,True,49,297,2352,127,134,3477,1.2321246669744141,results/stage6_v1/domain_wall_candidates/cache/ad77fde5bd8e77cd5127e69b8ab514d79c9a18240fe12d991ca5f29006c26356.npz
windows,8,0.0,0.95,boundary_window,B3,631,True,2.250521792040672,6797,6240,0.020992547191978777,0.00044068703760745604,0.9999999999999989,0.0,0.9999950167161455,0.0,-10.003728825107608,-10.003786077878125,7.15659631467247e-06,0.00040152529696513284,6.889220844186195e-05,5.401526127379874e-06,0.9999921439079396,True,True,True,False,results/stage6_v1/reference_atlas/cache/d5f619445c5e0f811160c4becafcb1bdd41f912f6b735118d22baa319d580d6f.npz,physical,antiphase,pool_gradient,True,True,True,True,37,231,2064,96,105,1960,0.695180042006541,results/stage6_v1/legacy_b3/adaptive/cache/ff7dcf76f59998aec9cb33694346ca3cbc66c212c9dd86bdf5a1171ecb2e719e.npz
windows,8,0.0,0.9625,boundary_window,C0,631,True,4.278427127050236,11634,7392,0.0062875580585386795,3.9533386339494686e-05,0.9999999999999994,0.0,0.9999995959440859,0.0,-10.06414942928436,-10.06415348294749,5.067078912013301e-07,5.620217492074975e-05,1.940274234191186e-05,5.9214968591847494e-06,0.9999995701325315,True,True,True,False,results/stage6_v1/reference_atlas/cache/1835dd8fe7528e7d4170a4de90f8fafa469111c09b432093e4a88edcc9306b60.npz,physical,ghz,budget,False,False,True,True,50,298,2400,127,135,3622,1.3153129590209574,results/stage6_v1/domain_wall_candidates/cache/91813606ac0ba47929e8ecabe8df770d701c6477bcf518ccf10cc0cb12982dcb.npz
windows,8,0.0,0.9625,boundary_window,H6,631,True,4.278427127050236,11634,7392,0.0062875580585386795,3.9533386339494686e-05,0.9999999999999994,0.0,0.9999995959440859,0.0,-10.06414942928436,-10.06415348294749,5.067078912013301e-07,5.620217492074975e-05,1.940274234191186e-05,5.9214968591847494e-06,0.9999995701325315,True,True,True,False,results/stage6_v1/reference_atlas/cache/1835dd8fe7528e7d4170a4de90f8fafa469111c09b432093e4a88edcc9306b60.npz,physical,ghz,budget,False,False,True,True,50,298,2400,127,135,3622,1.3153129590209574,results/stage6_v1/domain_wall_candidates/cache/91813606ac0ba47929e8ecabe8df770d701c6477bcf518ccf10cc0cb12982dcb.npz
windows,8,0.0,0.9625,boundary_window,B3,631,True,2.689315751020331,7981,6288,0.060026049595988784,0.0036031266301001052,0.9999999999999997,0.0,0.999956353437114,0.0,-10.063752556625179,-10.06415348294749,5.011579028879609e-05,0.0006360273457818311,0.00010510907441591,2.6369812035298423e-05,0.9999519901471363,True,True,True,False,results/stage6_v1/reference_atlas/cache/1835dd8fe7528e7d4170a4de90f8fafa469111c09b432093e4a88edcc9306b60.npz,physical,ghz,pool_gradient,True,True,True,True,36,220,2208,95,90,3314,1.0511901249992661,results/stage6_v1/legacy_b3/adaptive/cache/e59562d5d8b51421208ba227b43a5d19c6d48d873680d9968696745512a0541f.npz
windows,8,0.0,0.975,boundary_window,C0,631,True,4.251445248955861,11483,7440,0.0064077511498287715,4.1059274798131943e-05,1.0000000000000002,0.0,0.9999995869747291,0.0,-10.12559413405867,-10.125598312433832,5.222968952889318e-07,4.4005938380053955e-05,1.0822238023955322e-05,3.4114132518858753e-07,0.9999995607032909,True,True,True,False,results/stage6_v1/reference_atlas/cache/d22646d9c553eac1ace85d192631c89821e01bd02303df0f0a65877cd790e985.npz,physical,ghz,budget,False,False,True,True,50,298,2400,127,135,3768,1.3564219580148347,results/stage6_v1/domain_wall_candidates/cache/2cd630d7d95245dc7db211f3cf07ccd77e3888ab0fdbc6ad17c1f2c05805eecc.npz
