kappa,h,v1_status,status,K_conflict_sizes,solver_stops,strict_bond_initial
0.8,0.1,antiphase_compatible_incomplete_controls,antiphase_compatible_incomplete_controls,,False,False
0.8,0.15,antiphase_compatible_incomplete_controls,antiphase_compatible_incomplete_controls,,False,False
0.8,0.2,antiphase_compatible_incomplete_controls,antiphase_compatible_incomplete_controls,,False,False
0.8,0.25,antiphase_compatible_incomplete_controls,antiphase_compatible_incomplete_controls,,False,False
0.8,0.3,supported_antiphase_sample,supported_antiphase_sample,,True,True
0.8,0.3125,finite_size_crossover_unresolved,finite_size_crossover_unresolved,,False,False
0.8,0.325,finite_size_crossover_unresolved,finite_size_crossover_unresolved,,False,False
0.8,0.3375,finite_size_crossover_unresolved,finite_size_crossover_unresolved,,False,False
0.8,0.35,finite_size_crossover_unresolved,finite_size_crossover_unresolved,,False,False
0.8,0.375,finite_size_crossover_unresolved,finite_size_crossover_unresolved,,False,False
0.8,0.4,candidate_floating_missing_convergence_or_size_controls,candidate_floating_missing_convergence_or_size_controls,160,True,True
0.8,0.425,candidate_floating_missing_convergence_or_size_controls,candidate_floating_missing_convergence_or_size_controls,,False,False
0.8,0.45,finite_size_crossover_unresolved,finite_size_crossover_unresolved,,True,True
0.8,0.475,supported_floating_sample,finite_size_crossover_unresolved,96,True,True
0.8,0.4875,finite_size_crossover_unresolved,finite_size_crossover_unresolved,96;128,False,False
0.8,0.5,finite_size_crossover_unresolved,finite_size_crossover_unresolved,96,True,True
0.8,0.525,finite_size_crossover_unresolved,finite_size_crossover_unresolved,,True,True
0.8,0.55,finite_size_crossover_unresolved,finite_size_crossover_unresolved,,True,True
0.8,0.6,finite_size_crossover_unresolved,finite_size_crossover_unresolved,,True,True
0.8,0.65,finite_size_crossover_unresolved,finite_size_crossover_unresolved,,False,False
0.8,0.7,supported_paramagnetic_side_sample,supported_paramagnetic_side_sample,,True,True
0.8,0.75,paramagnetic_compatible_incomplete_controls,paramagnetic_compatible_incomplete_controls,,False,False
0.8,0.8,paramagnetic_compatible_incomplete_controls,paramagnetic_compatible_incomplete_controls,,False,False
