kappa,h,status,all_controls,solver_stops,strict_bond_initial,Ns
0.8,0.1,antiphase_compatible_incomplete_controls,False,False,False,64
0.8,0.15,antiphase_compatible_incomplete_controls,False,False,False,64
0.8,0.2,antiphase_compatible_incomplete_controls,False,False,False,64
0.8,0.25,antiphase_compatible_incomplete_controls,False,False,False,64
0.8,0.3,supported_antiphase_sample,True,True,True,64;96;128
0.8,0.3125,finite_size_crossover_unresolved,False,False,False,96;128
0.8,0.325,finite_size_crossover_unresolved,True,False,False,96;128
0.8,0.3375,finite_size_crossover_unresolved,False,False,False,96;128
0.8,0.35,finite_size_crossover_unresolved,True,False,False,64;96;128
0.8,0.375,finite_size_crossover_unresolved,False,False,False,96;128
0.8,0.4,candidate_floating_missing_convergence_or_size_controls,True,True,True,64;96;128;160
0.8,0.425,candidate_floating_missing_convergence_or_size_controls,True,True,True,96;128;160
0.8,0.45,finite_size_crossover_unresolved,True,True,True,64;96;128
0.8,0.475,finite_size_crossover_unresolved,True,True,True,96;128
0.8,0.4875,finite_size_crossover_unresolved,False,False,False,96;128
0.8,0.5,finite_size_crossover_unresolved,True,True,True,64;96;128;192
0.8,0.525,finite_size_crossover_unresolved,True,True,True,96;128
0.8,0.55,finite_size_crossover_unresolved,True,True,True,64;96;128
0.8,0.6,finite_size_crossover_unresolved,True,True,True,64;96;128
0.8,0.65,finite_size_crossover_unresolved,False,False,False,64
0.8,0.7,supported_paramagnetic_side_sample,True,True,True,64;96;128
0.8,0.75,paramagnetic_compatible_incomplete_controls,False,False,False,64
0.8,0.8,paramagnetic_compatible_incomplete_controls,False,False,False,64
