task,n,kappa,h,region,method,seed,candidate_pool_exists,search_seconds_standalone,search_nfev,search_pool_gradient_evaluations,state_energy_residual,energy_variance,parity_real,parity_imag,translation_real,translation_imag,energy,ed_energy,delta_e,epsilon_c,epsilon_sf,epsilon_mx,fidelity,observable_pass,state_pass,joint_pass,reference_numerical_ambiguous,ed_source,basis,reference,source_stop,optimizer_success,reported_optimizer_success,optimization_applicable,candidate_exists,parameter_count,gate_count,pool_gradient_evaluations,cnots,depth,nfev,seconds,source
n12,12,0.083,0.085,interior,C0,631,True,5.315253292035777,2871,10080,0.0048778332682753184,2.3793257393093476e-05,0.9999999999999973,0.0,0.9999987534050125,0.0,-11.027646425548609,-11.027653547149336,5.934667273166383e-07,4.119224727094917e-06,3.4019242109994963e-06,2.8234732016393926e-05,0.9999978497777614,True,True,True,False,results/stage6_v1/reference_atlas/cache/b21a4467de2b9b4fb341e28257f3c9a10160e9665a385862faf294072bde0e24.npz,physical,ghz,budget,True,True,True,True,19,135,2952,63,46,513,0.8464105000020936,results/stage6_v1/domain_wall_candidates/cache/41f93e7d3a0d733e74dacd409b5b4b123c3a86aad131d48f925845afaf59cccd.npz
n12,12,0.083,0.085,interior,C1,631,True,10.252942499995697,6597,9504,0.004867512415177889,2.3692677111910882e-05,0.9999999999999972,0.0,0.9999979417829241,0.0,-11.02764646736911,-11.027653547149336,5.899816855799619e-07,4.1020306207339985e-06,3.3864574000563863e-06,2.798849177285817e-05,0.9999978678918173,True,True,True,False,results/stage6_v1/reference_atlas/cache/b21a4467de2b9b4fb341e28257f3c9a10160e9665a385862faf294072bde0e24.npz,physical,ghz,budget,True,True,True,True,19,135,3096,63,83,1904,2.891729333961848,results/stage6_v1/domain_wall_candidates/cache/e5ab216186b5edd12f644904f7c07b4d4946141515129f7348b77f6be6100e45.npz
n12,12,0.083,0.085,interior,H6,631,True,5.315253292035777,2871,10080,0.0048778332682753184,2.3793257393093476e-05,0.9999999999999973,0.0,0.9999987534050125,0.0,-11.027646425548609,-11.027653547149336,5.934667273166383e-07,4.119224727094917e-06,3.4019242109994963e-06,2.8234732016393926e-05,0.9999978497777614,True,True,True,False,results/stage6_v1/reference_atlas/cache/b21a4467de2b9b4fb341e28257f3c9a10160e9665a385862faf294072bde0e24.npz,physical,ghz,budget,True,True,True,True,19,135,2952,63,46,513,0.8464105000020936,results/stage6_v1/domain_wall_candidates/cache/41f93e7d3a0d733e74dacd409b5b4b123c3a86aad131d48f925845afaf59cccd.npz
n12,12,0.083,0.085,interior,B3,631,True,5.177717916027177,2417,7992,0.004876344226095723,2.37787330113771e-05,0.9999999999999962,0.0,0.9999983431410187,0.0,-11.027646426889419,-11.027653547149336,5.933549931391724e-07,4.118447362477795e-06,3.4010688685359725e-06,2.8226963508272418e-05,0.9999978503061946,True,True,True,False,results/stage6_v1/reference_atlas/cache/b21a4467de2b9b4fb341e28257f3c9a10160e9665a385862faf294072bde0e24.npz,physical,ghz,pool_gradient,True,True,True,True,19,135,1728,63,50,153,0.16710137500194833,results/stage6_v1/legacy_b3/adaptive/cache/1bd1fb677e398d0cd4be93557b063847a7cb29a346cce93c225583f4ced8c9c8.npz
n12,12,0.083,1.675,interior,C0,631,True,23.582765416998882,9642,12168,0.02360329272076767,0.0005571154272622441,0.9999999999999959,0.0,0.9999963711271167,0.0,-21.81329997018538,-21.81336913606645,5.763823422396304e-06,0.0021696795437219476,0.0008616244607202173,3.455692467713156e-05,0.9999875898076493,True,True,True,False,results/stage6_v1/reference_atlas/cache/364866f632c6c909e38eec35e6a7e77d0f235a16a85afbb6e2601ebe96d56c8a.npz,physical,plus,budget,False,False,True,True,58,326,4176,128,89,4792,11.628785333014093,results/stage6_v1/domain_wall_candidates/cache/b1969ddd7ecfa1d25e4eca8fad92ea27eed78ad37a066d89a2dfb95784b21642.npz
n12,12,0.083,1.675,interior,C1,631,True,44.78147187503055,20543,11448,0.02979981311458848,0.0008880288616643995,0.9999999999999976,0.0,0.9999936937311087,0.0,-21.81326165756459,-21.81336913606645,8.95654182168452e-06,0.002105495079867314,0.0010458495707927062,6.125184656680105e-05,0.9999812833251258,True,True,True,False,results/stage6_v1/reference_atlas/cache/364866f632c6c909e38eec35e6a7e77d0f235a16a85afbb6e2601ebe96d56c8a.npz,physical,ghz,budget,True,True,True,True,52,296,3744,127,107,5358,10.745320874964818,results/stage6_v1/domain_wall_candidates/cache/ef256d2d54b2effc9b5406db99bd5957bbcffe768e862459c61f5b405b3c765e.npz
n12,12,0.083,1.675,interior,H6,631,True,23.582765416998882,9642,12168,0.02360329272076767,0.0005571154272622441,0.9999999999999959,0.0,0.9999963711271167,0.0,-21.81329997018538,-21.81336913606645,5.763823422396304e-06,0.0021696795437219476,0.0008616244607202173,3.455692467713156e-05,0.9999875898076493,True,True,True,False,results/stage6_v1/reference_atlas/cache/364866f632c6c909e38eec35e6a7e77d0f235a16a85afbb6e2601ebe96d56c8a.npz,physical,plus,budget,False,False,True,True,58,326,4176,128,89,4792,11.628785333014093,results/stage6_v1/domain_wall_candidates/cache/b1969ddd7ecfa1d25e4eca8fad92ea27eed78ad37a066d89a2dfb95784b21642.npz
n12,12,0.083,1.675,interior,B3,631,True,25.116334084013943,9395,12024,0.03135130119264313,0.0009829040864718264,0.9999999999999957,0.0,0.9999935470935539,0.0,-21.81325564224911,-21.81336913606645,9.457818111494968e-06,0.0022795973940818166,0.0011640593038244884,6.611341648188329e-05,0.9999810044800372,True,True,True,False,results/stage6_v1/reference_atlas/cache/364866f632c6c909e38eec35e6a7e77d0f235a16a85afbb6e2601ebe96d56c8a.npz,physical,plus,budget,True,True,True,True,48,252,4176,96,67,4830,13.834312334016431,results/stage6_v1/legacy_b3/adaptive/cache/679cdf3861305557240afd98a6f542ff09a23823923843808b3ddac452cc5069.npz
n12,12,0.183,0.085,interior,C0,631,True,9.441680916002952,4710,10512,0.0017246056318437632,2.9742645853872256e-06,0.9999999999999951,0.0,0.9999999559439876,0.0,-9.83056438432299,-9.830565192892129,6.73807615629111e-08,8.117193037726622e-07,6.355713489947235e-07,4.354101737519267e-06,0.9999997279621157,True,True,True,False,results/stage6_v1/reference_atlas/cache/70dde4192960f9ec67ab2b35b07faec046e30322ee04130df66aaf7896b2d506.npz,physical,ghz,budget,True,True,True,True,30,210,3024,95,58,530,0.9444521659752354,results/stage6_v1/domain_wall_candidates/cache/05e0ff02f21a81010dac2e94c55a332163980e95ff7003ef81a67ec5333138a7.npz
n12,12,0.183,0.085,interior,C1,631,True,17.539770749979652,11274,10152,0.0015565541890171027,2.42286094334669e-06,0.9999999999999969,0.0,0.9999999808641298,0.0,-9.83056454163367,-9.830565192892129,5.427153822642102e-08,7.065022047392233e-07,5.57141861090571e-07,3.5152168220767277e-06,0.9999997823009926,True,True,True,False,results/stage6_v1/reference_atlas/cache/70dde4192960f9ec67ab2b35b07faec046e30322ee04130df66aaf7896b2d506.npz,physical,ghz,budget,True,True,True,True,31,211,3024,95,99,2219,3.2275685000349768,results/stage6_v1/domain_wall_candidates/cache/0d31a81bc23891b03c680bb4d9c688b1e076f4923b6026d099cd29d4f305e4f2.npz
