task,n,kappa,h,region,method,seed,candidate_pool_exists,search_seconds_standalone,search_nfev,search_pool_gradient_evaluations,state_energy_residual,energy_variance,parity_real,parity_imag,translation_real,translation_imag,energy,ed_energy,delta_e,epsilon_c,epsilon_sf,epsilon_mx,fidelity,observable_pass,state_pass,joint_pass,reference_numerical_ambiguous,ed_source,basis,reference,source_stop,optimizer_success,reported_optimizer_success,optimization_applicable,candidate_exists,parameter_count,gate_count,pool_gradient_evaluations,cnots,depth,nfev,seconds,source
n12_window,12,0.55,0.01,N12_antiphase_response_window,C0,631,True,18.0382061250275,8943,11448,0.0002981473344965786,8.889183306741473e-08,1.0,0.0,0.9999999849264116,0.0,-6.600545489029243,-6.60054557335426,7.027084765927801e-09,1.794966790757968e-07,7.415029140700469e-08,2.906832738024806e-06,0.9999998308261295,True,True,True,False,results/stage6_v1/reference_atlas/cache/f2e4d6819eba2c1697f5dc0085f1b2b0dcabe794cb2dbb9b529fd272aff5a326.npz,physical,antiphase,budget,True,True,True,True,37,231,3600,96,105,410,0.782407000020612,results/stage6_v1/domain_wall_candidates/cache/4cc4fabfa3d3a9b371d15ac32861dbf8e207a4c214e93586be8bb1d58340afb0.npz
n12_window,12,0.55,0.01,N12_antiphase_response_window,C1,631,True,46.945716957969125,24056,9576,0.00034336371259786555,1.1789863912898961e-07,1.0000000000000044,0.0,0.9999999781834336,0.0,-6.600545461166259,-6.60054557335426,9.34900009260294e-09,2.1398539873374034e-07,8.817442093134176e-08,3.7430579229447147e-06,0.9999997746088123,True,True,True,False,results/stage6_v1/reference_atlas/cache/f2e4d6819eba2c1697f5dc0085f1b2b0dcabe794cb2dbb9b529fd272aff5a326.npz,physical,antiphase,energy_stagnation,True,True,True,True,21,135,1512,56,47,509,0.44857129099546,results/stage6_v1/domain_wall_candidates/cache/f35de6522eabd45883c80658bd1c0cfd859db3a4b847e53be83d566971c316fb.npz
n12_window,12,0.55,0.01,N12_antiphase_response_window,H6,631,True,182.1842341250158,62139,35025,0.00017327017674491653,3.0022554149214615e-08,1.0000000000000004,0.0,1.3318361628592322e-12,0.0,-6.600545561880621,-6.60054557335426,9.561366513347973e-10,1.1550533307591593e-08,3.966010020395316e-09,3.94963712256613e-07,0.4999999973382314,True,False,False,False,results/stage6_v1/reference_atlas/cache/f2e4d6819eba2c1697f5dc0085f1b2b0dcabe794cb2dbb9b529fd272aff5a326.npz,wall,alternating,energy_stagnation,True,True,True,False,27,182,2349,55,39,823,0.7451473330147564,results/stage6_v1/domain_wall_candidates/cache/d294c5551e25cc32001b7627cd1877562831d22ed114a8829d4fbd7e109040b8.npz
n12_window,12,0.55,0.01,N12_antiphase_response_window,B3,631,True,29.890493000042625,12815,8928,0.03464101615137754,0.0011999999999999995,0.9999999999999996,0.0,0.9999999999999996,0.0,-6.599999999999997,-6.60054557335426,4.546444618861815e-05,8.289228512903257e-05,3.453756090832094e-05,0.009094872879763715,0.9997516691864734,True,True,True,False,results/stage6_v1/reference_atlas/cache/f2e4d6819eba2c1697f5dc0085f1b2b0dcabe794cb2dbb9b529fd272aff5a326.npz,physical,antiphase,pool_gradient,,True,False,True,0,22,864,10,11,53,0.08110933302668855,results/stage6_v1/legacy_b3/adaptive/cache/00771911d7a9f8e4cbb43682d4b953bc34ea8d05f1d1c6a6a019b1e8feb3dbb4.npz
n12_window,12,0.55,0.0125,N12_antiphase_response_window,C0,631,True,28.734880458039697,13227,11592,0.0005747493806834807,3.303368505960446e-07,1.0000000000000024,0.0,0.9999999432890316,0.0,-6.600852295319818,-6.600852563076873,2.2313087895871792e-08,5.301950315450554e-07,2.1959093654544404e-07,6.895245281593465e-06,0.9999994406758281,True,True,True,False,results/stage6_v1/reference_atlas/cache/6174588bc66b5af47d9fa5eefb85daf90ede7e81565dd5b0aaf3815db302a0bb.npz,physical,antiphase,budget,True,True,True,True,25,155,3528,64,70,448,0.8197781250346452,results/stage6_v1/domain_wall_candidates/cache/ce0f26321b7de5278bdb074fdded3ebee82639821f767ad8cb7a903e4a183b98.npz
n12_window,12,0.55,0.0125,N12_antiphase_response_window,C1,631,True,43.65485745802289,24375,9000,0.0005666755513698494,3.211211805203228e-07,1.0000000000000064,0.0,0.9999999989537762,0.0,-6.600852245224579,-6.600852563076873,2.6487691151544368e-08,6.202422029311094e-07,2.559737339868917e-07,8.48726935544046e-06,0.9999993430138614,True,True,True,False,results/stage6_v1/reference_atlas/cache/6174588bc66b5af47d9fa5eefb85daf90ede7e81565dd5b0aaf3815db302a0bb.npz,physical,antiphase,energy_stagnation,True,True,True,True,15,97,1080,40,33,337,0.2499627080396749,results/stage6_v1/domain_wall_candidates/cache/f4b58d166ad789b78de226a43590da29fb2deca11549bdb7647ba81921e28929.npz
n12_window,12,0.55,0.0125,N12_antiphase_response_window,H6,631,True,155.78164204099448,55733,36996,0.00026248124546068044,6.889640421858997e-08,1.0000000000000056,0.0,7.278328261821848e-12,0.0,-6.600852536912043,-6.600852563076873,2.1804024511832645e-09,2.588212688614533e-08,9.031084657884492e-09,6.851748852888112e-07,0.49999999366534226,True,False,False,False,results/stage6_v1/reference_atlas/cache/6174588bc66b5af47d9fa5eefb85daf90ede7e81565dd5b0aaf3815db302a0bb.npz,wall,alternating,energy_stagnation,True,True,True,False,34,207,2958,59,46,1062,1.1435779579915106,results/stage6_v1/domain_wall_candidates/cache/4307e264b2f506e6e853fe2b715a1e5ce8a088206a49d474f93ec78bdcc58800.npz
n12_window,12,0.55,0.0125,N12_antiphase_response_window,B3,631,True,9.694946167001035,4658,6264,0.04330127018922192,0.0018749999999999988,0.9999999999999996,0.0,0.9999999999999996,0.0,-6.599999999999997,-6.600852563076873,7.104692307298895e-05,0.0001297385727716538,5.405550969045381e-05,0.01137138976189802,0.9996116320882036,True,True,True,False,results/stage6_v1/reference_atlas/cache/6174588bc66b5af47d9fa5eefb85daf90ede7e81565dd5b0aaf3815db302a0bb.npz,physical,antiphase,pool_gradient,,True,False,True,0,22,864,10,11,57,0.10215154197067022,results/stage6_v1/legacy_b3/adaptive/cache/5449b72277a8cd4b7e36e672035e4550607fdd771997001afa23aac8e888729f.npz
n12_window,12,0.55,0.025,N12_antiphase_response_window,C0,631,True,15.581666374986526,8604,11304,0.0019274581524624103,3.715094929493808e-06,1.0000000000000058,0.0,0.999999131761705,0.0,-6.603409837416532,-6.603413776392968,3.2824803638161387e-07,8.296106546512583e-06,3.4223200148786326e-06,5.288830197139327e-05,0.9999913925304352,True,True,True,False,results/stage6_v1/reference_atlas/cache/31e2f23c9c0225b109e42de4825fba1b9ffc822289a1961d0d558a6502650054.npz,physical,antiphase,budget,True,True,True,True,25,155,3456,64,66,823,1.322024707973469,results/stage6_v1/domain_wall_candidates/cache/5ff64d250ed0a610f5ec5ec7a6cc37f72b54a7c4a1a609ea471ba33193e6fe2a.npz
n12_window,12,0.55,0.025,N12_antiphase_response_window,C1,631,True,46.36821137496736,26152,11304,0.0014242883855231777,2.02859740513622e-06,0.9999999999999952,0.0,0.9999992336841408,0.0,-6.603412642887313,-6.603413776392968,9.445880462995622e-08,1.9829370845325656e-06,7.832580277700174e-07,1.6353286213629387e-05,0.9999987596763997,True,True,True,False,results/stage6_v1/reference_atlas/cache/31e2f23c9c0225b109e42de4825fba1b9ffc822289a1961d0d558a6502650054.npz,physical,antiphase,budget,True,True,True,True,48,306,3456,128,117,2855,4.382076875015628,results/stage6_v1/domain_wall_candidates/cache/6725c2ec23b90ef0470af5aaa6093ca14f0950ac3447a1c803f9ec9f200e4c54.npz
