kappa,method,coordinates,joint_pass,observable_pass,state_pass,candidate_exists,median_CNOT,search_nfev
0.4,B3,12,10,10,12,11,47.0,149062
0.4,C0,12,9,9,12,10,112.0,161727
0.4,H6,12,12,12,12,12,95.0,1090698
0.425,B3,12,10,10,11,10,63.5,167063
0.425,C0,12,10,10,11,10,128.0,198047
0.425,H6,12,12,12,12,12,111.0,1136874
0.45,B3,12,9,9,10,9,111.0,176474
0.45,C0,12,8,8,10,9,128.0,196640
0.45,H6,12,12,12,12,12,111.0,1157380
0.475,B3,12,8,8,10,8,128.0,168373
0.475,C0,12,9,9,9,9,128.0,201342
0.475,H6,12,12,12,12,12,127.0,1214856
0.5,B3,12,3,3,6,3,127.5,191945
0.5,C0,12,2,2,4,2,127.5,217684
0.5,H6,12,11,11,11,11,127.0,1378467
0.525,B3,12,10,10,10,10,128.0,173912
0.525,C0,12,6,8,6,8,128.0,191028
0.525,H6,12,7,11,8,11,127.0,1242870
0.55,B3,12,7,7,8,7,95.5,160708
0.55,C0,12,4,5,7,5,128.0,163732
0.55,H6,12,3,6,6,8,127.0,1204395
0.575,B3,12,7,7,8,7,48.0,159500
0.575,C0,12,6,7,7,7,128.0,164450
0.575,H6,12,4,7,7,7,127.0,1293323
0.6,B3,12,8,8,8,8,32.0,154166
0.6,C0,12,8,8,8,8,128.0,159146
0.6,H6,12,5,8,6,8,127.5,1246471
