n,kappa,feature,level,bc,resolvable,low,high,position,all_peaks,competing,physical_interpretation,reference_numerical_ambiguous_count
8,0.0,minus_dm0_dh,RN,PBC,True,0.95,1.0,0.975,"[{'index': 24, 'coordinate': 0.975, 'value': 0.9677755222561393, 'interval_low': 0.95, 'interval_high': 1.0, 'endpoint': False, 'step': 0.04999999999999993}]",[],"Finite-size named feature only; C and SF are Fourier-related, not independent evidence",0
8,0.0,minus_dmap_dh,RN,PBC,False,,,,"[{'index': 0, 'coordinate': 0.07500000000000001, 'value': -0.004709516271574343, 'interval_low': 0.05, 'interval_high': 0.1, 'endpoint': True, 'step': 0.04999999999999993}, {'index': 44, 'coordinate': 1.975, 'value': -0.019880857347080987, 'interval_low': 1.95, 'interval_high': 2.0, 'endpoint': True, 'step': 0.04999999999999993}]",[],"Finite-size named feature only; C and SF are Fourier-related, not independent evidence",0
8,0.0,dmx_dh,RN,PBC,True,0.8875,0.9,0.89375,"[{'index': 19, 'coordinate': 0.89375, 'value': 0.8887340581476574, 'interval_low': 0.8875, 'interval_high': 0.9, 'endpoint': False, 'step': 0.04999999999999993}]",[],"Finite-size named feature only; C and SF are Fourier-related, not independent evidence",0
8,0.0,chi_f,RN,PBC,True,0.9125,0.925,0.91875,"[{'index': 21, 'coordinate': 0.91875, 'value': 1.906003180764822, 'interval_low': 0.9125, 'interval_high': 0.925, 'endpoint': False, 'step': 0.04999999999999993}]",[],"Finite-size named feature only; C and SF are Fourier-related, not independent evidence",0
8,0.1,minus_dm0_dh,RN,PBC,True,0.8,0.85,0.825,"[{'index': 21, 'coordinate': 0.825, 'value': 1.2037129548986518, 'interval_low': 0.8, 'interval_high': 0.85, 'endpoint': False, 'step': 0.04999999999999993}]",[],"Finite-size named feature only; C and SF are Fourier-related, not independent evidence",0
8,0.1,minus_dmap_dh,RN,PBC,False,,,,"[{'index': 0, 'coordinate': 0.07500000000000001, 'value': -0.005836996717885068, 'interval_low': 0.05, 'interval_high': 0.1, 'endpoint': True, 'step': 0.04999999999999993}, {'index': 44, 'coordinate': 1.975, 'value': -0.01584819117961321, 'interval_low': 1.95, 'interval_high': 2.0, 'endpoint': True, 'step': 0.04999999999999993}]",[],"Finite-size named feature only; C and SF are Fourier-related, not independent evidence",0
8,0.1,dmx_dh,RN,PBC,True,0.75,0.7625,0.75625,"[{'index': 17, 'coordinate': 0.75625, 'value': 1.0696850196052703, 'interval_low': 0.75, 'interval_high': 0.7625, 'endpoint': False, 'step': 0.04999999999999993}]",[],"Finite-size named feature only; C and SF are Fourier-related, not independent evidence",0
8,0.1,chi_f,RN,PBC,True,0.7625,0.775,0.76875,"[{'index': 18, 'coordinate': 0.76875, 'value': 2.882366168058833, 'interval_low': 0.7625, 'interval_high': 0.775, 'endpoint': False, 'step': 0.04999999999999993}]",[],"Finite-size named feature only; C and SF are Fourier-related, not independent evidence",0
8,0.2,minus_dm0_dh,RN,PBC,True,0.6375,0.65,0.64375,"[{'index': 17, 'coordinate': 0.64375, 'value': 1.6485851879425617, 'interval_low': 0.6375, 'interval_high': 0.65, 'endpoint': False, 'step': 0.04999999999999993}]",[],"Finite-size named feature only; C and SF are Fourier-related, not independent evidence",0
8,0.2,minus_dmap_dh,RN,PBC,False,,,,"[{'index': 0, 'coordinate': 0.07500000000000001, 'value': -0.007454619567797138, 'interval_low': 0.05, 'interval_high': 0.1, 'endpoint': True, 'step': 0.04999999999999993}, {'index': 44, 'coordinate': 1.975, 'value': -0.01227979507352982, 'interval_low': 1.95, 'interval_high': 2.0, 'endpoint': True, 'step': 0.04999999999999993}]",[],"Finite-size named feature only; C and SF are Fourier-related, not independent evidence",0
8,0.2,dmx_dh,RN,PBC,True,0.6,0.6125,0.60625,"[{'index': 14, 'coordinate': 0.60625, 'value': 1.3744842044512777, 'interval_low': 0.6, 'interval_high': 0.6125, 'endpoint': False, 'step': 0.04999999999999993}]",[],"Finite-size named feature only; C and SF are Fourier-related, not independent evidence",0
8,0.2,chi_f,RN,PBC,True,0.6125,0.625,0.61875,"[{'index': 15, 'coordinate': 0.61875, 'value': 5.1442735370322215, 'interval_low': 0.6125, 'interval_high': 0.625, 'endpoint': False, 'step': 0.04999999999999993}]",[],"Finite-size named feature only; C and SF are Fourier-related, not independent evidence",0
