n,kappa,h,label,level,evidence,source,bc
8,0.0,0.05,ferro-like,R0,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",results/stage6_v1/reference_atlas/cache/d59c6fbcff98b4dbb3c67b85cc17287afab124717e3b8894fe9819b9ffa88eb0.npz,PBC
8,0.0,0.1,ferro-like,R0,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",results/stage6_v1/reference_atlas/cache/82cf3386ad2f420257ba72c48516fcf41555968ab842b526cb301635d0b95e47.npz,PBC
8,0.0,0.15,ferro-like,R0,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",results/stage6_v1/reference_atlas/cache/4fc83cb73416837c8ba605e84e16813fa8284165ca96139bf8f61a79af501464.npz,PBC
8,0.0,0.2,ferro-like,R0,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",results/stage6_v1/reference_atlas/cache/f77aa84af804bdece0db891cc93f341001f9939419b06572c1990a3e27216f9b.npz,PBC
8,0.0,0.25,ferro-like,R0,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",results/stage6_v1/reference_atlas/cache/13a232fb1d321d14c6ac13faac7c5bba0e9ace034926f1c552e941c27792e717.npz,PBC
8,0.0,0.3,ferro-like,R0,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",results/stage6_v1/reference_atlas/cache/cb8caa0f449baefdd2ed30705f9abd0549fb2844b4a511f19632924a6758dcbf.npz,PBC
8,0.0,0.35,ferro-like,R0,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",results/stage6_v1/reference_atlas/cache/dac3b12f40b02e89567948040442043b895206f09346fbac14cd751dcd1dfc9c.npz,PBC
8,0.0,0.4,ferro-like,R0,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",results/stage6_v1/reference_atlas/cache/64f135ef6743361af17ba1a84bc0924859527d5effa6fef1b0bcd2ea0052cc9e.npz,PBC
8,0.0,0.45,ferro-like,R0,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",results/stage6_v1/reference_atlas/cache/8f26fd79898e5ba5b8faffbe38d43839ce9d8202b25e4a6cef10fb5c6b4f3e1e.npz,PBC
8,0.0,0.5,ferro-like,R0,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",results/stage6_v1/reference_atlas/cache/b587d19f5d6a0122f29645a9687b0b0f233b44bccd4776573dd66a39eca81927.npz,PBC
8,0.0,0.55,ferro-like,R0,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",results/stage6_v1/reference_atlas/cache/c1b85d61ad0c1dc834515458ad71d2be763d9b89f81cccb2ce9f6ae34a64e89b.npz,PBC
8,0.0,0.6,ferro-like,R0,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",results/stage6_v1/reference_atlas/cache/ad55d3943131467bdd7831e14c72c2f7fc98007602c48e89b3fb0d6fff5d93dc.npz,PBC
8,0.0,0.65,ferro-like,R0,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",results/stage6_v1/reference_atlas/cache/5c3911ff5e87fdbf100af6b903008df53efd6d76efeb1196707db860498f0f3b.npz,PBC
8,0.0,0.7,ferro-like,R0,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",results/stage6_v1/reference_atlas/cache/9abacfa488a3a3e1c0c43b9bb5b9aa37467d24af05b35b13f358a662f8da297a.npz,PBC
8,0.0,0.75,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/2b6dd1c6f00de90815dbd5a8f728958a85d94a6a2ed5d1bf8711948d663429ba.npz,PBC
8,0.0,0.8,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/80f3b1540ecfe9c74f47000beee60bd80cd734f1d07dba656e1fab54905f9e5e.npz,PBC
8,0.0,0.85,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/a957c14dc419d43ee5c3d3074623258354dd8c30a5df55adfb8a786c35250cda.npz,PBC
8,0.0,0.8625,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/f58698044eb89c652504166ade92eaff4df5a5d8dacf4846c667fe25c78e84ca.npz,PBC
8,0.0,0.875,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/5d1f24156e7a34acde7c33262ae8dcfe78807c738e1586ba0768877337d3f61a.npz,PBC
8,0.0,0.8875,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/d8b105dc5e3a9b7a4f8db274dda19a98e534c79b085f81fb3530bb3981bdb584.npz,PBC
8,0.0,0.9,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/9697841750af6fa601fde93ab5b38b1a3cc7fdd0e496e8825a8a9ebd234e89f1.npz,PBC
8,0.0,0.9125,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/bcb12c12f1422c6c7af6f4322505bb2b1de71295154ddadba3af5f25dace9fcb.npz,PBC
8,0.0,0.925,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/36f7e7c412f6616c8a692ae5cb0c4c9a1f59bde2c1213230e58651300ef96a90.npz,PBC
8,0.0,0.9375,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/bd28ed3326af839e930483e6693206a82be98989873250db52015deca4e05cd8.npz,PBC
8,0.0,0.95,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/d5f619445c5e0f811160c4becafcb1bdd41f912f6b735118d22baa319d580d6f.npz,PBC
8,0.0,1.0,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/6752a1b26484b1e4feb31344db99d00479fbf009363072002add6c7d42d8903d.npz,PBC
8,0.0,1.05,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/916fa41ff4b1f1075da9d4caa641b47fe256c0e1a68ebd06a8fa42f42e8f3f80.npz,PBC
8,0.0,1.1,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/c0d21279aa722ae49df4a4ad27af47964a8323a51e96a747691bade35d64bc44.npz,PBC
8,0.0,1.15,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/9f8eff1d35d2a143305630811ccb58abdeaf89baedabb3b4471fcdba3f6e1e51.npz,PBC
8,0.0,1.2,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/8eafbe0d6df242b645010dace9d460ae5760149c68cdae0885bc88a56436d019.npz,PBC
8,0.0,1.25,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/f0fe022cfade9a0ebf69a7766e3d4ab3ec00f850f0c4e15ef573b7a67b336cfe.npz,PBC
8,0.0,1.3,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/ba77af760e27a99fb43f073dc774bdb5d449f885d3bcf95a6dba8073d29930fb.npz,PBC
8,0.0,1.35,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/a0621f31b66b21c87ae44de0842e53e9e734fc2d4ffdb46000da64973e3764a7.npz,PBC
8,0.0,1.4,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/c42fe58b9755fb93eb449808e7fd74fe7842aa12a4f03bbb72fe029e88f131c2.npz,PBC
8,0.0,1.45,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/acea8cb9e1e1dd3e443f81aa3574a3098ec6fcbbd07039fd9c6d77476e6c999c.npz,PBC
8,0.0,1.5,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/ffd791970b774352c15a944c00697c6dc7f7b60fbaab8bb371bb6f492c3db08f.npz,PBC
8,0.0,1.55,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/fa9be329ff365be2f7a0a0aa6a812e876f68328154d019a258b11c45a048e95f.npz,PBC
8,0.0,1.6,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/4ccb9bfcaa128e3fd561b4eadaf7973668eedba82eca1510b65c843c5c240aff.npz,PBC
8,0.0,1.65,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/14d8a52a2a5b08ca808bbceebf7029e3353a09edc27e92e624657d2f9dd19828.npz,PBC
8,0.0,1.7,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/04aac44fbe1a0b2a40cd7b41f14bb07dc5c15001e785fe52f329612b1d9ccb57.npz,PBC
