96 0.3 128 c -0.001 winners [(2, 'power'), (4, 'power')]
128 0.3 128 c 0.001 winners [(2, 'exponential'), (4, 'ordered')]
128 0.3 256 c 0.001 winners [(2, 'exponential'), (4, 'ordered')]
128 0.3 256 c 0.001 winners [(2, 'exponential'), (4, 'ordered')]
96 0.325 128 c 0.62 winners [(2, 'power'), (4, 'ordered')]
128 0.325 128 c 0.592 winners [(2, 'power'), (4, 'ordered')]
96 0.7 128 c 0.061 winners [(2, 'exponential'), (4, 'exponential')]
128 0.7 128 c 0.027 winners [(2, 'exponential'), (4, 'exponential')]
128 0.7 256 c 0.027 winners [(2, 'exponential'), (4, 'exponential')]
128 0.7 256 c 0.027 winners [(2, 'exponential'), (4, 'exponential')]
96 0.4 128 c 1.405 winners [(2, 'power'), (4, 'power')]
128 0.4 128 c 1.015 winners [(2, 'power'), (4, 'power')]
128 0.4 256 c 1.015 winners [(2, 'power'), (4, 'power')]
128 0.4 256 c 1.015 winners [(2, 'power'), (4, 'power')]
96 0.5 128 c 1.02 winners [(2, 'power'), (4, 'power')]
128 0.5 128 c 0.98 winners [(2, 'power'), (4, 'power')]
128 0.5 256 c 0.98 winners [(2, 'power'), (4, 'power')]
128 0.5 256 c 0.98 winners [(2, 'power'), (4, 'power')]
96 0.55 128 c 0.73 winners [(2, 'power'), (4, 'power')]
128 0.55 128 c 0.681 winners [(2, 'power'), (4, 'power')]
128 0.55 256 c 0.681 winners [(2, 'power'), (4, 'power')]
128 0.55 256 c 0.681 winners [(2, 'power'), (4, 'power')]
96 0.6 128 c 0.388 winners [(2, 'power'), (4, 'power')]
128 0.6 128 c 0.3 winners [(2, 'power'), (4, 'power')]
128 0.6 256 c 0.3 winners [(2, 'power'), (4, 'power')]
128 0.6 256 c 0.3 winners [(2, 'power'), (4, 'power')]
96 0.525 128 c 0.856 winners [(2, 'power'), (4, 'power')]
128 0.525 128 c 0.867 winners [(2, 'power'), (4, 'power')]
128 0.525 256 c 0.867 winners [(2, 'power'), (4, 'power')]
128 0.525 256 c 0.867 winners [(2, 'power'), (4, 'power')]
96 0.35 128 c 1.134 winners [(2, 'power'), (4, 'ordered')]
128 0.35 128 c 0.998 winners [(2, 'ordered'), (4, 'power')]
128 0.35 256 c 0.987 winners [(2, 'ordered'), (4, 'power')]
128 0.35 256 c 0.999 winners [(2, 'ordered'), (4, 'power')]
128 0.325 256 c 0.59 winners [(2, 'power'), (4, 'ordered')]
128 0.325 256 c 0.592 winners [(2, 'power'), (4, 'ordered')]
