96 0.3 [0.4, nan]
128 0.3 [0.4, nan]
128 0.3 [0.4, nan]
128 0.3 [0.4, nan]
96 0.325 [0.293, 0.243]
128 0.325 [0.281, 0.256]
96 0.7 [2.0, 2.0]
128 0.7 [2.0, 2.0]
128 0.7 [2.0, 2.0]
128 0.7 [2.0, 2.0]
96 0.4 [1.399, 1.691]
128 0.4 [0.359, 0.36]
128 0.4 [0.359, 0.36]
128 0.4 [0.359, 0.36]
96 0.5 [0.805, 0.867]
128 0.5 [1.67, 2.0]
128 0.5 [1.67, 2.0]
128 0.5 [1.67, 2.0]
96 0.55 [1.511, 1.827]
128 0.55 [1.503, 1.673]
128 0.55 [1.503, 1.673]
128 0.55 [1.503, 1.673]
96 0.6 [2.0, 2.0]
128 0.6 [2.0, 2.0]
128 0.6 [2.0, 2.0]
128 0.6 [2.0, 2.0]
96 0.525 [2.0, 2.0]
128 0.525 [1.127, 1.257]
128 0.525 [1.127, 1.257]
128 0.525 [1.127, 1.257]
96 0.35 [0.329, 0.321]
128 0.35 [0.322, 0.323]
128 0.35 [0.322, 0.323]
128 0.35 [0.322, 0.323]
128 0.325 [0.281, 0.256]
128 0.325 [0.281, 0.256]
