method,estimator,p,detector,total_coordinates,labelled_coordinate_equivalents,correct_coordinate_equivalents,rejected_coordinate_equivalents,wrong_accepted_coordinate_equivalents,unlabelled_coordinates,total_shots,total_gate_shots
B3,raw,0.01,D1,15,2.0,2.0,0.0,0.0,13.0,48000000,2182400000
B3,raw,0.01,D3,15,2.0,2.0,0.0,0.0,13.0,48000000,2182400000
B3,raw,0.01,D4,15,2.0,2.0,0.0,0.0,13.0,48000000,2182400000
B3,raw,0.01,D5,15,2.0,2.0,0.0,0.0,13.0,48000000,2182400000
B3,zne_quadratic,0.01,D1,15,2.0,2.0,0.0,0.0,13.0,48000000,6547156352
B3,zne_quadratic,0.01,D3,15,2.0,2.0,0.0,0.0,13.0,48000000,6547156352
B3,zne_quadratic,0.01,D4,15,2.0,2.0,0.0,0.0,13.0,48000000,6547156352
B3,zne_quadratic,0.01,D5,15,2.0,2.0,0.0,0.0,13.0,48000000,6547156352
B3,raw,0.05,D1,15,2.0,2.0,0.0,0.0,13.0,48000000,2182400000
B3,raw,0.05,D3,15,2.0,2.0,0.0,0.0,13.0,48000000,2182400000
B3,raw,0.05,D4,15,2.0,2.0,0.0,0.0,13.0,48000000,2182400000
B3,raw,0.05,D5,15,2.0,2.0,0.0,0.0,13.0,48000000,2182400000
B3,zne_quadratic,0.05,D1,15,2.0,2.0,0.0,0.0,13.0,48000000,6547156352
B3,zne_quadratic,0.05,D3,15,2.0,2.0,0.0,0.0,13.0,48000000,6547156352
B3,zne_quadratic,0.05,D4,15,2.0,2.0,0.0,0.0,13.0,48000000,6547156352
B3,zne_quadratic,0.05,D5,15,2.0,2.0,0.0,0.0,13.0,48000000,6547156352
H6,raw,0.01,D1,15,2.0,2.0,0.0,0.0,13.0,48000000,3811200000
H6,raw,0.01,D3,15,2.0,2.0,0.0,0.0,13.0,48000000,3811200000
H6,raw,0.01,D4,15,2.0,2.0,0.0,0.0,13.0,48000000,3811200000
H6,raw,0.01,D5,15,2.0,0.0,2.0,0.0,13.0,48000000,3811200000
H6,zne_quadratic,0.01,D1,15,2.0,2.0,0.0,0.0,13.0,48000000,11433523776
H6,zne_quadratic,0.01,D3,15,2.0,2.0,0.0,0.0,13.0,48000000,11433523776
H6,zne_quadratic,0.01,D4,15,2.0,2.0,0.0,0.0,13.0,48000000,11433523776
H6,zne_quadratic,0.01,D5,15,2.0,2.0,0.0,0.0,13.0,48000000,11433523776
H6,raw,0.05,D1,15,2.0,0.0,2.0,0.0,13.0,48000000,3811200000
H6,raw,0.05,D3,15,2.0,0.0,2.0,0.0,13.0,48000000,3811200000
H6,raw,0.05,D4,15,2.0,0.0,2.0,0.0,13.0,48000000,3811200000
H6,raw,0.05,D5,15,2.0,0.0,2.0,0.0,13.0,48000000,3811200000
H6,zne_quadratic,0.05,D1,15,2.0,0.875,1.125,0.0,13.0,48000000,11433523776
H6,zne_quadratic,0.05,D3,15,2.0,2.0,0.0,0.0,13.0,48000000,11433523776
H6,zne_quadratic,0.05,D4,15,2.0,0.0,2.0,0.0,13.0,48000000,11433523776
H6,zne_quadratic,0.05,D5,15,2.0,0.0,2.0,0.0,13.0,48000000,11433523776
