128 0.4 256 c 1.015 winners [(2, 'power'), (4, 'power')]
96 0.4 256 c 1.405 winners [(2, 'power'), (4, 'power')]
96 0.4 256 c 1.405 winners [(2, 'power'), (4, 'power')]
96 0.3125 128 c 1.486 winners [(2, 'exponential'), (4, 'exponential')]
128 0.3125 128 c 1.482 winners [(2, 'exponential'), (4, 'exponential')]
96 0.3375 128 c 0.646 winners [(2, 'power'), (4, 'ordered')]
128 0.3375 128 c 1.139 winners [(2, 'power'), (4, 'ordered')]
96 0.425 128 c 1.033 winners [(2, 'power'), (4, 'power')]
128 0.425 128 c 1.07 winners [(2, 'power'), (4, 'power')]
96 0.45 128 c 1.203 winners [(2, 'power'), (4, 'power')]
128 0.45 128 c 1.162 winners [(2, 'power'), (4, 'power')]
96 0.475 128 c 1.08 winners [(2, 'power'), (4, 'power')]
128 0.475 128 c 1.076 winners [(2, 'power'), (4, 'power')]
128 0.45 256 c 1.162 winners [(2, 'power'), (4, 'power')]
128 0.45 256 c 1.162 winners [(2, 'power'), (4, 'power')]
160 0.4 256 c 1.138 winners [(2, 'power'), (4, 'power')]
192 0.5 128 c 0.97 winners [(2, 'power'), (4, 'power')]
192 0.5 256 c 0.97 winners [(2, 'power'), (4, 'power')]
96 0.375 128 c 1.068 winners [(2, 'ordered'), (4, 'power')]
128 0.375 128 c 0.939 winners [(2, 'ordered'), (4, 'power')]
128 0.475 256 c 1.077 winners [(2, 'power'), (4, 'power')]
128 0.475 256 c 1.077 winners [(2, 'power'), (4, 'power')]
96 0.4875 128 c 1.066 winners [(2, 'power'), (4, 'power')]
128 0.4875 128 c 1.058 winners [(2, 'power'), (4, 'power')]
